Gene	Final_XCI_Call
ADGRG4	Escape
AFF2	Escape
AKAP17A	Escape
ALG13	Escape
AP1S2	Escape
ARSD	Escape
ARSH	Escape
ARSL	Escape
ASMT	Escape
ASMTL	Escape
ASMTL-AS1	Escape
ATP2B3	Escape
BEND2	Escape
BEX1	Escape
BRS3	Escape
CA5B	Escape
CD99	Escape
CDK16	Escape
CHM	Escape
COL4A6	Escape
COX7B	Escape
CXorf38	Escape
DDX3X	Escape
DHRSX	Escape
EIF1AX	Escape
EIF2S3	Escape
FAM9C	Escape
FOXO4	Escape
FRMD7	Escape
FRMPD3	Escape
FRMPD4	Escape
FUNDC1	Escape
GEMIN8	Escape
GPM6B	Escape
GPR173	Escape
GPR174	Escape
GTPBP6	Escape
GYG2	Escape
HCFC1	Escape
HS6ST2	Escape
HUWE1	Escape
IKBKG	Escape
IL1RAPL1	Escape
IL1RAPL2	Escape
IL3RA	Escape
INE1	Escape
INE2	Escape
JPX	Escape
KDM5C	Escape
KDM6A	Escape
LANCL3	Escape
LINC00630	Escape
LINC01546	Escape
MAGEA8	Escape
MAGEE1	Escape
MAOA	Escape
MAP7D2	Escape
MED14	Escape
MORF4L2-AS1	Escape
MPC1L	Escape
MSL3	Escape
MXRA5	Escape
NAA10	Escape
NHS	Escape
NXF3	Escape
OFD1	Escape
P2RY10	Escape
P2RY8	Escape
PDZD11	Escape
PFKFB1	Escape
PLAC1	Escape
PLCXD1	Escape
PNPLA4	Escape
PPEF1	Escape
PPP2R3B	Escape
PQBP1	Escape
PRKX	Escape
PUDP	Escape
RBBP7	Escape
REPS2	Escape
RPS4X	Escape
S100G	Escape
SCML2	Escape
SEPTIN6	Escape
SHOX	Escape
SLC25A6	Escape
SMC1A	Escape
STK26	Escape
STS	Escape
SYAP1	Escape
TASL	Escape
TCEAL9	Escape
TCEANC	Escape
TMSB4X	Escape
TRAPPC2	Escape
TRPC5	Escape
TXLNG	Escape
UBA1	Escape
UBQLN2	Escape
USP9X	Escape
WAS	Escape
XG	Escape
XIST	Escape
ZBED1	Escape
ZFX	Escape
ZNF157	Escape
ZRSR2	Escape
ACTRT1	No call
AFF2-IT1	No call
ALG13-AS1	No call
AMELX	No call
AMER1	No call
AMMECR1-IT1	No call
ARHGEF9	No call
ARHGEF9-IT1	No call
ARMCX3-AS1	No call
ARMCX5-GPRASP2	No call
ARSD-AS1	No call
ARSF	No call
ARX	No call
ATP1B4	No call
ATP6AP1-DT	No call
ATXN3L	No call
AWAT2	No call
BEX5	No call
BMP15	No call
BMX	No call
CASK-AS1	No call
CBLL2	No call
CCDC160	No call
CDX4	No call
CENPVL1	No call
CENPVL2	No call
CENPVL3	No call
CFAP47	No call
CLDN34	No call
CMC4	No call
CNGA2	No call
CPXCR1	No call
CRLF2	No call
CSAG1	No call
CSAG2	No call
CSAG3	No call
CSF2RA	No call
CT45A1	No call
CT45A10	No call
CT45A2	No call
CT45A3	No call
CT45A5	No call
CT45A6	No call
CT45A7	No call
CT45A8	No call
CT45A9	No call
CT47A1	No call
CT47A10	No call
CT47A11	No call
CT47A12	No call
CT47A2	No call
CT47A3	No call
CT47A4	No call
CT47A5	No call
CT47A6	No call
CT47A7	No call
CT47A8	No call
CT47A9	No call
CT47B1	No call
CT55	No call
CT83	No call
CTAG1A	No call
CTAG1B	No call
CTAG2	No call
CXorf49	No call
CXorf49B	No call
CXorf51A	No call
CXorf51B	No call
CYLC1	No call
DANT1	No call
DANT2	No call
DCAF12L1	No call
DCAF12L2	No call
DCAF8L1	No call
DCAF8L2	No call
DDX53	No call
DHRSX-IT1	No call
DIAPH2-AS1	No call
DLG3-AS1	No call
DMD-AS3	No call
DMRTC1	No call
DMRTC1B	No call
DNAAF6	No call
DUSP21	No call
EIF1AX-AS1	No call
EOLA1-DT	No call
ERAS	No call
ESX1	No call
ETDA	No call
ETDB	No call
EZHIP	No call
F8A1	No call
F8A2	No call
F8A3	No call
F9	No call
FAM156B	No call
FAM223A	No call
FAM223B	No call
FAM226B	No call
FAM236A	No call
FAM236B	No call
FAM236D	No call
FAM47A	No call
FAM47B	No call
FAM47C	No call
FAM9A	No call
FAM9B	No call
FATE1	No call
FGF13-AS1	No call
FGF16	No call
FMR1-IT1	No call
FMR1NB	No call
FOXR2	No call
FRMPD3-AS1	No call
FRMPD4-AS1	No call
FTHL17	No call
GABRQ	No call
GAGE1	No call
GAGE10	No call
GAGE12B	No call
GAGE12C	No call
GAGE12D	No call
GAGE12E	No call
GAGE12F	No call
GAGE12G	No call
GAGE12H	No call
GAGE12J	No call
GAGE13	No call
GAGE2A	No call
GAGE2E	No call
GDPD2	No call
GJB1	No call
GK-AS1	No call
GK-IT1	No call
GLOD5	No call
GNG5P2	No call
GPR101	No call
GPR119	No call
GPR50	No call
GPR50-AS1	No call
GPRASP1	No call
GS1-594A7.3	No call
GS1-600G8.3	No call
GYG2-AS1	No call
H2AB1	No call
H2AB2	No call
H2AB3	No call
H2AL1Q	No call
H2AL3	No call
H2AP	No call
H2BW1	No call
H2BW2	No call
HCCS-DT	No call
HCFC1-AS1	No call
HS6ST2-AS1	No call
HSFX1	No call
HSFX2	No call
HSFX3	No call
HTR2C	No call
IGBP1-AS1	No call
IGBP1-AS2	No call
IL13RA2	No call
IL2RG	No call
INTS6L-AS1	No call
IRS4	No call
IRS4-AS1	No call
ITGB1BP2	No call
ITIH6	No call
KANTR	No call
KDM5C-IT1	No call
KLHL34	No call
KLHL4	No call
L1CAM-AS1	No call
LINC00102	No call
LINC00106	No call
LINC00269	No call
LINC00629	No call
LINC00632	No call
LINC00685	No call
LINC00850	No call
LINC00891	No call
LINC00892	No call
LINC01186	No call
LINC01201	No call
LINC01203	No call
LINC01281	No call
LINC01282	No call
LINC01283	No call
LINC01284	No call
LINC01285	No call
LINC01402	No call
LINC01456	No call
LINC01496	No call
LINC01545	No call
LINC01560	No call
LINC02154	No call
LINC02243	No call
LINC02595	No call
LINC02601	No call
LINC02927	No call
LINC02931	No call
LINC02968	No call
LPAR4	No call
LUZP4	No call
MAGEA1	No call
MAGEA10	No call
MAGEA12	No call
MAGEA2	No call
MAGEA2B	No call
MAGEA3	No call
MAGEA4	No call
MAGEA4-AS1	No call
MAGEA6	No call
MAGEA8-AS1	No call
MAGEA9	No call
MAGEA9B	No call
MAGEB1	No call
MAGEB10	No call
MAGEB16	No call
MAGEB17	No call
MAGEB18	No call
MAGEB2	No call
MAGEB3	No call
MAGEB4	No call
MAGEB5	No call
MAGEB6	No call
MAGEB6B	No call
MAGEC1	No call
MAGEC2	No call
MAGEC3	No call
MAGED4	No call
MAGED4B	No call
MAGEE2	No call
MED14OS	No call
MID1IP1-AS1	No call
MIR222HG	No call
MIR223HG	No call
MIR325HG	No call
NALF2	No call
NCBP2L	No call
NDP	No call
NDP-AS1	No call
NHS-AS1	No call
NLRP2B	No call
NOX1	No call
NR0B1	No call
NXF2	No call
NXF2B	No call
