pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.000435827872042396	0.0015930461636528	0.49849310876659	-0.36872816947186	-1.6465432770123	151	CHCHD10 ESRRA CDKN2C ECHS1 TALDO1 SUCLG1 RTN3 NDUFAB1 MTCH2 ACLY SDHC PREB BCKDHA DECR1 CYC1 ECH1 NMT1 CAT UQCR10 AK2 GHITM UQCRC1 GPHN QDPR BCL2L13 DNAJC15 COX8A RETSAT ALDH2 ALDOA REEP6 COQ9 MCCC1 ELMOD3 LPCAT3 MGST3 COX6A1 ESYT1 ACADS PRDX3 DDT NDUFS3 COQ5 UCP2 PIM3 ACAA2 LIPE RMDN3 ACO2 CD36 SLC1A5 CS ETFB DHRS7B TKT NDUFB7 VEGFB ARL4A CCNG2 ADIPOR2 DGAT1 SDHB PFKL JAGN1 PGM1 DHRS7 IMMT SAMM50 UQCR11 SLC19A1 MRPL15 HADH SLC5A6 GPAT4 ATP1B3 POR PEX14 UBC DHCR7
HALLMARK_ALLOGRAFT_REJECTION	2.10810636012214e-05	0.000141544284179629	0.575610261071129	-0.407296632969424	-1.80617476012218	145	CTSS IL1B SPI1 PF4 CDKN2A LYN EIF4G3 HLA-DOA TLR1 IL15 CD74 HLA-DMA RIPK2 HLA-DMB IRF8 GCNT1 PSMB10 IL2RA IRF4 NCF4 NME1 HDAC9 LTB FGR HLA-DRA TAP2 ITGAL HCLS1 SIT1 TAP1 ITGB2 IL27RA CCL4 EIF3D TRAF2 CD1D RPS9 HLA-DQA1 IL12RB1 RPS19 PTPN6 IRF7 CSK TGFB1 MAP4K1 ICAM1
HALLMARK_ANDROGEN_RESPONSE	0.808785529715762	0.826367823840018	0.0353157046479879	-0.195538375861204	-0.789587990395099	74	TSC22D1 MAF SORD ELOVL5 RAB4A RRP12 CENPN TMEM50A SEC24D DBI CDK6 PLPP1 ITGAV ADRM1 PDLIM5 CAMKK2 NDRG1 ABHD2 DHCR24 ABCC4 CCND3
HALLMARK_APICAL_JUNCTION	0.000213817314902347	0.000953134779912125	0.518848077743792	-0.420756848373774	-1.78480730082513	103	YWHAH SKAP2 CD34 ICAM4 EPB41L2 VASP ATP1A3 SYK RRAS ITGA3 TAOK2 ACTN4 FSCN1 RAC2 ICAM2 VCL TGFBI TSPAN4 ACTG1 RSU1 IRS1 MVD BAIAP2 PBX2 PFN1 DHX16 SYMPK SIRPA VCAN PLCG1 MAPK11 GNAI2 ACTB LIMA1 ICAM1 TUBG1 GTF2F1 CAP1 CD86 SHC1 STX4 CLDN15 ITGB1 RHOF MYH9 GAMT CNN2 ZYX ARPC2 NLGN2 HADH CTNNA1 THBS3 EVL AMIGO2 ADAM15 TRAF1 MYL12B
HALLMARK_APICAL_SURFACE	0.499263622974963	0.558699768567221	0.0637845390312975	-0.312947968120856	-0.980896953298924	23	LYN APP PLAUR
HALLMARK_APOPTOSIS	0.00044062978994652	0.0015930461636528	0.49849310876659	-0.38344008036854	-1.66625539061258	122	IL1B HMOX1 CLU GPX1 FDXR BAX CASP1 CASP7 APP CDK2 CD14 LMNA GSN PEA15 CFLAR PPP2R5B RARA PPT1 CASP4 RHOT2 IFITM3 BIK DIABLO ISG20 BCL2L1 TAP1 HMGB2 NEDD9 RETSAT IRF1 DAP3 PAK1
HALLMARK_BILE_ACID_METABOLISM	0.113577023498695	0.161761215286019	0.148261500475107	-0.323571445101309	-1.28867295499895	69	FDXR RXRA PXMP2 PEX26 NEDD4 PECR GSTK1 SLC22A18 PAOX CAT HSD17B4 PRDX5 RETSAT PEX13 SLC27A5 HACL1 PEX19 ACSL5 ABCA3 HSD17B11 LIPE ISOC1 PEX16 LCK PFKM ALDH9A1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.096	0.145548387096774	0.16440575583821	-0.340652862354202	-1.31894431543804	57	CLU ANXA5 PMVK S100A11 MVK ALDOC FABP5 PLAUR ECH1 LSS ACTG1 GUSB FDPS PCYT2 MVD
HALLMARK_COAGULATION	0.00128937304501282	0.00336669628420015	0.45505986738723	-0.459622371163757	-1.75175007786511	52	PF4 CFH PREP LRP1 SERPINA1 CLU GSN PLEK CTSH CRIP2 CFD CSRP1 ISCU LTA4H SIRT2 PEF1 GNB2 CTSB CASP9 LGMN WDR1 MSRB2 A2M
HALLMARK_COMPLEMENT	2.04657191976732e-05	0.000141544284179629	0.575610261071129	-0.418361500924256	-1.84737479656438	133	CTSS CFH PREP LYN LRP1 SERPINA1 CLU ANXA5 S100A9 ATOX1 CASP1 CASP7 PLEK FCN1 APOBEC3F DGKH S100A12 CTSC HSPA1A CTSH FCER1G PLAUR PPP4C CASP4 SIRT6 CSRP1 GZMK PRCP LTA4H PIM1 HPCAL4 GNB4 APOBEC3G PRKCD GRB2 IRF1 PSMB9 PFN1 GNGT2 IRF7 GNAI2 MSRB1 GNG2 EHD1 SH2B3 GNB2 GCA CD36 CTSB LCK STX4 CASP9 LGMN CTSD
HALLMARK_DNA_REPAIR	0.00101687428386146	0.00281135831420521	0.45505986738723	-0.364553372156101	-1.61767555517465	137	UMPS TAF6 NME3 NME1 POLL AAAS POLH ITPA VPS28 PRIM1 TP53 TAF12 HCLS1 POLR2G SNAPC4 TARBP2 POLR3GL POLA2 DUT POLR2F GMPR2 POLR2I DDB2 RBX1 ELL POLD4 SUPT5H POLE4 POLD3 NELFB GUK1 POLD1 BRF2 GTF2F1 IMPDH2 TAF1C TAF10 RPA3 GTF3C5 ADRM1 SURF1 POLR2E POLR1D CLP1 MPG DDB1 MRPL40 SSRP1 NT5C SEC61A1 SAC3D1 AK1 SUPT4H1 POLR2J RPA2 DAD1 ERCC2 APRT EDF1 TYMS ZNRD1 PDE6G BOLA2 MPC2 ERCC1 ALYREF DGUOK NUDT9 POLR2C POLR2H DGCR8 RFC5 SNAPC5
HALLMARK_E2F_TARGETS	0.0514018691588785	0.102806231327358	0.213927855492356	-0.291407619613669	-1.31364766963841	165	TIMELESS PAN2 CDKN2A CDKN2C MCM5 ASF1B DCTPP1 NCAPD2 DNMT1 CCNB2 NME1 DDX39A HELLS TP53 MCM3 AK2 RPA1 TUBB MCM7 HMGB2 PTTG1 RAN POLA2 DUT KIF22 UBE2T RRM2 CHEK2 CDK4 HMGA1 STMN1 RAD51C MCM4 UNG POLE4 POLD3 NAA38 POLD1 TUBG1 PLK1 RPA3 RACGAP1 SNRPB POP7 SSRP1 LYAR PRIM2 MCM2 EXOSC8 MXD3 MYC SHMT1 SMC6 RANBP1 RPA2 GINS1 CCNE1 EZH2 NOP56 CKS1B TBRG4 TACC3 ZW10 CKS2 EED PA2G4 ANP32E POLE MKI67 GINS3 AURKA
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0573663624511082	0.107848761408083	0.213927855492356	-0.359458341432478	-1.4261800327666	67	IGFBP3 LRP1 IL15 PFN2 VIM BASP1 PRSS2 PLAUR ANPEP MEST EMP3 CADM1 TGFBI PCOLCE MCM7 IL32 PLOD1 CXCL8 VCAN TGFB1 ITGA5 ITGAV PLOD3 EFEMP2
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0659785728092076	0.110749747215456	0.287805130535564	0.238111516839457	1.24493803848934	116	CELSR2 TOB1 RAPGEFL1 INPP5F FLNB FKBP5 SFN ABLIM1 PODXL KLF10 RPS6KA2 IL17RB SLC19A2 SNX24 RHOBTB3 SEC14L2 IL6ST JAK2 SLC39A6
HALLMARK_ESTROGEN_RESPONSE_LATE	0.30750307503075	0.370580628883212	0.0791316651768349	-0.255206582473374	-1.08879186552244	109	PRKAR2B MYB SERPINA1 BCL2 S100A9 TNNC1 RBBP8 KLF4 FABP5 SORD RAB31 ELOVL5 MEST TMPRSS3 ISG20 TJP3 BLVRB ALDH3B1 CISH TSTA3 LLGL2 MICB PTPN6 OPN3 IMPA2 ITPK1
HALLMARK_FATTY_ACID_METABOLISM	1.38399175541042e-05	0.000130095225008579	0.593325476396405	-0.42668031441296	-1.84358732765773	117	YWHAH S100A10 SDHA ACADVL ECHS1 MDH1 HMGCL SUCLG1 HADHB G0S2 ELOVL5 SDHC ALAD DECR1 ECH1 ERP29 CRYZ UROD HSD17B4 ACOT8 NTHL1 BCKDHB MIF UBE2L6 RDH11 RETSAT ALDOA ECI1 CD1D IDH3B REEP6 CPOX ACADS ACSL5 HSD17B11 GSTZ1 CBR1 NCAPH2 ACAA2 ACO2 CD36 METAP1 RAP1GDS1 PSME1 ODC1 DLST ENO2 ADIPOR2 ACOT2 PDHB CPT1A ALDH9A1 ACAA1 ACSS1 BPHL DHCR24 MCEE SDHD HADH ACAT2 LGALS1 BLVRA FH OSTC
HALLMARK_G2M_CHECKPOINT	0.803529411764706	0.826367823840018	0.0311335139616949	-0.186015894076115	-0.831129541224696	153	SLC7A1 UCK2 CDKN2C MCM5 DTYMK SAP30 E2F2 CCNF CCNB2 BUB3 DDX39A TFDP1 PRMT5 CHMP1A MCM3 CDC7 PTTG1 POLA2 KIF22 CDK4 HMGA1 STMN1 DR1 TGFB1 PML PLK1 RACGAP1 ODC1 EWSR1 PRIM2 MCM2 RBM14 MYC UBE2C HIRA HSPA8 ODF2 NUSAP1 RPA2 E2F4 NUMA1 EZH2 CKS1B TPX2 HMGN2 TACC3 CKS2
HALLMARK_GLYCOLYSIS	0.00097842594568482	0.00281135831420521	0.45505986738723	-0.36856225091362	-1.62396065331047	130	IGFBP3 PC PFKP CYB5A TXN GMPPA MDH1 TALDO1 SAP30 PAM MED24 ANKZF1 RRAGD CLN6 CHST12 SDHC HAX1 PGM2 BIK ALG1 PGAM1 SLC37A4 TGFBI PSMC4 FAM162A ISG20 GUSB GMPPB MIF GOT1 AKR1A1 PLOD1 ENO1 GALK2 TSTA3 ALDOA CHST2 GNPDA1 VCAN CHPF2 RBCK1 STMN1
HALLMARK_HEME_METABOLISM	0.0731132075471698	0.118493819128172	0.178219874951973	-0.295907073023946	-1.31309137063858	138	ATP6V0A1 PC LMO2 AGPAT4 ICAM4 CTNS ASNS FN3K ARHGEF12 PPP2R5B NFE2 E2F2 AQP3 HTATIP2 TSPAN5 ALAD ACP5 UROD CAT HDGF HTRA2 DCAF11 BLVRB PPOX BSG PIGQ ERMAP NARF RANBP10 CPOX MGST3 PGLS SEC14L1 PSMD9 HMBS LRP10
HALLMARK_HYPOXIA	0.0247268661543474	0.0528255776933786	0.352487857583619	-0.320473357296112	-1.40411601295392	129	NEDD4L IGFBP3 HMOX1 GCNT2 PFKP CDKN1C BCL2 ANXA2 NAGK SAP30 PAM ALDOC MT1E ANKZF1 RRAGD PLAUR PGM2 SLC37A4 TGFBI TPST2 FAM162A ISG20 PRDX5 PIM1 MIF S100A4 ENO1 ALDOA CHST2 GAA GPI BHLHE40
HALLMARK_IL2_STAT5_SIGNALING	0.101754385964912	0.149451754385965	0.148261500475107	-0.276951964906155	-1.23879804824126	152	CYFIP1 ANXA4 UCK2 UMPS PTGER2 CDKN1C BCL2 SOCS2 IKZF4 GLIPR2 TNFRSF1B IRF8 IL2RA RRAGD IRF4 TNFRSF4 LTB IL10RA LRIG1 DCPS IFITM3 GSTO1 ST3GAL4 SELP GALM RNH1 BCL2L1 PIM1 CISH TNFRSF18 FLT3LG ADAM19 SYNGR2 FGL2 BHLHE40 AHNAK PLPP1 ITGAV BATF3 PLEC MUC1 SLC1A5 CD86 ODC1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.000134750094680658	0.00070369493888788	0.518848077743792	-0.498360288369708	-1.92955803994342	57	CSF2RB IL1B HMOX1 IL1R1 PF4 CD14 LTBR MYD88 TNFRSF1B IL15RA IL2RA LTB IRF9 HAX1 TYK2 PIM1 BAK1 GRB2 IRF1 CSF3R IL12RB1 TGFB1
HALLMARK_INFLAMMATORY_RESPONSE	0.00013459169534384	0.00070369493888788	0.518848077743792	-0.402492100565032	-1.7398165018148	119	IL1B IL1R1 SLC7A1 C5AR1 LYN ICAM4 PTGER2 FPR1 TLR1 IL15 CD14 SRI RIPK2 TNFRSF1B PTGIR IL15RA PLAUR IL10RA EMP3 RNF144B NMI SLC31A2 OSM MEFV SLAMF1 IRF1 CXCL8 CD82 CHST2 CSF3R RTP4 IRF7 ICAM1 ITGA5
