pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.041391958119854	0.0863832169457822	0.321775918075361	0.281484827088473	1.31951411462817	151	SOWAHC ATL2 GPX3 UQCRQ TOB1 RAB34 MAP4K3 MGST3 GADD45A IFNGR1 TANK HADH NABP1 UBC UQCR11 PEMT COX8A UQCR10 ATP1B3 REEP5 CD36 RIOK3 GRPEL1 COX6A1 DHCR7 LTC4S G3BP2 NDUFB7 ALDH2 ARL4A PLIN2 DDT NDUFA5 UBQLN1
HALLMARK_ALLOGRAFT_REJECTION	0.000555616557133174	0.00166684967139952	0.477270815362862	0.372360697138003	1.71073032600357	128	FCGR2B SRGN HIF1A EREG RIPK2 HLA-DQA1 CCL2 CD86 HDAC9 CCR5 IFNGR1 IL18 IL10 LY86 ICOSLG CCR1 ST8SIA4 TLR1 GALNT1 TLR2 HLA-DMA BRCA1 CCND2 HLA-DRA HLA-A CD47 CD40 BCAT1 UBE2N ABI1 NLRP3 APBB1 B2M CD2 TLR6 RPS3A EIF5A STAB1 PTPRC CRTAM RPS19 DEGS1 GPR65 C2 IFNAR2 RPS9 BCL10 CCL5
HALLMARK_ANDROGEN_RESPONSE	5.99700762869334e-07	4.79760610295467e-06	0.659444398037935	0.538693942042638	2.21605722224051	74	ACSL3 ELL2 STEAP4 INSIG1 UAP1 HMGCR FKBP5 SGK1 FADS1 SLC38A2 VAPA IDI1 MAP7 HERC3 GNAI3 SLC26A2 UBE2J1 ARID5B SCD XRCC6 MYL12A HMGCS1 DBI MERTK B4GALT1 ADRM1 SRF B2M PGM3 NDRG1 ELK4 ABHD2 PDLIM5 SRP19 ELOVL5
HALLMARK_ANGIOGENESIS	0.000441297705339035	0.00142916372511338	0.49849310876659	0.650729597491567	1.99031492272713	19	TNFRSF21 THBD OLR1 JAG1 S100A4 PRG2 VCAN CCND2 LRPAP1 PTK2 PDGFA
HALLMARK_APICAL_JUNCTION	0.39646017699115	0.500791802515137	0.0850427463764322	0.234004117142778	1.03214930115764	105	ALOX15B ADAM9 TMEM8B CD86 INSIG1 MYH10 MAPK13 WASL PIK3CB HADH SORBS3 MYL12B ARPC2 VCAN HRAS TSPAN4 PTK2 ADAM15 B4GALT1 ITGB1 SDC3 ICAM2
HALLMARK_APICAL_SURFACE	0.522988505747127	0.64367816091954	0.0745500777420554	0.310146262905422	0.948610202560693	19	TMEM8B PLAUR GSTM3 BRCA1 B4GALT1 HSPB1
HALLMARK_APOPTOSIS	1.95553103033896e-06	1.340935563661e-05	0.627256739718528	0.439901374495972	1.99265033339519	123	EMP1 EGR3 EREG TNFRSF12A ANXA1 GADD45B GPX3 SATB1 GSN GNA15 LMNA ETF1 LGALS3 GADD45A IFNGR1 IL18 SMAD7 ENO2 CTNNB1 IFITM3 DNM1L CD44 CD14 BID NEDD9 BRCA1 CCND2 DNAJC3 PEA15 VDAC2 MCL1 DPYD PTK2 DDIT3 BCL2L11 BTG3 CDKN1A TSPO BNIP3L ATF3 CD2 PPT1 CYLD HSPB1 HGF DIABLO CASP3 PMAIP1
HALLMARK_BILE_ACID_METABOLISM	0.727941176470588	0.776470588235294	0.0564118388217596	0.213423014416759	0.849333212042913	61	FADS2 FADS1 AQP9 IDI1 PNPLA8 ACSL1 GSTK1 ABCD3 SULT1B1 GNMT PEX13 ABCA9 ABCA1 CROT ABCA3 SOD1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	2.17066278497888e-05	9.47198306172603e-05	0.575610261071129	0.532599453535862	2.08384482161244	58	SQLE STARD4 TNFRSF12A CXCL16 FADS2 CYP51A1 HMGCR ANTXR2 LGALS3 IDI1 JAG1 NFIL3 CTNNB1 ALCAM PLAUR LDLR PLSCR1 FABP5 TMEM97 CPEB2 SCD S100A11 FBXO6 HMGCS1 DHCR7 GSTM2 FDFT1 ATF3 TP53INP1 CD9 SREBF2 ETHE1 FASN
HALLMARK_COAGULATION	6.21628876139855e-06	3.72977325683913e-05	0.610526878385931	0.525195812029547	2.09606449954783	65	HTRA1 PLAU ANXA1 THBD ADAM9 GSN C1QA F3 OLR1 KLF7 SERPINE1 MAFF P2RY1 ANG THBS1 DUSP6 CFD CTSH FURIN CPQ CAPN2 SERPINB2 ARF4 RAC1 RABIF
