pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.497663551401869	0.64561758019702	0.0878312634480124	0.208650147425146	0.982279510979196	151	TOB1 GPX3 ATL2 IFNGR1 RAB34 NKIRAS1 DNAJB9 CD302 SOWAHC MAP4K3 ACOX1 RETN DRAM2 APLP2 SCARB1 PFKL PPP1R15B ABCA1 ARL4A LTC4S DHRS7 TANK PEMT NABP1 PTCD3 CD36 MGST3 RREB1 REEP5 GPAT4 CHUK UBQLN1 ALDH2 GBE1 C3 UQCRQ UCK1 DLD
HALLMARK_ALLOGRAFT_REJECTION	0.101382488479263	0.270353302611367	0.213927855492356	0.265523929325272	1.21045954372036	128	EREG ICOSLG IL18 DEGS1 IL10 IFNGR1 FCGR2B CD86 MRPL3 SRGN LY86 HIF1A TLR2 CD4 AKT1 STAB1 CCL2 HDAC9 RIPK2 HLA-DQA1 MAP3K7 IL16 BCAT1 GALNT1 BRCA1 NCK1 TLR6 ST8SIA4 HLA-DMA HLA-A IFNAR2 UBE2N CD47
HALLMARK_ANDROGEN_RESPONSE	0.205567451820128	0.394689507494647	0.140406238523342	0.279335870142345	1.14822771396799	74	FKBP5 MAP7 VAPA NDRG1 SPCS3 HMGCS1 ZMIZ1 DNAJB9 ELL2 HMGCR ACSL3 SLC26A2 HERC3 PGM3 GNAI3 IDI1 AKT1 ABHD2 SEC24D SLC38A2 PIAS1 B4GALT1 ELK4 ITGAV ARID5B ELOVL5 APPBP2 XRCC6 SRP19 UAP1 STEAP4 INSIG1 NGLY1
HALLMARK_ANGIOGENESIS	0.544573643410853	0.653488372093023	0.0730744399126987	-0.309868361263458	-0.929718760278073	19	PF4 NRP1 PTK2 APP FSTL1
HALLMARK_APICAL_JUNCTION	9.85792792116871e-07	2.36590270108049e-05	0.643551836150722	-0.475543768400518	-2.04809500676896	105	VWF MYL9 JAM3 EPB41L2 MAP4K2 AMIGO2 VCL CD34 MDK LIMA1 ACTN1 CRAT SKAP2 IRS1 NEXN LDLRAP1 MYH9 PTK2 RSU1 YWHAH CLDN5 AKT3 BAIAP2 JUP ICAM2 RRAS SYMPK CLDN7 SRC BMP1 GAMT ICAM4
HALLMARK_APICAL_SURFACE	0.38477366255144	0.577160493827161	0.0952879846194844	0.344077035093951	1.03558306690011	19	TMEM8B ADAM10 CD160 B4GALT1 BRCA1 PLAUR GHRL
HALLMARK_APOPTOSIS	0.217977528089888	0.395514780835882	0.139599673451922	0.244279354551828	1.11134615043752	123	EREG EMP1 GPX3 IL18 ANXA1 IFNGR1 MCL1 SMAD7 PMAIP1 CDKN1B SATB1 SLC20A1 TXNIP CASP8 BCL2L11 PPT1 DNAJC3 GADD45B NEDD9 CD44 LGALS3 SC5D IER3 BNIP3L ETF1 RHOB BMF BRCA1 PEA15 GSN CTNNB1 DNM1L TNFRSF12A GNA15 BID JUN BTG2 HGF DNAJA1 BCL10 CD14 DIABLO CYLD DPYD HMOX1 RELA CASP3
HALLMARK_BILE_ACID_METABOLISM	0.459227467811159	0.612303290414879	0.0875697115548511	0.252563052273563	1.00343664235936	61	SLC23A2 SULT1B1 ALDH1A1 ABCD3 PEX7 AQP9 IDI1 ATXN1 ABCA1 PNPLA8 PEX1 HSD17B11 PEX13 LONP2 ABCA9 NPC1 ACSL1
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.186836518046709	0.38991968983661	0.147331213699377	0.298551441440547	1.1703500944864	58	JAG1 CXCL16 TP53INP1 GSTM2 TMEM97 HMGCS1 PLSCR1 HMGCR SQLE IDI1 CYP51A1 LGALS3 SC5D PLAUR CTNNB1 ACSS2 FASN TNFRSF12A FBXO6 CHKA NFIL3 ANTXR2 STARD4
HALLMARK_COAGULATION	0.048689138576779	0.146067415730337	0.282013350011725	-0.355922017357769	-1.3867470933254	65	VWF GP9 PF4 ITGB3 CLU PDGFB GP1BA SPARC PROS1 SERPINE1 ISCU WDR1 BMP1 PLEK MSRB2 SIRT2 SERPING1
