P1.CD4	P4.CD4	P5.CD4	P6.CD4	P7.CD4	C3.CD4	C4.CD4	C5.CD4	C6.CD4	C7.CD4	C8.CD4	P8.CD4	P9.CD4	P10.CD4	P11.CD4	P16.CD4	P12.CD4	P15.CD4	P13.CD4	P14.CD4	P17.CD4	C10.CD4	C11.CD4	C9.CD4	P18.CD4	P19.CD4	P20.CD4	P21.CD4	P22.CD4	P31.CD4	P30.CD4	C14.CD4	C15.CD4	C12.CD4	C16.CD4	C13.CD4	P24.CD4	P37.CD4	P27.CD4	P29.CD4	P28.CD4	P25.CD4	P34.CD4	P33.CD4	P32.CD4	P36.CD4	P39.CD4	P40.CD4	P38.CD4	P35.CD4	P26.CD4	P23.CD4	P41.CD4	P45.CD4	C17.CD4	P44.CD4	C19.CD4	P42.CD4	C18.CD4	C007G.CD4	C013G.CD4	C014G.CD4	P46.CD4	C22.CD4	C23.CD4	C24.CD4	C25.CD4	C26.CD4	C21.CD4	P47.CD4	P48.CD4	P49.CD4	P52.CD4	P53.CD4	WHT7559.CD4	WHT7645.CD4
ABCB7	1734.92925792601	1769.55034283924	2242.42773859976	1987.10293851343	2338.06847004693	1650.35903281234	1727.71689000095	1765.05750055982	1545.4749196407	1848.52462688607	1662.95351232956	969.423096204647	963.739692580877	358.92206829188	806.106712946101	368.293977827368	992.524511644352	1068.836770809	791.219154965873	1054.3125032815	769.128959254508	572.959731123285	834.049838566573	845.846392248287	772.257878274115	549.208713555818	626.890648796045	697.851365354258	627.859378578961	689.327756999964	777.44278919863	747.439502808075	711.204064977096	815.89935213064	875.029799798663	730.243987161112	747.834082024677	823.452410240645	602.322900053013	774.324986472272	529.400849098877	639.578933081069	480.933229903289	683.02154406893	708.922754539589	602.799442800214	728.82923610829	746.161289505103	532.030734210582	640.341162502829	726.183032850033	756.578650385078	764.597570220479	549.512294660859	791.380816881502	763.55020872234	697.460562154759	577.873406683628	726.93178400252	998.579063073452	773.848687060085	787.868467766783	514.401465159262	552.810327883067	658.472865430083	820.791437680209	830.96096275327	792.199743756929	642.451322056299	908.890658096807	881.896217565473	705.069143439882	671.278626357071	848.616963614634	903.324777623164	952.390598727843
ABCD1	281.435090025741	392.358358726355	202.226411104211	277.010518600894	196.468410466356	303.97963609101	165.087819872091	236.834867414102	337.044902693387	221.561600801898	237.723279354139	445.968317068243	448.860320915513	1263.70267134113	459.695519600767	1397.49683884827	62.045185805649	346.343582228576	348.523816792333	356.775047744087	785.373960483031	992.622524719086	876.856896985273	892.356750378074	606.362246598271	727.543668140216	521.158436010255	862.313862421595	690.70054501445	245.707991703432	214.126401505886	265.996770645268	290.405015273243	348.724745328696	361.467930675722	380.061816397086	285.799262387725	308.579010976354	272.610200260439	225.876392732887	345.947606258595	205.094867038479	298.439113160973	389.039318791931	344.946181284924	385.373702855691	248.57675917412	301.436026947095	426.506493976029	276.785823550144	217.168498296596	392.021528555686	448.82054497815	243.825246300735	418.116594695208	455.603685190654	662.802408263539	259.332859196912	396.784794401055	602.291950182234	522.370055324706	624.447857019818	864.838347507132	696.351241593267	838.009069866925	585.361184460055	546.390646627252	600.639168723562	623.441560769547	585.425350749232	543.341226871138	436.433044070892	534.47424146383	392.508393895933	377.45659554959	394.554205049983
ACOT9	2761.45830087731	1361.08437935563	1692.33339402325	1380.18937377596	1725.43298352182	1575.39878800696	1603.62972346692	1417.03868939657	1518.10318330795	1894.81380636245	1463.84861183093	909.160686634733	983.619498985365	987.132400690671	653.868453523484	1126.15502703984	1381.91037680484	1060.94363067731	741.831157697787	631.795254073535	1040.61115586647	1235.89023494915	1010.2894966829	1515.30283525485	1288.81092223775	1317.15539531773	899.046472182726	1072.81993837666	1236.37505201523	1120.11591475205	934.294809406405	1013.15077266673	645.27463427128	770.54994124188	828.843853730872	898.032044590639	706.0275524947	655.810623935116	897.469162274178	919.646655625966	706.296076859666	614.499652139405	925.388596850441	925.394583996816	721.825950995177	965.67435743719	645.324441790239	998.577450070933	580.336456716283	626.53751422673	644.013782174942	716.392814615985	522.592572952067	669.665450229866	933.38015306338	774.779863657138	995.48503615574	934.405622171307	538.182255837268	776.667167060204	817.370233811186	970.922898825525	875.045643416963	978.110887859215	991.340389874835	1075.2872043725	991.524448864649	931.673407891888	664.131844555019	635.786346002502	765.009757675358	1030.11908141289	1087.71455389861	1075.27063119404	652.37780819959	846.237353727046
ACRC	320.327542182643	460.570731828311	438.120289595512	391.623505518955	409.55069447905	340.843026052785	469.201017834236	313.583301987983	241.526513239792	334.076591599676	332.45645640723	331.269599885595	272.806703860714	168.894913385351	227.53012048984	117.870171368574	666.70149976162	306.075202762475	409.919677971102	388.520249176624	342.046334217128	308.865889672787	296.447050835969	268.410440787178	381.081639676527	300.535999868743	293.123612303804	278.666264078389	284.45165155047	311.609668075325	281.878441802009	256.512330228175	265.643212279259	290.538270007407	315.051630205371	304.169626275989	355.008050230608	295.359482771205	264.408780640665	300.723601731155	219.417795613988	302.094962040992	206.076084858899	218.374551341943	321.358365031645	275.848105368369	278.843254325209	284.398231729399	274.16110901204	282.284737892771	372.99670027338	296.067712057764	307.281978259689	277.796905905613	244.496215024929	280.712253339832	154.939451707532	320.576619935881	301.718825847709	381.559415845242	411.438825279214	298.747395386258	267.956361805909	248.491260831981	332.218958032862	215.303740648582	266.296755638118	259.442177888934	386.270033208744	285.202827505731	347.890348585802	303.094246264154	306.045462609512	243.793773195017	219.302929837366	314.637780365212
ACSL4	815.03974116566	1634.6862885117	1723.78071195697	2299.06102386703	2286.700695288	1322.49082550026	1570.95838202981	2224.52013467669	2502.5291142721	1656.03994181508	1406.40438810705	1738.31035507012	1134.02095502185	349.314519042098	789.490557417195	672.552638381668	2593.93434962067	1766.81331097935	1952.7683914953	1721.73296220674	641.846261413442	409.806940692827	484.459960137534	549.024832266027	673.257541166659	674.095770750367	728.802559733439	456.207338369798	646.135056683449	727.367022364053	910.587977416649	800.886224767888	788.205932161785	723.877715200895	821.209454489762	772.973325577094	559.158192767635	713.027854156551	716.26363420938	860.244977383265	456.133298233298	749.04454629371	515.709640985876	914.511777967315	666.98719163058	608.667910323418	725.330792413454	797.161844062721	477.315353879035	643.664921612248	624.293344370006	690.632261617904	639.017703731763	958.755263064199	786.685394055598	766.124912443536	679.486492885152	658.869866971945	801.833807864061	938.388892231597	1026.61685167075	743.689925008797	509.707473317869	639.869404504734	722.491674328356	847.810438376354	957.785841259312	903.655047257662	702.897143689974	808.820759004425	857.349041606764	849.965782212314	954.40748514088	1163.68105352327	958.633521942912	1239.85876889948
AIFM1	2054.20911265244	1215.60359219953	1350.17169414089	1350.98852987092	1331.12428804523	1665.63841230912	1470.97730216754	1291.28033880476	1531.2712850061	1227.73435953899	1249.78562420773	829.500485653771	748.185478543708	1033.32411517911	869.125977676404	1083.73011662319	641.661964921901	781.989891416276	813.937800415818	818.293445004907	1248.5752080171	1330.93858179176	1400.07960394559	1559.84260124532	902.025120405475	1124.38865318983	866.099444258619	1217.30984110147	695.350965757258	612.59702306191	581.204908640144	629.567844047647	707.217906643467	741.806469869338	835.295873531734	887.295163276753	650.917528873398	765.808823883468	582.369962621282	444.636442465303	528.365399810485	586.703069104798	491.319244214336	852.294294255735	866.294492792146	581.248337465601	593.275729567403	606.570926182851	726.095375479629	543.478095159313	558.158557643769	667.159953323905	781.622930778125	493.040043817288	808.208598500715	704.021240151391	1147.62514523725	511.744928755661	653.250739691693	929.165061919739	792.200386841968	1021.65434335802	736.964549298766	960.271605584664	713.100684700426	840.600469473659	940.868819707494	1004.06341380448	732.253377215669	830.369207223649	890.73131056723	708.70429886621	809.912760526909	768.340948709485	552.874978787271	603.374374598726
AKAP17A	2323.82802375101	1922.67751224895	2151.94049006321	1661.11579818321	1600.18632529825	3223.16338373574	3837.73265798861	3370.95637785319	3075.15126368371	3251.81201326857	4259.78438671648	6511.81959522617	6492.20171664133	14271.4826125203	7786.28463317004	7413.62851032796	2059.83084174841	6147.86097298435	6382.32945689355	6118.57318164375	3659.76547724749	8884.75377149147	8757.06414684104	8073.86915528402	8683.8751385889	11627.9727656359	10934.5905419892	11552.7058535316	10391.0548319622	2150.59024060552	1560.96926463077	3854.21813607044	3444.21403358375	3652.96942533238	3569.24443852258	4321.18425683463	5563.21684671024	6120.31281670209	5501.47828660667	5100.30152712213	6289.87924052081	5045.49154685592	7043.54022045701	5234.02361792277	6298.28333191878	6490.79489778136	6107.25129464799	4969.99039124945	6019.5964066195	5763.70467792294	5897.0621124614	5043.41155290668	5514.51610311222	4305.11877614323	3884.90951816873	6670.77894830669	4371.33571894819	5549.71920061301	3501.6997361457	6955.49579607171	6418.32096807523	6634.83182339342	7119.15399099173	6980.04194428428	5430.3392375591	6652.40716639393	6326.17819198698	6264.67020484935	3406.2262343778	3119.34540988922	9490.77935110868	10427.9792922269	7772.89890271202	3070.87884469616	7835.77727760522	2828.98303355872
ALG13	2910.3674947285	3677.79389211766	3291.87620707829	3825.8515337884	3106.34625790876	2478.9456355756	3264.14065835015	2394.3950160666	2923.99337420437	2932.57033227325	2523.42245335059	2435.38071956004	2071.60919090227	969.158162894727	1766.78641916055	1504.14338934615	6499.14348901758	2039.6283951992	1908.79867851967	2426.08838105872	1320.489776879	1231.69354861613	1256.8760375423	1272.3129688346	1659.10825865166	1092.31949442954	1954.33881172671	1254.0617891429	1602.88433126868	1955.40223047274	2141.96399408587	1630.30528577699	2858.73194458951	1861.97867634207	1927.32993323306	1524.22726826754	3156.48834779188	2617.61145776256	1982.8304155026	3527.71506306045	2154.02275764164	2265.66914233058	2151.00992157537	2056.68040309427	1731.73795756007	1774.85856685992	2727.29821967551	2272.20145763488	1952.29848831724	2175.39828320449	2137.47290105756	2230.6088621206	2114.11279160786	2574.81466321976	1948.4807995394	1978.02567428617	1590.22613063549	2321.73154828664	2709.13265056443	2512.79314492173	2269.02275993096	2379.15949567682	1213.98491387378	1368.64016565849	1240.3603279768	1638.92293704632	1730.83180110999	1691.68301926977	1208.27089676329	1720.2443732816	1735.54091485204	2415.10593379816	1552.58917029612	1564.18402188379	2732.80933136838	3901.03536492246
ALG13-AS1	4.17049548095932	4.18523802677822	54.2848003787179	26.6184089052361	15.6029899635862	60.2108533914839	80.4606950564022	5.5625664147616	3.34713750808664	42.5823234897714	31.8889581488818	110.028312030247	142.631052355527	34.4841663081558	117.224383168486	3.32666839757707	222.024277156933	73.2331492006415	203.625058338256	44.7457971733903	14.3310857130909	16.9444001698191	35.5441371441459	23.6015793414516	15.2636205453024	14.9541391587849	27.3243772127083	12.3318850508086	26.7657537129785	35.3360053741145	49.3355515077508	43.7603509472753	48.868260977641	54.745420950019	36.5038021747275	37.0870730566807	76.3789325910077	51.4013824843163	67.2165896621433	45.6021232026141	157.464966213103	63.3419280461721	65.0563358540426	40.5008439138187	42.1588487993817	54.310634311459	54.3327593026267	52.9306308603618	45.2516682700024	61.8280446339861	58.522359607657	54.9108290576797	35.6394209512145	50.5245837923601	66.4682195912987	44.4072618191352	35.5079993441812	57.540628538237	53.7533511887612	11.849979870452	31.9112803279158	26.1595031007131	23.211156193256	13.0656963360895	22.0503963575556	38.9521187077947	27.9927268586425	27.1228840664809	16.1759950634045	26.1727767228932	52.3132485932746	43.8911409262228	46.6741016275904	27.2757281335319	36.5598277068013	53.4901244508811
AMER1	360.135576254675	557.983105375924	487.574150576003	396.925020117065	556.791375395832	505.708058262607	395.460144021672	457.722145081988	626.487837075116	502.987846758777	428.406100191629	839.465271870851	678.018456860731	1823.89801233756	848.942426531636	902.349814266707	343.32433025669	542.614430210326	598.11722075853	525.528230299825	1308.60410165316	1160.21186297664	889.163603022846	813.985424334212	1230.08493235551	992.091909177872	1049.37890653936	1119.11913479185	920.844331301241	503.493480615172	493.17240296584	530.206377317723	469.758861971862	461.376644737125	470.672082328335	482.266080763528	552.040604087081	493.516079168588	571.601124288705	484.311769726172	823.223261461231	563.577616681098	547.202842685505	485.765599395656	596.244866581016	638.794973522376	550.604735388592	565.193574178768	547.228619465172	551.434815406883	595.674433869267	521.367748418854	604.652413581948	693.344459098291	618.584111186961	594.959620160503	547.516739617908	572.870899256872	412.978469497051	600.971995560249	515.930844238971	599.851785699115	732.951283810141	522.934471094569	428.795887116058	620.607221025375	739.288454111711	565.496877200412	512.074576954989	612.756501941603	558.981256466609	535.41350772929	571.76115716743	593.768389687888	581.709918345481	469.146640807283
