C8.CD4	P8.CD4	P9.CD4	P10.CD4	P11.CD4	P12.CD4	P15.CD4	P13.CD4	P14.CD4	C9.CD4	P18.CD4	P19.CD4	P20.CD4	P21.CD4	P22.CD4	C12.CD4	C16.CD4	C13.CD4	P27.CD4	P29.CD4	P28.CD4	P25.CD4	P34.CD4	P33.CD4	P32.CD4	P36.CD4	P39.CD4	P40.CD4	P38.CD4	P35.CD4	P26.CD4	P23.CD4	P41.CD4	P45.CD4	C17.CD4	P44.CD4	P42.CD4	C007G.CD4	C014G.CD4	P46.CD4	C24.CD4	P48.CD4	P52.CD4	WHT7559.CD4
DDX3Y	16386.7119889438	14330.8943710333	11646.8299675251	3346.08984701487	7127.55700541867	26077.9275832499	12405.6099534284	23682.5255902792	25492.6381101299	4474.73351594807	5781.13450029706	6469.67406325901	8287.03320113928	4394.33535955319	6500.34972465699	5906.51143219913	5562.45674182009	4644.2126862872	6502.62914298786	9056.22634836989	5363.64484009348	8193.88354651753	5585.83816418496	7222.91394875857	6439.37359906201	5382.74874628781	8095.20233690499	6638.20372091429	4009.15897604576	7189.35761122586	13930.2206900992	9028.06056472927	9040.70137398177	6476.89636216064	6071.91289362303	8281.38541752665	6358.33103958408	15447.1232395258	10388.2569331559	5193.10996519047	6941.43838587852	6137.45857648002	16138.520081305	17571.7261546841
EIF1AY	1409.25653225892	875.482479083378	581.428899023751	323.212727511849	769.98712854136	1250.48588617247	844.176885055218	2540.39144997334	2339.23361963405	531.253643778451	580.931143314895	526.280556133688	522.258026265045	434.438220607874	443.581200074272	507.624117469278	453.944280680796	489.951638951901	391.168506156804	489.885876469093	437.635274867255	395.636769898219	361.084274639028	708.952865450448	543.528815288379	353.784536128752	489.979790603058	445.136601367401	395.618659355077	412.566580497589	746.429124847138	597.507828088478	778.028221093479	486.316113975003	505.783238860116	907.208868398261	367.152335864226	568.715999003327	484.656055129995	477.519843084746	419.377031083214	543.932709117142	1000.06313543172	452.908848448391
KDM5D	5362.84080420261	5112.2422855374	7547.85478521465	3388.51401822983	5378.09745210972	7035.97245385818	6888.22189440913	10188.9999669356	14442.3169888413	7552.96924271949	6803.27963227202	7356.44679865371	7318.17937595724	7222.97280533624	7443.70467429416	5378.84691335281	6139.71753889569	5611.47299141854	5119.92635711296	5826.15623579707	3927.23505469271	5182.78661986237	4667.02853078215	5556.73366726824	6330.46601248637	4950.38075348536	5846.34776725052	5351.06480874497	3981.97027892705	5227.04661525278	10348.5990079526	7749.73932969607	11400.3015115286	4316.55358011424	5920.43045179245	5548.73333046077	5021.30839775193	7426.34085804149	7706.20708719358	5295.57341707025	7733.77000467841	8847.91784777639	12637.2802679997	8544.38397324774
LINC00266-4P	45.6584568594375	99.2717933572211	89.824585445706	32.4225540262147	65.4484644089868	79.9958452895983	71.9172371802184	57.7514048695823	70.4795067524021	54.9130621929839	57.4344129219618	65.2380816011373	57.9576603226171	41.0848278924078	47.5015152084329	88.9980015577199	50.6739129910266	80.2227126920223	108.576414257878	109.985744291791	109.041359680443	163.409310962973	114.473745619078	68.4231447373435	91.3335513371044	90.4121579227721	84.7894732149378	124.461863342241	107.402767534622	100.426870700775	129.066738131577	114.529358347612	89.2985546735528	100.874114818815	83.4911752599284	42.1500878660305	97.0128838185376	58.4017230220754	44.5827692420324	47.6462651058472	42.8565176509992	62.0955599589584	59.560669801811	66.6392457855251
LINC00278	42.6733426347335	26.8344013373018	24.7267147465963	19.1070177481087	40.4937531119043	23.6215047094347	17.4745294271721	1.08750996247724	75.2013660191973	35.2104585551307	18.8583660869556	13.3902322343136	10.2596229362858	10.4614258071598	23.8887132793839	80.0821309980311	80.5473099448372	90.526330323442	75.4009037015133	36.5146144168469	43.2518167263827	62.9451898316285	44.9709698927185	76.2266191573965	90.499772266799	68.8889020886632	71.9317593121411	61.8345478165039	61.293882008022	29.1984871594663	89.6890796071723	82.7232233426856	185.051414983932	95.678601685514	70.5154959005057	30.1107395347033	40.4411483032665	24.7954736162676	18.9466502133398	24.8895016684822	25.846690939905	25.4305267082931	40.0185376388431	32.6521427376471
PRKY	4699.55994220906	9478.61708974271	7695.872650812	5889.90194038551	8652.00824052703	10006.5750264728	7104.53675348223	14646.8787328095	12462.4114157879	5989.81095256757	6728.22500205384	6407.53083620689	7565.13266106108	6568.01338353999	6921.08403489778	5690.9410203164	4738.71415649093	4375.32857923814	6488.06017409211	4936.01679315356	4995.14445293078	5877.18847397362	5830.08478226279	5092.71636013977	6426.7071447736	7413.65594575514	6543.46593114758	6366.43292122406	6186.70527546113	6798.19509789462	14011.774908618	8733.94255087944	12952.6931177399	6578.50526282246	5162.36171343151	4819.07955553711	7217.10201367899	7829.57547413448	5944.82191246438	5889.82332606387	6016.12874641107	6608.4988515806	13851.9512884771	11661.1550729507
RPS4Y1	36649.389830005	11186.9166655004	10116.6910833676	44873.3262880338	15910.8468719356	10871.9062818565	10446.8164572651	34790.4175607204	22109.9015970023	21741.4002771736	19277.4183838966	20992.3897694403	20788.6731581391	27778.064877808	19711.304371562	7879.15059702571	8480.77186933846	9970.94686235769	8896.59959263762	7465.18192597943	14715.6749754231	9045.94326396102	12326.0127409776	10718.8118874487	11116.3086487133	13137.9081092854	10665.8062477633	10305.1680543841	11507.3940146536	10547.8948630492	19267.3120177008	13410.7841369343	16425.3348692079	9188.52312283948	8513.02151361985	26678.385308143	8061.46685407667	13536.4112832396	11784.1334991657	17653.0504876412	12600.8806107877	10032.2344349335	21599.7381545561	9507.34614372129
TMSB4Y	106.301327719336	54.2564054051814	68.0959608113916	78.9158804474328	56.4484645324891	52.8993353789146	42.8136025883526	58.9659289032578	115.108462336418	55.7921475280817	51.8184253364783	48.4391926676063	50.227673671338	31.5389109650615	67.9482021532138	47.8887325404256	57.2079996162298	44.7328801416254	72.1287179842433	48.3237704692522	44.5288798129071	36.6979670841733	32.6483258444659	57.6589785624404	52.305982093614	48.0769823634307	42.6258550465995	61.5563073000238	41.793646127861	28.4143266131526	101.599984591197	63.1013206543205	79.842217700706	31.1582505180612	45.6579528644237	64.1438287664517	36.5852541344383	60.7157052336661	27.2250350547802	38.8235812974809	62.0396755554416	65.0121658279062	98.2625369455567	53.2527958870298
TTTY14	42.3158399403205	81.4018328188609	67.23379603739	69.1185027796303	85.8656825163103	101.356334720941	54.2145255150387	46.7624788518311	121.265215475252	75.7696836946121	77.4038200942977	64.1592715401219	82.6315555361932	71.1928968062335	57.1786108515094	119.3164619244	64.7130744803957	99.2520343393174	99.338075693363	177.425018142245	136.567726826657	156.556346345053	101.410360654348	76.0812467060756	103.125930864495	91.7351654532688	130.04794575411	119.954607871305	123.403109804844	162.293413702546	321.941893014613	229.486716957872	227.760658592549	146.084703551258	55.1195263921231	90.495256569863	117.759333516462	91.5361929097006	99.0047825001632	73.9174997355248	55.8857193953786	65.6208144680972	124.069230466651	98.4364876794306
TXLNGY	9540.22400999247	7300.02912872503	8675.79298548707	2001.31546743609	6016.44184118378	17572.7241676942	9272.26887903672	17932.1105249078	23764.9693405012	4123.34951343522	3379.75770073052	3792.89837164511	3851.90433815536	3180.65774587994	4125.26700686025	5979.56805099473	5390.17863163627	4954.72389946848	4182.87008201828	4394.93811926442	2841.47228236444	4864.02191787256	2924.40553373018	5723.99422066689	5794.67456498851	3788.37521297068	5973.35459348378	4902.83137386796	3509.4171697208	4567.04435118119	8886.75235510756	6885.32192828398	12619.6642515107	5245.9594304606	5332.49211069539	6027.01546764335	4108.65532620472	6641.2885998418	6166.50010571129	4258.67937677071	5491.3218245233	7119.50468723277	12052.2699923283	9122.29963771514
