gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi
DDX3Y	8101.64677825721	1574.13315688775	1578.75128296036	1334.27513354906	0.244693836287773	0.489387672575546	6025.80179782028	1809.30749276915	0.00205292051942349	0.00287408872719288	0.685869436834304	2.31931129364768e-08	4.52566243276813e-08	0.19486794798279	0.168988067992458	-0.136348665282427	0.526084561248008	0.743774934003791	0.266005129418135	0.222404880344246	1.26514498766334
EIF1AY	584.808238030075	118.441946567342	-38.5168455481455	89.0207450931411	0.667907071225727	0.935069899716017	533.45237440944	120.714159365686	9.14064298206292e-05	0.000154136838570472	0.787716725848687	3.27304567425545e-11	1.14556598598941e-10	-0.0658623511835083	0.152805448926138	-0.365361031078739	0.233636328711722	0.912183412816436	0.277017672013115	0.36922877567073	1.45513804996214
KDM5D	6412.81693093653	465.606436306445	-20.2323241782675	463.752798790597	0.965449373513658	0.992326007499275	4822.1124494259	628.859365318929	5.36076185518666e-09	3.75253329863066e-08	0.771860046592451	1.10489886372037e-10	3.09371681841703e-10	-0.0031549823417948	0.0723169131981593	-0.144896132210187	0.138586167526597	0.751949182606975	0.112236462564242	0.53196571598106	0.97193264923289
LINC00266-4P	59.7444596574073	8.62266294534104	18.0999522311163	8.70360087567871	0.0449527987389847	0.314669591172893	18.6569126929454	11.8022811656173	0.122922461462652	0.132378035421318	0.488303097454279	6.06904493474017e-05	7.08055242386354e-05	0.302956162544726	0.152100688597619	0.00483881289339305	0.601073512196059	0.312278540971494	0.202622125585918	-0.0848608251769062	0.709417907119894
LINC00278	49.4033384794675	10.2046494019445	-14.8624527286877	9.68096753366616	0.133720257541099	0.468020901393845	26.8074869948315	13.1276126306322	0.048736644218363	0.0568594182547568	0.548954307215582	8.3258462539571e-06	1.16561847555399e-05	-0.300839036108151	0.205574578509435	-0.703765209986644	0.102087137770342	0.542625009157487	0.288394727597651	-0.0226286569339087	1.10787867524888
PRKY	5633.70658233274	481.607455656659	1497.21751930543	552.826825162606	0.0103930183712445	0.145502257197423	7031.02109251645	749.645775313182	4.41378137077206e-11	6.17929391908089e-10	0.763172297540089	2.07380979804369e-10	4.83888952876861e-10	0.265760649303372	0.100724099844456	0.068341413608238	0.463179884998506	1.24802756227413	0.170554568183222	0.913740608635015	1.58231451591325
RPS4Y1	14880.9156830354	2579.3588426918	418.993374937244	2687.64798422126	0.877010757334617	0.992326007499275	9579.80281750036	3644.51192524501	0.0126492346591686	0.016099025929851	0.41915909341741	0.000424139365925394	0.000456765470996579	0.0281564242323411	0.180676317538472	-0.325969158143064	0.382282006607747	0.643764336923267	0.269134145863294	0.116261411031211	1.17126726281532
TMSB4Y	54.6385037551491	5.23270371068184	1.22304287041721	6.0653663436872	0.841362693295831	0.992326007499275	38.5371904571316	8.22477500785978	4.13266022866549e-05	8.26532045733097e-05	0.498824760189275	4.38942118776013e-05	5.58653605714925e-05	0.0223842672540599	0.1110297096583	-0.195233963676208	0.240002498184328	0.705311965163392	0.164991385977702	0.381928848647095	1.02869508167969
TTTY14	77.6830815311937	14.3575137386116	20.2711972351229	15.0685703942193	0.187192028844231	0.484420221463868	106.89717388453	20.433324907331	7.9613252966558e-06	2.65189757976209e-05	0.567821288069746	4.2094245417042e-06	6.54799373153987e-06	0.260947388228709	0.199880673188845	-0.130818731221428	0.652713507678846	1.37606762988162	0.365881626726349	0.658939641497973	2.09319561826526
TXLNGY	5787.83261230697	1060.04951994823	7.92109009321592	817.701841663802	0.992326007499275	0.992326007499275	5569.61118388047	1108.82233489443	1.49660840399316e-05	3.49208627598403e-05	0.801580159031536	1.04270811643713e-11	7.29895681505991e-11	0.00136857622253499	0.141279678144951	-0.27553959294157	0.27827674538664	0.962296520469082	0.260316771407605	0.452075648510175	1.47251739242799
USP9Y	4591.08761151124	890.500155716712	669.680985261697	710.396547673595	0.352303353170771	0.616530868048849	4984.39114416451	963.313910470858	9.47106278486461e-06	2.65189757976209e-05	0.791800115801106	2.35621679605627e-11	1.09956783815959e-10	0.145865433624618	0.157299142683928	-0.16244088603588	0.454171753285116	1.08566674521025	0.297269263016772	0.503018989697377	1.66831450072312
UTY	2621.87774680718	323.656887921562	402.252708191761	313.303211228279	0.207608666341658	0.484420221463868	2469.55363045939	424.846295438449	1.36256955887258e-06	6.35865794140539e-06	0.683794933951856	2.58609281872465e-08	4.52566243276813e-08	0.153421611164597	0.120987271298996	-0.0837134405814352	0.39055666291063	0.941902662497027	0.199439218700463	0.551001793844119	1.33280353114993
ZFY	629.34940754013	125.596929580039	-65.5682655789103	89.4039245531381	0.468202630020644	0.728315202254335	532.445572666992	121.23375944712	9.90879676524464e-05	0.000154136838570472	0.820268336079147	1.94209363733639e-12	2.71893109227094e-11	-0.104184201642757	0.143571170139133	-0.385583695115458	0.177215291829945	0.846025381589068	0.256152248694539	0.343966974147772	1.34808378903036
ZFY-AS1	9.32973615606122	1.13912907687857	-2.64235191718828	1.50174666375941	0.0872288629981303	0.407068027324608	2.2653637113729	2.03640270485568	0.273534219143363	0.273534219143363	0.150815516878161	0.0823880029567589	0.0823880029567589	-0.283218289669599	0.164636001450597	-0.605904852512769	0.0394682731735701	0.242811122788416	0.22027428031344	-0.188926466625926	0.674548712202757
