P1.mono	P4.mono	P5.mono	P6.mono	P7.mono	C4.mono	C5.mono	C6.mono	C8.mono	P8.mono	P9.mono	P10.mono	P11.mono	WHT7347.mono	P16.mono	P12.mono	P15.mono	P13.mono	P14.mono	P17.mono	C10.mono	C11.mono	C9.mono	P18.mono	P19.mono	P20.mono	P21.mono	P22.mono	P31.mono	P30.mono	C14.mono	C15.mono	C12.mono	C16.mono	C13.mono	P24.mono	P37.mono	P28.mono	P25.mono	P29.mono	P27.mono	P34.mono	P32.mono	P40.mono	P35.mono	P38.mono	P33.mono	P23.mono	P26.mono	P41.mono	P45.mono	C18.mono	P44.mono	C19.mono	C20.mono	P42.mono	C006P.mono	C007G.mono	C013G.mono	C014G.mono	P46.mono	C23.mono	C24.mono	C25.mono	C26.mono	C21.mono	P47.mono	P48.mono	P52.mono	P53.mono	WHT7559.mono	WHT7645.mono
ABCB7	994.838246562831	1206.06603468113	914.558349817749	901.24273451631	673.355572850366	1738.32749380181	1720.71819462338	1254.29840318685	1395.63885583485	962.456601916475	1729.74790821519	973.13954904016	900.159925354913	1230.16730725473	816.738942229811	1363.59781157398	496.389271787318	751.89715543422	851.81570709134	677.336134729947	672.513674624478	574.280784047877	533.33373337655	652.600108346935	625.58528214301	863.687943315075	529.354565487408	397.568602705308	610.435614903111	525.348506323656	434.583629734227	563.167161966717	527.416110861819	616.517259381361	597.892409709857	567.662436200769	452.951099277166	658.227615710098	643.607207132259	603.183505905964	622.117799222042	685.06209264769	554.505516408443	664.817278008017	363.357435497544	556.877107780544	569.289502142933	707.044742433629	617.036313998669	736.95116230034	613.566566449099	465.03720216627	637.804193757405	466.673855053526	768.740664591295	517.521379802869	985.362373500298	794.220526665451	855.967298165198	679.959609902306	585.503432323061	527.223433799475	657.149537610673	807.117560550717	756.014598209351	737.677130465555	732.546785711701	746.10688956131	615.016485878805	792.129949167033	1156.30890297913	1044.08484745857
ABCD1	1594.91580036762	1280.61152054687	1475.74242656191	1203.86405346809	898.238223245349	1133.27581588565	740.122539534301	1950.66913089259	1822.26691460905	3299.2583063792	2798.83629046556	1435.49323019798	1232.49632625797	1295.95209486414	2006.67261814141	601.863068844674	2327.08115528795	1497.26579798903	1769.33116242987	2729.18143241975	3163.88806881328	3650.84223579538	3802.32277053407	3265.51632725107	2938.62748496188	2382.36556272539	3322.23227387573	4101.8121975139	680.854312124004	1195.94516155572	944.071218425822	1019.80897137276	1145.32737222803	1283.57231762589	1028.19430069027	735.898513522229	1353.2597894626	960.260915179877	857.59567183842	949.714636936855	1000.05879387553	577.533031069741	1141.26032445683	320.503777494572	1337.11834053209	1255.05406635914	765.322280471504	1183.88428175526	858.652596038576	1330.77312971397	814.970235925907	1130.0356912325	1244.34465705572	1367.80240960258	1185.09007841673	1007.50307516719	1966.84357545667	1876.80208522748	2121.46316370219	2890.06251497529	1959.16178771724	1773.9136467973	1819.55320269338	2269.89096165555	1849.7772673583	1600.63858317018	2183.50465962986	2239.66215186393	1881.9083749419	2213.72883304919	1450.23152378817	1596.41236560458
ACOT9	2588.90550803726	2199.44078169642	2357.72667832677	1830.72877708647	1513.99164576833	3027.3477006902	3268.59634917669	2397.47509380421	2823.59434770913	4126.66901335543	2361.33059188406	2358.35479050677	2107.91901465291	2475.33710677531	2024.35967458107	2488.60387841224	2151.44055615658	1985.88877763439	2082.14153089318	2295.16051290813	2380.72698399146	2830.78352853738	2392.76628795565	3030.89907518334	2581.57527322613	2294.39217823658	2411.76978558688	2904.60498567218	2030.76067567563	2027.0157324244	1852.81198510549	1484.00244262389	1576.58490127214	1668.70987610906	1789.99968912498	1531.97009217305	1336.03057822303	2923.19539079342	1809.28632710177	2866.11788634951	2167.71761133988	1821.54713067616	1895.63688837924	1733.48225101612	1938.79566143459	2237.09474467324	1698.91337430387	1743.34606029799	1908.78495002127	1743.40211118306	1861.68104238412	1840.30573385376	1768.71491865701	1728.75400170959	1727.78867182905	1797.82457344975	1728.14379307973	2089.25526401126	2217.42322813402	1951.30025318406	2574.84440053249	2238.47318352208	2054.93568661702	2449.6740354104	2214.35120611523	2593.79401031754	2034.18859887102	1912.92308695682	1897.98034776212	2383.86421671515	1933.88724121031	2149.98629463627
ACSL4	2895.38098209142	2422.4562578381	2480.91957196817	1686.49315311168	1103.81634951607	6808.86898321187	5763.83356149765	2487.3296827366	3845.49076617358	2077.98724797355	6476.57127060384	3399.38589146317	3293.00027554447	6167.59138611679	2644.38025490853	7673.21930995077	1852.73649578133	3643.24630866037	3800.09594769741	1682.76067577343	1879.864815723	1185.27777071212	1232.22694597251	2298.75089787171	1604.06887481031	1855.1248030365	1726.1576377886	1164.12818912498	1507.19239560008	1439.84436605989	1706.32554542951	1614.41474884718	1460.62769306521	2162.15247486659	1651.81758139385	1466.24470021388	1226.28751077279	2408.77474283794	1671.98259043449	2164.19816060069	1698.41182419692	2343.59603158333	1695.72050434353	3238.20754323942	1254.10930247036	1596.66866451102	1726.049912108	1602.65703127849	1495.59109993456	1787.87985258158	2199.20953983751	1585.04849996291	1524.99446797384	1263.73479831048	2669.27836097287	1591.58689757105	3373.44084791982	3024.75319892305	3339.4490895354	2394.7006285459	1620.18457308062	1713.56183604572	1958.89287539203	2614.96260906929	2395.8693876859	2107.38532114667	1903.08133873896	2397.29601686847	1763.43501734711	2106.86326726832	4290.30481660878	4144.06641037397
AIFM1	1198.67324072753	1258.21861079896	926.627257639926	827.927527786273	732.38217436894	1058.15010344814	1350.210277444	1198.22537609793	1471.31141395433	1326.30793597109	1423.76832328972	671.104310869414	909.54783526425	782.343945982029	954.317358971807	703.950569033488	873.850181006929	807.10580121395	681.686542865897	1088.64135575127	942.877249322564	1258.6710334205	1059.94436812438	1029.8177451996	1125.6492755817	885.592275401579	946.761171893855	948.980659318014	587.945970732262	615.286779578024	591.322388619739	500.194347612209	629.504934316035	613.323072547927	602.602280281513	436.43775318131	513.970953572707	516.31151085666	661.046690791557	444.959890880444	628.807518831334	579.228743753117	491.585507128856	490.296059131209	458.795976892107	683.530254548977	504.17825912253	621.077600946069	615.48291977142	664.56502279514	467.678810516014	569.112971979979	667.902647893613	660.006470293501	525.803096126974	600.549608398522	570.758711466273	680.841576684312	681.886270741899	775.557129752053	846.445785467147	743.715668255438	680.175925549346	705.714438253141	707.309837429482	631.186370920556	751.043211982505	779.504435152193	723.270214158402	886.731954642534	592.483995715222	677.570842044652
AKAP17A	1873.57451070915	1788.45675883272	1395.40256452596	1312.43196492678	1098.72457841197	2332.0410810462	2311.54395467516	2886.08984031338	3850.79800297402	5804.19918882601	4381.54410991271	5244.25484894262	5234.00530553852	1744.63472659681	4789.51039766607	3570.43872941567	5456.71733351351	5453.67549216154	4427.77367107307	2651.60174449551	4971.22922223317	6118.08371938402	6373.32538450718	7305.93769537276	8151.85287667412	7619.9980498927	7859.79845429187	9394.33320144174	1512.06625997481	1648.94806221637	2612.8716679144	2531.52260233917	3067.22130054429	2412.14084744998	2572.07812861484	3017.31931798347	3484.78962278437	3701.74499320192	4186.33490787479	4101.78381257862	4063.82660951709	3181.88435160096	3986.63317539048	2132.87388022199	5143.55358991504	4150.33223169355	3303.9592593696	3500.28068280826	4877.16482607249	3841.42050443516	3961.74030466297	2840.07265845764	4867.42724808401	3232.22474440085	2441.76591689372	4385.20486474069	4824.73843475034	5066.54841964713	4816.07569612327	6556.10217987846	4569.4959194876	4634.20277592023	4824.2269713998	4161.34486904194	3524.06515681578	2306.56166093062	2111.57961361105	6704.69833453792	6669.04215833219	2587.95652158915	6187.55981859192	2751.84529958995
ALG13	1071.17314963535	872.918828651328	528.340941864797	376.547007495366	351.061130213815	1772.31914265284	2050.89294352867	907.714064092561	1005.58520481824	1015.85973462143	1613.59058091516	1270.09952742004	1451.18151687626	1410.21741997277	1011.20939753214	4971.42716548473	732.915426109944	1096.56678445666	1387.90292896829	895.214245181439	855.57174662333	880.940800975096	803.579857445418	1310.54733185561	969.558204708441	1394.76370537605	871.516059551504	719.080063011376	888.536132979541	728.498175338606	685.923655445241	1230.28043002657	752.233312401745	1042.39941328766	1037.55340256604	951.544481850856	891.379596849178	1258.67894945227	865.714577974306	1273.29377922184	808.575211983036	934.466166106863	935.979687504255	1031.09065319785	752.350396238126	772.836465827882	879.375487917854	746.271399625688	726.407853407865	1087.90999696582	852.056378136212	1054.32511960636	875.573961549317	680.549956489089	822.925986019991	1003.41054438015	1271.38007435184	1351.29638861235	1598.57940634456	952.586912338239	827.265235008189	853.251190913649	778.538677948982	1031.04033154569	1250.65730568051	857.028689019669	857.22429217044	878.291666919473	1076.44165736979	914.054451027565	1304.55142303492	1554.50276149279
ALG13-AS1	14.1430902191605	27.2889992218708	1.93603412606606	32.7297391731912	91.3782582469202	19.8255238321455	30.4965378003852	6.87620362555245	21.5494931894307	106.027297914632	3.4850101555361	51.3762447453695	28.9482695134637	61.6617633843693	37.3981929616823	85.7301830185773	26.7187596803576	51.8803014237005	22.4929456293039	8.9336544496345	7.62005084780194	18.3202391112557	20.5418564449633	19.9631036149512	14.222566287713	24.7894967544643	7.8420045781807	1.16158331713997	45.8497451632139	31.6781353447868	12.399980028397	39.5000339947586	42.7245672785848	30.6806822895017	41.0846445675474	76.2837262686684	28.9048462449028	51.3791142537593	29.6388433333003	22.03805428706	33.4225775385671	51.3287379247163	21.7125026559234	67.5861489395018	36.8898337698392	23.117075547963	34.327806147683	51.4588351601066	24.7722615778322	44.1463019159084	29.7347815260742	40.1257891150738	35.1533542935371	26.276462813537	37.4487460567711	28.8340727177557	15.1740445661908	5.92775918164885	15.6893425316975	12.7755936142937	16.609702438086	11.9421426891094	29.5645759663708	14.362960134733	25.7307147035051	16.7666156333282	10.3933858039016	21.9487847946752	34.0055856802934	14.3953123726648	16.5536176125752	3.93366659031338
AMMECR1	331.626169939756	351.62459303933	453.861229113424	390.07999654762	372.639828694035	298.501827456861	249.678038246883	275.241947339453	295.301065791657	172.148645176901	238.712162488934	255.789691744505	250.575960960592	531.529289565979	300.222431158158	384.0031740371	234.49547918664	325.636687280315	313.536790936032	202.311632254222	177.872655455843	123.792613318478	139.21676932989	195.947024015666	137.662532753902	138.722342734065	158.718653342794	139.970257432521	331.364380914851	273.601057870189	205.474391868504	359.47199820404	267.537307830382	375.343910083401	312.278566839462	289.949901171868	318.693480406638	257.627127510236	207.690390300423	166.103216859343	201.345521566677	288.102546179269	364.206408494804	294.199116982183	182.593968838702	276.941205537741	469.142045093072	288.468124696743	229.441698193544	315.42854404785	219.45846845977	371.783709806987	247.024450752246	254.227393650043	261.747350462203	225.164166632307	369.715030317365	392.109298294313	270.750862908933	283.673296916318	179.066225268105	297.208392415136	240.208948344097	267.177440092061	322.533835674668	274.767626796931	275.238743981437	295.666385074931	318.474425921151	259.063927084649	293.684585071358	349.002791204669
AMMECR1-IT1	22.3035006014562	34.7920550663098	28.960062075624	91.8433417703574	85.6445574875999	25.89483462526	35.42820372691	63.5524824897295	37.2864140703577	20.8214733214853	11.3892289827361	29.2980861094255	25.4088833639109	37.9636786451344	28.4534975468881	18.1122879648905	40.3530497042977	30.068505110671	46.9107981713479	10.7509448352154	19.3973794252051	21.2462069264549	5.78634136773563	5.24884980531793	13.6835424047161	6.27036103789447	26.8698768534618	9.74040946669561	56.9247651579514	46.806419246362	41.8858278293804	29.7646594843521	38.049569063932	28.8382904258519	46.7945436779409	55.987808094796	57.5415608476744	49.0636686561984	26.1161348205266	63.8805002584527	67.6965585875577	98.6690143839801	50.6959828102475	72.8112222578203	37.7349704446725	36.1452884297482	57.7249303437673	82.1693969463313	62.5385165448393	40.920290769492	75.4598508490048	51.3083996099045	38.2444057396873	35.4431741413756	48.1246109973786	42.787807407823	20.3482357055328	14.9213986951562	12.4254057272141	17.8970050733518	54.9215363948056	20.6693720189046	17.7693775367385	27.1756347367879	21.7665849457984	17.4628809390395	20.2339700058358	30.5914850293642	27.4614859173488	12.1455339336047	21.956102885183	26.6838289127529
