P1.mono	P4.mono	P5.mono	P6.mono	P7.mono	C4.mono	C5.mono	C6.mono	C8.mono	P8.mono	P9.mono	P10.mono	P11.mono	WHT7347.mono	P16.mono	P12.mono	P15.mono	P13.mono	P14.mono	P17.mono	C10.mono	C11.mono	C9.mono	P18.mono	P19.mono	P20.mono	P21.mono	P22.mono	P31.mono	P30.mono	C14.mono	C15.mono	C12.mono	C16.mono	C13.mono	P24.mono	P37.mono	P28.mono	P25.mono	P29.mono	P27.mono	P34.mono	P32.mono	P40.mono	P35.mono	P38.mono	P33.mono	P23.mono	P26.mono	P41.mono	P45.mono	C18.mono	P44.mono	C19.mono	C20.mono	P42.mono	C006P.mono	C007G.mono	C013G.mono	C014G.mono	P46.mono	C23.mono	C24.mono	C25.mono	C26.mono	C21.mono	P47.mono	P48.mono	P52.mono	P53.mono	WHT7559.mono	WHT7645.mono
DDX3Y	1.83568979641083	2.33951281619813	0	0	0	3.12345775771821	2.1314405604687	0	4697.23177608854	2042.02993578651	3229.35788644696	10877.9128294427	5460.8587912907	115.533456466204	65.5327399165303	17927.5534498345	3843.83492433425	12280.3526466651	9525.67453654195	5.48976482894589	6.34462819834982	2.64461417327248	1602.42159358761	4152.61379882696	3617.10320800555	4679.89627272381	2549.31676585742	3407.66342998615	30.3636606625756	37.7942794226315	31.0896152659667	19.7583898791255	2911.76383191275	3150.97027011891	3868.81646291972	34.0885077050535	30.8806171933752	6627.48306332221	5087.20830813496	5437.77272187274	4832.41784037532	8084.51558516516	6331.81199982674	5489.82528048784	4106.93309431987	4530.20647253306	5184.63772054194	5426.41800149891	9034.55825292327	7133.64623707612	6527.03672141489	89.6018162329469	4725.09608607738	46.738777674332	5939.92096660584	4565.67446722058	17555.4013897987	16357.2208384064	31.6852608579179	10884.3906315378	4605.87560385023	2.95591219073963	4431.8887288424	15.3719301920223	18.6189652003216	43.511110524908	16.1477486005783	3334.90848909051	11629.4428690674	19.8555621342036	13620.4080827179	12.0101860845271
EIF1AY	0	0	0	0	0	0	0	0	747.98707696725	469.642179380246	1127.78940731144	374.417702542352	1602.00960787255	17.6867749846109	4.72946913632776	1529.21817284929	542.943270932928	1801.13484070331	2368.78572838554	3.32537696192394	4.77833260423566	1.96766440264411	501.730920222324	662.761044910796	653.059089357876	527.485132004654	470.85022656556	595.239086713003	1.82162483243425	1.03156037575687	1.94286834800577	8.31217549406572	277.733271412221	433.520478945014	373.214747293801	1.05896773441726	0	374.886422096051	242.519442533188	334.099405522955	576.61749053431	442.30135704019	334.548189677026	327.852526909988	258.350013069712	461.617523172652	365.03156087968	541.046164194047	879.574092854869	796.22011855783	416.802338154358	4.96133905023961	320.64789032145	3.07841334284836	353.454865480431	322.284315999491	321.802888416676	522.09075394366	2.30062639083985	405.61781466965	423.358807287107	0	511.065343322218	0.509347020106976	0.540447302734204	1.67480520496959	2.03615894879581	606.920439374821	1049.97876755639	1.68932230078772	394.361697632053	0.66650678829
KDM5D	11.4184056959392	1.21112016628187	4.25200232697818	22.3294686559393	7.11793882241352	4.1082949963669	0.698247551795629	0	1918.96926942771	1515.14163833288	741.148529372219	2104.8352574034	1107.28484257717	46.868986729777	37.630681222022	2736.83632383397	1996.14840374026	4520.66334337864	4357.20170047967	12.4605918680115	8.03945171608398	14.86211879268	2727.30652143157	2325.9176168422	2531.69735266291	2609.84930110972	2220.84780036902	2217.20719292543	31.2662277616385	70.4047589262645	30.3944886993192	36.8007403384507	2145.07247247141	2030.23345234772	2263.50473001361	30.1996381724531	33.3288211556227	2112.62193375295	1968.44469914836	1896.33796339413	1647.18556338953	2287.82308566969	2188.72297925937	2193.02584378297	1635.64097071068	1944.572602591	2422.09285459273	2421.0711476688	3697.90599026954	4617.25257125039	2240.63262364626	66.9755826979524	2197.98494526083	47.1986750914521	2421.09324093436	1799.49112728007	2747.67631875892	2660.96035639903	22.9057205407091	2476.21151503572	2227.38664807641	13.136675409404	2930.79558198432	10.9597579363608	18.4761603640552	13.7239108703078	10.6311755966553	3092.32232351628	5260.61078160717	9.48206496083311	2894.04706517405	18.8699854261624
LINC00266-4P	19.1777715898049	62.6569098822653	7.61356422789194	30.3713174512996	71.9470802011431	31.6251216084643	17.9434199082238	53.233295634077	23.9169533298816	46.1732197163921	10.0663059261025	56.23392149382	61.9644015630656	32.8675256454611	27.4594572433348	8.04824026521103	59.2493653339317	43.0466917028483	35.9621398542405	37.7096753749525	38.961830100297	47.5189747830963	33.8897541505926	44.6826084746638	26.4809449955291	38.0039676036876	42.8864730520232	52.4103291644452	52.2928440778866	91.0037002280278	63.5480900467548	78.3512299225212	61.0057174531913	67.9310605286766	78.3576453237894	65.3520611980049	83.3396686611626	65.1460559206787	64.5789256043572	50.0747822301967	67.2477519509597	101.935557455804	72.2231587283245	77.3128021174047	74.2774634048455	85.3412180556195	88.3033177211081	105.716621227279	53.8129994395477	67.9021706246873	85.0592133833053	82.9867940999681	71.2518668061826	54.2020620059539	64.0721625053438	71.8227076670176	41.7172806837349	19.8358664979666	21.7019244018796	38.9698954858462	40.4064272465871	49.5851945132915	49.1713489093185	45.1814986184308	42.2126187123687	75.6677405239241	35.2176499781054	43.3550736223154	64.4120126266449	50.1953253802783	37.5054960201526	38.5822504764259
LINC00278	0	0	0	0	0	0	0	0	126.230011444849	190.812180641976	92.2335097844519	108.1217990448	49.2005126353626	0	1.61397933343414	76.6366771563004	101.576769836832	218.944210206342	238.107255205856	1.08832213598054	2.50922444580052	0	89.1375969171168	124.567473540597	134.652762504192	101.34193859278	67.4563156600898	118.092620798147	0	0	2.89716534126323	0	327.64186824069	373.469205398593	374.778450961234	1.72683565490962	0	318.486805420048	281.519898939557	232.03185396271	150.320505355439	195.58399156038	281.478983971986	260.472409121215	135.581544700037	187.16340282412	354.530007523455	449.264014881073	376.997087044411	634.522037499045	143.314938803959	3.54291805497025	232.31870710684	1.75604538679336	265.355235097415	133.861911477892	220.449919668866	142.346488853785	0	194.530746268678	76.2970888429932	0.594028949622552	145.424067712446	0	0	0	0	131.099176620341	175.505710740274	1.27339416881479	114.363994878962	1.11388636432444
PRKY	44.5881396977131	33.5866041558818	36.5859997389652	95.4450586199017	166.678714207328	23.1029353371497	34.3353140862143	48.6163361136924	963.542473896836	1167.1147888835	663.838232306608	1836.01907195157	1157.54780138964	66.1195351938814	80.6575772224397	1719.65869501995	1104.65247051373	2204.0521058351	2270.89087999998	38.154156954032	27.4744135816149	38.2376189512884	1011.0707675997	898.846366185598	1215.13554767521	1409.13546608035	695.252418003956	1226.36532471104	77.7009150161115	129.687084816151	118.531851579611	88.734102042597	1116.38517820701	1274.09064737888	1398.58504800428	113.383822344843	129.26620135168	968.146449450826	907.25227552116	767.250475055134	969.09204529838	955.581274885124	1207.75825212538	1248.72825162713	1132.66259091139	1109.51918009127	1401.79646354582	1317.48732798184	1951.00514020472	2642.92671533839	1161.55210487776	141.380707248762	1361.88669376048	106.459252593881	1334.4565373785	1039.05197271395	1754.30310551408	1990.03264554727	67.4517901155753	1748.18659448416	1168.77539963714	50.1615108046191	1508.16154476821	50.643451955624	47.3005742022767	67.4664414378363	48.6833108704488	1599.9205231509	2742.54550835473	60.2749510312091	1871.24463931869	43.4541198280762
RPS4Y1	5.06196794385924	3.10397100563481	0	0	0	0	0	0	11913.0237477609	9757.99720065476	10294.972171148	5610.44836108131	10688.0532112947	101.676893509595	51.9612049032201	7743.78656591182	7656.15265520702	13434.3634268878	12576.6804866487	15.2710986341133	6.24787660196121	20.7745114610785	11558.1190333708	9277.73643706171	10618.2690167444	13331.5189841872	11070.4921210904	13869.1123423009	10.2556728802591	40.8477482840718	32.0038501050313	30.3836176327079	4381.27981594867	4356.5844440148	3867.35938007316	29.4218651841979	44.2430346053869	4187.42909582451	5277.38757038313	3902.25682161859	5089.13403212828	3111.29599464069	4527.42435810129	2034.18108039427	8018.41601622963	5119.89429699127	2880.4503144324	5082.39946225723	9833.39376007153	8690.70451265567	3602.60276205355	168.488118793036	5772.90549143586	83.3857725692893	3564.96284160636	4199.30268210519	4702.41431671942	5483.32530961631	20.9905210203548	5672.21537742097	7348.3790728288	7.11552102351693	6940.33682845886	6.36554654050634	6.84507649556208	23.4363694377391	12.7123163569703	5842.93564513732	15454.0419652205	22.0416232585686	5114.57624767124	9.17041839196118
TMSB4Y	0	0	1.78540857893567	0	1.57921645243592	0.716150602927416	2.15211291222893	1.93389122691275	282.058478248008	283.443460567816	349.62400947321	111.037483375889	496.498071595194	6.71890930394428	24.7550274485384	424.70168108365	131.171230756013	251.866541665055	757.891218334132	1.08843869120072	0	1.30227766397329	435.081131296681	551.465268310063	493.875650861796	301.903877486996	215.267860860026	663.783372504674	4.63260873103653	0	5.96781436700026	2.96583959527644	241.448676753335	190.536485552065	87.2667385494942	12.6161359024312	4.98928793655981	95.5578901177647	131.652468766376	158.894167878574	244.875982124257	111.760295979067	79.337047114686	50.4484801845697	85.132426467317	264.082814048388	218.566608602399	213.973206055698	473.561903900716	131.364303141791	163.230486935265	0.741562523696367	192.402313674477	6.66860021184716	130.446394195042	194.240889157527	223.221093915871	77.0887102678735	0.792066590537152	78.1160414309263	184.112048296299	0.988700894903208	175.159232694316	0	0.743238578166784	3.12697892031888	0.626005054745861	218.33218663344	263.141597761306	4.11660603075896	197.75310352862	1.81398175927579
TTTY14	16.8669683135592	9.02343315956435	1.47627401961927	17.9283475715384	44.8645398844389	10.5133802333	3.53576330012752	3.14305847876283	14.0734552971311	56.7442255833349	54.6195797693802	55.8821725919945	64.0131634618229	15.6158759498883	11.7990378109277	30.6994671679161	74.6818750239911	151.9649655365	101.421001419053	8.93692332287327	14.0806986772284	1.06690211825267	69.7945831201372	61.728162798618	73.1497568682854	52.3116480141284	62.6426793094713	113.889825659317	13.0247510500998	21.9594991618902	30.7238938454466	23.1229758580236	95.2379140319983	81.1836171162229	75.7672585091012	34.0969088014906	17.3837532183715	207.843046856081	125.653145187783	139.672048916713	81.4943084417356	103.037619720546	100.127143207136	164.037715246685	79.4538511223618	80.0523622902539	126.123195830801	124.954421025404	310.200975049415	157.660998511778	99.8799047254142	32.561756968499	67.5048530488467	17.4603473070764	90.3464709530172	108.311734276039	39.0202245091015	49.7120209404177	8.2208387074974	79.5749763822869	28.5785176785061	4.72034891943018	52.2519317149052	13.8637608121595	10.6387749031552	22.0868983220211	5.96790986876863	28.0998373018077	127.938275803923	8.15694587548964	52.475171070372	4.36313584252037
TXLNGY	3.23697308849218	8.92063914808786	3.08525247009667	10.0159095688171	0.349882444890543	0	1.29764341877908	1.6397907904461	1262.67855195097	491.966604774704	925.008588630059	1379.338061543	1126.39191638825	36.5611773943215	22.5476344141677	2751.0742052173	943.754862556136	2364.52496179538	2621.11829093215	5.36488713549176	4.59380909459114	3.18260008154714	814.221019877827	558.770889120512	541.985133805992	705.546863312736	547.997119791926	452.604380129142	16.4621686241361	30.16623303162	38.2739209816058	32.1086846257151	985.05203894432	1687.88693334665	1577.56622810599	15.4911305270106	22.9361498215385	848.16420431324	906.099855066454	841.143428139157	810.833562499569	1073.53070674054	1105.97679919576	1138.43924558015	538.372817010172	861.685534601585	1294.40110300581	1426.41321068882	1748.97835910905	2422.37857590165	743.362298404184	60.3760599956582	1120.48746504074	13.083259187402	1021.59435499406	703.116838323345	2448.99160240304	1463.63308254436	18.08789258347	1232.17156019728	828.531615634737	5.13928879872927	1342.85886569295	4.68206686520848	8.74285663921111	35.111248832571	5.84695238528535	1380.3385940927	2849.18899603429	7.36164923544371	1964.04118675976	15.0738163117074
