C8.mono	P8.mono	P9.mono	P10.mono	P11.mono	P12.mono	P15.mono	P13.mono	P14.mono	C9.mono	P18.mono	P19.mono	P20.mono	P21.mono	P22.mono	C12.mono	C16.mono	C13.mono	P28.mono	P25.mono	P29.mono	P27.mono	P34.mono	P32.mono	P40.mono	P35.mono	P38.mono	P33.mono	P23.mono	P26.mono	P41.mono	P45.mono	P44.mono	C20.mono	P42.mono	C006P.mono	C007G.mono	C014G.mono	P46.mono	C24.mono	P48.mono	P52.mono	WHT7559.mono
DDX3Y	4697.23177608854	2042.02993578651	3229.35788644696	10877.9128294427	5460.8587912907	17927.5534498345	3843.83492433425	12280.3526466651	9525.67453654195	1602.42159358761	4152.61379882696	3617.10320800555	4679.89627272381	2549.31676585742	3407.66342998615	2911.76383191275	3150.97027011891	3868.81646291972	6627.48306332221	5087.20830813496	5437.77272187274	4832.41784037532	8084.51558516516	6331.81199982674	5489.82528048784	4106.93309431987	4530.20647253306	5184.63772054194	5426.41800149891	9034.55825292327	7133.64623707612	6527.03672141489	4725.09608607738	5939.92096660584	4565.67446722058	17555.4013897987	16357.2208384064	10884.3906315378	4605.87560385023	4431.8887288424	3334.90848909051	11629.4428690674	13620.4080827179
EIF1AY	747.98707696725	469.642179380246	1127.78940731144	374.417702542352	1602.00960787255	1529.21817284929	542.943270932928	1801.13484070331	2368.78572838554	501.730920222324	662.761044910796	653.059089357876	527.485132004654	470.85022656556	595.239086713003	277.733271412221	433.520478945014	373.214747293801	374.886422096051	242.519442533188	334.099405522955	576.61749053431	442.30135704019	334.548189677026	327.852526909988	258.350013069712	461.617523172652	365.03156087968	541.046164194047	879.574092854869	796.22011855783	416.802338154358	320.64789032145	353.454865480431	322.284315999491	321.802888416676	522.09075394366	405.61781466965	423.358807287107	511.065343322218	606.920439374821	1049.97876755639	394.361697632053
KDM5D	1918.96926942771	1515.14163833288	741.148529372219	2104.8352574034	1107.28484257717	2736.83632383397	1996.14840374026	4520.66334337864	4357.20170047967	2727.30652143157	2325.9176168422	2531.69735266291	2609.84930110972	2220.84780036902	2217.20719292543	2145.07247247141	2030.23345234772	2263.50473001361	2112.62193375295	1968.44469914836	1896.33796339413	1647.18556338953	2287.82308566969	2188.72297925937	2193.02584378297	1635.64097071068	1944.572602591	2422.09285459273	2421.0711476688	3697.90599026954	4617.25257125039	2240.63262364626	2197.98494526083	2421.09324093436	1799.49112728007	2747.67631875892	2660.96035639903	2476.21151503572	2227.38664807641	2930.79558198432	3092.32232351628	5260.61078160717	2894.04706517405
LINC00266-4P	23.9169533298816	46.1732197163921	10.0663059261025	56.23392149382	61.9644015630656	8.04824026521103	59.2493653339317	43.0466917028483	35.9621398542405	33.8897541505926	44.6826084746638	26.4809449955291	38.0039676036876	42.8864730520232	52.4103291644452	61.0057174531913	67.9310605286766	78.3576453237894	65.1460559206787	64.5789256043572	50.0747822301967	67.2477519509597	101.935557455804	72.2231587283245	77.3128021174047	74.2774634048455	85.3412180556195	88.3033177211081	105.716621227279	53.8129994395477	67.9021706246873	85.0592133833053	71.2518668061826	64.0721625053438	71.8227076670176	41.7172806837349	19.8358664979666	38.9698954858462	40.4064272465871	49.1713489093185	43.3550736223154	64.4120126266449	37.5054960201526
LINC00278	126.230011444849	190.812180641976	92.2335097844519	108.1217990448	49.2005126353626	76.6366771563004	101.576769836832	218.944210206342	238.107255205856	89.1375969171168	124.567473540597	134.652762504192	101.34193859278	67.4563156600898	118.092620798147	327.64186824069	373.469205398593	374.778450961234	318.486805420048	281.519898939557	232.03185396271	150.320505355439	195.58399156038	281.478983971986	260.472409121215	135.581544700037	187.16340282412	354.530007523455	449.264014881073	376.997087044411	634.522037499045	143.314938803959	232.31870710684	265.355235097415	133.861911477892	220.449919668866	142.346488853785	194.530746268678	76.2970888429932	145.424067712446	131.099176620341	175.505710740274	114.363994878962
PRKY	963.542473896836	1167.1147888835	663.838232306608	1836.01907195157	1157.54780138964	1719.65869501995	1104.65247051373	2204.0521058351	2270.89087999998	1011.0707675997	898.846366185598	1215.13554767521	1409.13546608035	695.252418003956	1226.36532471104	1116.38517820701	1274.09064737888	1398.58504800428	968.146449450826	907.25227552116	767.250475055134	969.09204529838	955.581274885124	1207.75825212538	1248.72825162713	1132.66259091139	1109.51918009127	1401.79646354582	1317.48732798184	1951.00514020472	2642.92671533839	1161.55210487776	1361.88669376048	1334.4565373785	1039.05197271395	1754.30310551408	1990.03264554727	1748.18659448416	1168.77539963714	1508.16154476821	1599.9205231509	2742.54550835473	1871.24463931869
RPS4Y1	11913.0237477609	9757.99720065476	10294.972171148	5610.44836108131	10688.0532112947	7743.78656591182	7656.15265520702	13434.3634268878	12576.6804866487	11558.1190333708	9277.73643706171	10618.2690167444	13331.5189841872	11070.4921210904	13869.1123423009	4381.27981594867	4356.5844440148	3867.35938007316	4187.42909582451	5277.38757038313	3902.25682161859	5089.13403212828	3111.29599464069	4527.42435810129	2034.18108039427	8018.41601622963	5119.89429699127	2880.4503144324	5082.39946225723	9833.39376007153	8690.70451265567	3602.60276205355	5772.90549143586	3564.96284160636	4199.30268210519	4702.41431671942	5483.32530961631	5672.21537742097	7348.3790728288	6940.33682845886	5842.93564513732	15454.0419652205	5114.57624767124
TMSB4Y	282.058478248008	283.443460567816	349.62400947321	111.037483375889	496.498071595194	424.70168108365	131.171230756013	251.866541665055	757.891218334132	435.081131296681	551.465268310063	493.875650861796	301.903877486996	215.267860860026	663.783372504674	241.448676753335	190.536485552065	87.2667385494942	95.5578901177647	131.652468766376	158.894167878574	244.875982124257	111.760295979067	79.337047114686	50.4484801845697	85.132426467317	264.082814048388	218.566608602399	213.973206055698	473.561903900716	131.364303141791	163.230486935265	192.402313674477	130.446394195042	194.240889157527	223.221093915871	77.0887102678735	78.1160414309263	184.112048296299	175.159232694316	218.33218663344	263.141597761306	197.75310352862
TTTY14	14.0734552971311	56.7442255833349	54.6195797693802	55.8821725919945	64.0131634618229	30.6994671679161	74.6818750239911	151.9649655365	101.421001419053	69.7945831201372	61.728162798618	73.1497568682854	52.3116480141284	62.6426793094713	113.889825659317	95.2379140319983	81.1836171162229	75.7672585091012	207.843046856081	125.653145187783	139.672048916713	81.4943084417356	103.037619720546	100.127143207136	164.037715246685	79.4538511223618	80.0523622902539	126.123195830801	124.954421025404	310.200975049415	157.660998511778	99.8799047254142	67.5048530488467	90.3464709530172	108.311734276039	39.0202245091015	49.7120209404177	79.5749763822869	28.5785176785061	52.2519317149052	28.0998373018077	127.938275803923	52.475171070372
TXLNGY	1262.67855195097	491.966604774704	925.008588630059	1379.338061543	1126.39191638825	2751.0742052173	943.754862556136	2364.52496179538	2621.11829093215	814.221019877827	558.770889120512	541.985133805992	705.546863312736	547.997119791926	452.604380129142	985.05203894432	1687.88693334665	1577.56622810599	848.16420431324	906.099855066454	841.143428139157	810.833562499569	1073.53070674054	1105.97679919576	1138.43924558015	538.372817010172	861.685534601585	1294.40110300581	1426.41321068882	1748.97835910905	2422.37857590165	743.362298404184	1120.48746504074	1021.59435499406	703.116838323345	2448.99160240304	1463.63308254436	1232.17156019728	828.531615634737	1342.85886569295	1380.3385940927	2849.18899603429	1964.04118675976
