gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi
DDX3Y	6909.62746306081	1208.80208495694	632.58840515836	1463.74452296292	0.668345554262855	0.980723708446312	1984.5731565734	1972.75899730229	0.321527208592165	0.321527208592165	0.285143871666158	0.00986669471805758	0.0106889192778957	0.0915517382869347	0.212445917158173	-0.324842259343085	0.507945735916954	0.287218546467667	0.28989658965312	-0.280978769252448	0.855415862187781
EIF1AY	442.870633450941	113.118610392699	14.5650364678298	108.727221609498	0.894224470674943	0.980723708446312	583.357096782159	146.536913591752	0.000341978018865761	0.000889142849050978	0.670847898020671	8.22849619800381e-08	2.67426126435124e-07	0.0328877901755101	0.245649272039724	-0.44858478302235	0.51436036337337	1.31721783455479	0.471886635243175	0.392320029478172	2.24211563963142
KDM5D	2413.56455517098	167.87077491848	-4.36914014845249	179.504577506897	0.980723708446312	0.980723708446312	1853.5577625151	241.9269652445	6.61016543897536e-09	8.59321507066796e-08	0.770386802186294	2.41229616390956e-10	3.05303948321631e-09	-0.00181024374885343	0.074373330661676	-0.147581971845738	0.143961484348031	0.767975216798704	0.11358034746678	0.545357735763816	0.990592697833592
LINC00266-4P	47.2067374649935	6.69834374583623	7.01220818552373	6.40000373914618	0.28092959250214	0.980723708446312	13.0369932476196	8.62559330614058	0.139918179293311	0.165357848255731	0.54093174222351	1.53706677189348e-05	2.4977335043269e-05	0.148542529352376	0.13720257396805	-0.120374515625002	0.417459574329755	0.27616806302887	0.186874328612133	-0.0901056210509116	0.642441747108652
LINC00278	212.33278903697	31.4838838148544	-76.7949321655152	27.9960133384979	0.00964256689888288	0.125353369685477	106.811863077231	37.7315756511396	0.00774125909606026	0.0111818186943093	0.694637836282324	2.4696837698627e-08	1.07019630027384e-07	-0.361672507170545	0.142338469242042	-0.640655906884947	-0.0826891074561433	0.503039891114668	0.192719603358662	0.12530946853169	0.880770313697646
PRKY	1387.96272203782	106.108620442081	-46.4823787371389	127.520444725569	0.717735164273112	0.980723708446312	861.930852568095	171.86544559233	1.64185970232245e-05	7.1147253767306e-05	0.61454419287485	1.00974215929031e-06	2.18777467846234e-06	-0.0334896449300115	0.0919116524784924	-0.213636483787856	0.146657193927834	0.621004324455197	0.132614870742516	0.361079177799865	0.880929471110528
RPS4Y1	6344.36365161991	987.346083341063	417.709315629134	728.646608474796	0.570236214288487	0.980723708446312	5457.21327725557	982.032130725086	3.24289344695841e-06	2.10788074052297e-05	0.760833378458998	4.69698382033279e-10	3.05303948321631e-09	0.0658394345857649	0.115305596399107	-0.160159534356486	0.291838403528015	0.860167162054492	0.204643509619498	0.459065883200276	1.26126844090871
TMSB4Y	191.321366472719	48.1082773539811	5.29451065311891	53.7241757182818	0.922074404518432	0.980723708446312	145.496144593008	72.4066593303825	0.052482591203443	0.0682273685644759	0.3942327616457	0.000974234373450832	0.00115136789589644	0.0276733892859471	0.280892143111771	-0.522875211213123	0.578221989785018	0.760480375378011	0.424023175404505	-0.0706050484148185	1.59156579917084
TTTY14	61.4128154775296	13.3143565710551	13.656222945636	15.3958662212829	0.381307336262368	0.980723708446312	91.682928951371	20.7497504740911	9.6140043211898e-05	0.000312455140438668	0.532464552375617	2.03533544288748e-05	2.93992897305969e-05	0.222367641663207	0.255288034865181	-0.277996906672547	0.722732189998962	1.49289571302779	0.467883469087402	0.575844113616485	2.4099473124391
TXLNGY	1333.19871397202	149.61493416194	-159.750800928079	175.184373815695	0.368241542827964	0.980723708446312	763.333925905867	236.104418640024	0.00272348538036277	0.00442566374308951	0.590790711779611	2.58144398370319e-06	4.79411025544878e-06	-0.119825198789857	0.132087814626285	-0.378717315457377	0.139066917877662	0.572558252499101	0.188392224909257	0.203309491676958	0.941807013321244
USP9Y	527.576566206809	69.1152806885373	9.8010817698965	79.7247320795669	0.902881196704111	0.980723708446312	351.425599145325	107.448861498807	0.00246291506082014	0.00442566374308951	0.504197558126558	4.98564883330061e-05	6.4813434832908e-05	0.0185775532836204	0.151134595579044	-0.277646254051306	0.314801360618547	0.666112980855118	0.221572720076087	0.231830449505987	1.10039551220425
UTY	1436.77157770049	194.466704976024	114.323220231158	173.586230926455	0.514590662709512	0.980723708446312	906.583293569704	233.950524490968	0.000462504503608039	0.00100209309115075	0.663666558245931	1.16172117494298e-07	3.02047505485175e-07	0.0795695168289234	0.121295921217623	-0.158170488757617	0.317309522415464	0.630986377821216	0.183868586655827	0.270603947975794	0.991368807666638
ZFY	357.09845638374	79.5378185907144	76.3279405812172	104.454451112071	0.469950330626813	0.980723708446312	194.150374278385	140.778294987225	0.176862544880499	0.191601090287208	0.190915105516129	0.0487423795719926	0.0487423795719926	0.213744806836115	0.296357807955686	-0.36711649675703	0.794606110429259	0.543688640506892	0.41240824500892	-0.264631519710591	1.35200880072437
