pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_ADIPOGENESIS	0.987654320987654	0.987654320987654	0.0665892104103933	0.156241276270276	0.760761530405483	158	RAB34 PLIN2 IDH3A DGAT1 CMPK1 GPX4 CDKN2C ELMOD3 REEP5 MCCC1 UQCRQ PPM1B PDCD4 NDUFS3 APOE ACADS DHRS7 ETFB ITSN1 COX8A SLC25A10 ECH1 IFNGR1 GBE1 SAMM50 ALDOA AK2 UCK1 ACO2 GPHN CMBL SOD1 TKT UQCR11 TOB1 DLAT ARL4A MRPL15 SLC27A1 DLD UBQLN1 CPT2 COQ5 RREB1 UBC MGST3 GRPEL1 NDUFA5 SDHC GPD2 MDH2 DDT ELOVL6 DBT JAGN1
HALLMARK_ALLOGRAFT_REJECTION	8.40476469447628e-06	8.62401492214396e-05	0.593325476396405	-0.407719942756905	-1.81699711076112	155	HLA-DMA LYN LY75 TAP2 LIF EIF4G3 HLA-DRA IRF7 CD74 CCR5 GCNT1 PRF1 CD28 INHBA IL1B CTSS PTPRC CXCL9 IRF8 RIPK2 UBE2N TAPBP IL12RB1 CD40LG HLA-DOA IL15 HLA-DQA1 SOCS5 STAT1 GBP2 CCL5 JAK2 SOCS1 TAP1 ELF4 ITK KLRD1 DYRK3 CD79A CCL22 TGFB1 SPI1 PSMB10 IL2RB IRF4 GZMB IGSF6
HALLMARK_ANDROGEN_RESPONSE	0.0203155890731626	0.0650098850341205	0.352487857583619	-0.360726280669284	-1.45115416232464	80	ITGAV DHCR24 CCND1 NKX3-1 HMGCS1 ELK4 HMGCR CENPN ELOVL5 SAT1 ACSL3 PMEPA1 HPGD ABHD2 TMEM50A INSIG1 TSC22D1
HALLMARK_APICAL_JUNCTION	0.124624624624625	0.261639091958446	0.152144922367565	-0.29396981881565	-1.24297179938117	110	NEXN ADAM9 ACTB AMIGO2 VAV2 TSPAN4 ACTG1 INPPL1 TSC1 PTPRC TUBG1 FSCN1 MDK ZYX TRO VASP MSN RAC2 LDLRAP1 TAOK2 YWHAH AKT2 INSIG1 MAPK14 CD274 EPB41L2 MYH10 SYMPK NRTN ITGA3 IRS1 CRB3 PIK3CB PBX2 STX4
HALLMARK_APICAL_SURFACE	0.881270903010034	0.900021347754928	0.0432768714901103	-0.228262783259926	-0.716358887517035	25	LYN PLAUR ADAM10 NCOA6 IL2RB
HALLMARK_APOPTOSIS	0.0950965824665676	0.21736361706644	0.175204047558551	-0.28974629302142	-1.27016338014116	132	CASP7 PPP2R5B PSEN2 CCND1 PRF1 NEFH CASP3 IL1B PSEN1 CD38 GSN SMAD7 ATF3 TNFRSF12A SAT1 ROCK1 JUN TAP1 CASP1 RHOB NEDD9 RETSAT CASP4 BAX TGFBR3 ISG20 KRT18 IRF1 GCH1 PMAIP1 CDK2 GSR MADD BIK CDKN1A FASLG PEA15 IGF2R CD2 EGR3
HALLMARK_BILE_ACID_METABOLISM	0.0744849445324881	0.178763866877972	0.206587922696891	-0.337325931876584	-1.32354814841593	71	DHCR24 ACSL1 SLC27A2 RXRA ABCD1 NEDD4 PXMP2 LONP2 PAOX SLC35B2 RETSAT PFKM NPC1 PEX26 ACSL5 ABCA2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0217209161724053	0.0651627485172159	0.352487857583619	-0.38357534724476	-1.48768289381462	63	PDK3 STARD4 ACTG1 PLAUR PLSCR1 ALDOC HMGCS1 HMGCR ATF3 FABP5 ANXA5 TNFRSF12A SQLE PMVK CYP51A1 NFIL3 CD9 ACAT2 ABCA2 LDLR ETHE1
HALLMARK_COAGULATION	0.396174863387978	0.558002936857562	0.11101149245045	0.250224645129987	1.02041270435006	56	FYN PECAM1 ITGA2 BMP1 CPQ ISCU TIMP1 GP1BA CRIP2 C2 ANXA1 APOC2 FURIN F12 CAPN2 C1S TMPRSS6 CSRP1
HALLMARK_COMPLEMENT	0.00117835591464134	0.00707013548784805	0.45505986738723	-0.367383698731828	-1.61050316027851	132	PLEK LYN CASP7 ADAM9 CTSB APOBEC3F RCE1 IRF7 PLAUR KYNU CASP3 CTSO PLSCR1 CDK5R1 PSEN1 APOBEC3G CTSS CTSD PSMB9 LAP3 ANXA5 CD40LG USP15 CCL5 JAK2 PREP CASP1 PRKCD FCER1G CASP4 RAF1 CA2 GZMB VCPIP1 SH2B3 IRF1 IRF2 PIK3CG FCN1 XPNPEP1 GNB4 PDP1 GZMA STX4 DUSP5 RNF4 CTSC DUSP6 CASP10 CALM3 GNGT2
HALLMARK_DNA_REPAIR	0.734513274336283	0.795321637426901	0.0793434960134973	0.188759102320611	0.903827433749107	143	POLR1C RRM2B GPX4 REV3L ADA TAF13 PDE6G NPR2 RPA2 ZNRD1 LIG1 GTF2F1 PRIM1 RFC3 POLR2C CETN2 POLR2G NFX1 EDF1 ERCC8 ITPA SAC3D1 SNAPC4 RFC2 PNP APRT GTF2B BRF2 POLR3GL POLR3C POLL DAD1 POLA2 HPRT1 EIF1B DDB2 POLR1D SF3A3 NME4 RAE1 NELFB NUDT9 USP11
HALLMARK_E2F_TARGETS	0.611111111111111	0.715447154471545	0.0952879846194844	0.192067808436361	0.953748802615657	185	NAP1L1 SMC1A CKS1B MYC CDKN2C UNG CCP110 LYAR PAICS MCM3 NOP56 WDR90 RNASEH2A RPA1 MCM4 BARD1 RPA2 UBE2T PPM1D LIG1 EED RFC3 POLD2 ESPL1 PSIP1 TOP2A GINS3 PRPS1 STMN1 SUV39H1 CKS2 RFC2 CDKN2A BUB1B RANBP1 MCM2 AK2 EXOSC8 XRCC6 UBR7 PLK4 NASP RAD51C POLA2 DONSON PLK1 TBRG4 ASF1B KIF22 NUP107
