gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	y_coeff	y_coeff_err	y_pval	y_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	deltaEy	deltaEy_err	deltaEy_95_CI_lo	deltaEy_95_CI_hi	region
ABCB7	814.116074205602	29.7527622120349	113.743213105402	37.9995858128234	0.00909643414658182	0.130685437239225	-44.4767156536465	27.8421102155582	0.131010633634203	0.766487988368487	0.43976430874095	0.00820462232110099	0.0427287778228359	0.139713754228954	0.0469543300875479	0.04768326725736	0.231744241200548	-0.0546319094571938	0.0342574215669322	-0.121776455728381	0.0125126368139932	NPX
ABCD1	188.103939062366	28.0498236185231	-77.0895674380541	39.1314182614525	0.06758633395469	0.388396132459619	46.2396781074375	28.6713983013679	0.12763588147071	0.766487988368487	0.250326969944579	0.0635929135681731	0.157520377861394	-0.409824312145292	0.216821497336846	-0.834794446925511	0.0151458226349261	0.245819828855932	0.156768969341217	-0.0614473510528525	0.553087008764717	NPX
ACOT9	946.44761006809	87.9848706130155	235.287035795484	129.495231462712	0.0892559333261576	0.443413243371048	-138.909406970239	94.8805211860321	0.163822917542345	0.766487988368487	0.102117436445285	0.213345871976238	0.364889169927614	0.248600168981944	0.138760485633086	-0.0233703828589047	0.520570720822792	-0.14676925113715	0.101173340899542	-0.345068999300253	0.0515304970259527	NPX
ACRC	130.942584845143	15.9102891971815	-7.73812694162055	22.6968637086193	0.737881898170524	0.932165912909431	10.6406586488838	16.629880758059	0.531921038152471	0.859661117812525	0.0116228669808238	0.391159295931991	0.526851257463062	-0.05909557193156	0.17348313431457	-0.399122515188118	0.280931371324998	0.0812620177115625	0.12738456226826	-0.168411724334227	0.330935759757352	NPX
ACSL4	3788.92369825426	138.25132139739	313.641615524424	216.389248286502	0.167801500336432	0.573987671785732	-125.514710699488	158.547341277111	0.440902040126386	0.831861543993861	-0.0439129814226209	0.540432766715148	0.63803639383847	0.0827785515102702	0.0571908229975967	-0.0293154615650194	0.19487256458556	-0.0331267454019513	0.0418624091327815	-0.115177067302203	0.0489235764983004	NPX
AFF2	148.970724921485	36.3092813269588	68.0446609030083	56.1225976943813	0.244099291853208	0.662928857457263	17.4861809532209	41.1207521652273	0.676699436816356	0.91142955396203	0.079471377539118	0.250553133568007	0.398481182907051	0.456765320427024	0.392841009624122	-0.313203058436256	1.2267336992903	0.117379981620127	0.277511101281168	-0.426541776890963	0.661301740131217	NPX
AIFM1	1932.07411590425	78.1187367049674	331.915500165246	113.331350093244	0.0103722951390361	0.139701850153892	-224.865789541664	83.0373245570824	0.0161965168995815	0.581724898643302	0.370136096997886	0.0188655821887296	0.0640241411286806	0.171792322785662	0.0590676949184867	0.0560196407454281	0.287565004825896	-0.116385695398866	0.0432351871209266	-0.201126662155882	-0.0316447286418495	NPX
AKAP17A	3408.88842608475	511.7515976766	2164.39163964244	731.145678177083	0.00972812168245765	0.135252272423847	-42.2825424509643	535.706853640647	0.9381328180213	0.96962888385415	0.496732053568016	0.00380029860831314	0.0292487267889815	0.634925925730089	0.234708076292922	0.174898096195961	1.09495375526422	-0.0124036158318997	0.157161042374058	-0.320439258885054	0.295632027221254	PAR1
ALG13	1157.86848063649	136.437636975781	70.8959756938488	213.36819266527	0.744282749527373	0.932165912909431	28.2916959946883	156.333828635474	0.858813837245089	0.946314725075013	-0.155551975859277	0.89998123062661	0.919175143128126	0.0612297310786772	0.184417899919219	-0.300229352762993	0.422688814920347	0.0244342915174063	0.135049336547642	-0.240262408115971	0.289130991150784	NPX
ALG13-AS1	15.9103272222647	7.5256538614189	-7.33792056773275	8.41266697776428	0.396821424214576	0.773891555821187	8.92105537757467	6.16391984784891	0.168388108611677	0.766487988368487	0.401359033847585	0.013159806867652	0.0522253096343777	-0.461204880655386	0.571989714201025	-1.5823047204894	0.659894959178623	0.560708479024281	0.469501569046865	-0.359514596307574	1.48093155435614	NPX
