baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	100.192868849998	0.191327790411662	0.293098118707879	0.65277727218151	0.513899877897402	0.762284268749605	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	163.029655143674	0.203801421032729	0.219274093392084	0.929436842629243	0.352662741820282	0.642657094578837	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
A2M	1184.41744906589	0.206345258074626	0.305838431629124	0.674687144370567	0.499874553863499	0.752574916218697	A2M	ENSG00000175899	protein_coding	chr12	9067664	9116229	A2M	ENSG00000175899	protein_coding
A2M-AS1	245.527834704965	0.033370501669585	0.28854145755632	0.11565236396947	0.907928060862712	0.966203243824988	A2M-AS1	ENSG00000245105	antisense	chr12	9065177	9068060	A2M-AS1	ENSG00000245105	lncRNA
AAAS	1008.51879292177	-0.313711752027239	0.188145754710848	-1.66738682203788	0.0954375125173289	0.342028850725511	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	472.763734048505	-0.035811590600994	0.16605605725056	-0.215659646470819	0.829253058440931	0.932047020569176	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	540.425631063245	0.123387382907169	0.0890818416393129	1.38510139256839	0.166021466170596	0.447438410519751	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	861.022217121601	-0.423706845628985	0.115265542547244	-3.67591941412431	0.000236994331274422	0.012817859533587	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	6974.98339392697	0.132589367713117	0.0824600101308776	1.60792325277036	0.107851988472135	0.362922019783692	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	307.518828267211	0.198543599805043	0.119641298782226	1.65949050892901	0.0970169915975257	0.345000307298775	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	1356.96754174359	-0.194140272507995	0.205968886758049	-0.942570868657708	0.345900446225409	0.637121144132206	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AAR2	1242.97079638264	0.443723749000892	0.198164485352232	2.23916888140771	0.0251449297831401	0.176022130467365	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	103.37831681722	0.0593291227916557	0.137255583743305	0.432252890364101	0.665557622383345	0.855837427278503	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	1281.05392961742	-0.703618998913233	0.197187019526341	-3.56828254011538	0.000359328906513243	0.0161595840281698	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
