baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	181.300240693217	0.465601309244183	0.115491087569389	4.03149125220975	5.54240598245097e-05	0.0234477541151502	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
ADAM28	787.717410627564	0.536430014951337	0.133710368534089	4.01188046097246	6.02370015628631e-05	0.025002180220116	ADAM28	ENSG00000042980	protein_coding	chr8	24294040	24359018	ADAM28	ENSG00000042980	protein_coding
AKAP1	488.720934264528	-0.281624810195154	0.0703952575824188	-4.0006219149838	6.31762285104702e-05	0.0256123286716323	AKAP1	ENSG00000121057	protein_coding	chr17	57085092	57121349	AKAP1	ENSG00000121057	protein_coding
AP4B1	693.901269195338	-0.217003765604685	0.0553901369544252	-3.91773296721102	8.93856445889706e-05	0.0324631280605138	AP4B1	ENSG00000134262	protein_coding	chr1	113894748	113905201	AP4B1	ENSG00000134262	protein_coding
ATP13A3	3094.53410817023	0.6767079509371	0.175570990272545	3.85432667370972	0.000116048561673952	0.0396673704472179	ATP13A3	ENSG00000133657	protein_coding	chr3	194402672	194498364	ATP13A3	ENSG00000133657	protein_coding
AVPI1	341.571189143689	0.881818463726708	0.194734813358331	4.52830415126686	5.94589553427949e-06	0.00357423499599711	AVPI1	ENSG00000119986	protein_coding	chr10	97677424	97687323	AVPI1	ENSG00000119986	protein_coding
B3GNT5	1411.67506746687	1.14964359539369	0.235752477149023	4.87648575020905	1.07992485571756e-06	0.000941298501738617	B3GNT5	ENSG00000176597	protein_coding	chr3	183253244	183298504	B3GNT5	ENSG00000176597	protein_coding
CD59	344.679743014334	0.465055600634277	0.102211724906061	4.54992419961303	5.36652439802155e-06	0.00336596200675831	CD59	ENSG00000085063	protein_coding	chr11	33698261	33736445	CD59	ENSG00000085063	protein_coding
DHODH	392.125158933866	-0.282693896927065	0.0630740520998731	-4.48193650979392	7.39687518933932e-06	0.00425100855661613	DHODH	ENSG00000102967	protein_coding	chr16	72008588	72027664	DHODH	ENSG00000102967	protein_coding
DHTKD1	968.086424558408	-0.260676445147343	0.0639140994302627	-4.07854366205643	4.53186921120292e-05	0.019587412893181	DHTKD1	ENSG00000181192	protein_coding	chr10	12068972	12123225	DHTKD1	ENSG00000181192	protein_coding
DNMBP	1110.87372547094	0.381866522279505	0.0943943544865237	4.04543814465115	5.22253544434048e-05	0.02238755398919	DNMBP	ENSG00000107554	protein_coding	chr10	99875577	100009919	DNMBP	ENSG00000107554	protein_coding
DOCK7	308.835899125955	0.53589158052279	0.140814207070142	3.80566415614479	0.000141424177765144	0.0453754702378007	DOCK7	ENSG00000116641	protein_coding	chr1	62454726	62688368	DOCK7	ENSG00000116641	protein_coding
EMP1	1660.01044673563	1.45022892454076	0.26786475965837	5.41403403116691	6.16204469185223e-08	7.86006373888995e-05	EMP1	ENSG00000134531	protein_coding	chr12	13196716	13219939	EMP1	ENSG00000134531	protein_coding
ENOSF1	217.316220539668	-0.573164643265805	0.129995062716892	-4.40912624900275	1.0378851053458e-05	0.00589992556949724	ENOSF1	ENSG00000132199	protein_coding	chr18	670324	712676	ENOSF1	ENSG00000132199	protein_coding
FCGR2B	629.820711610055	1.28147489482283	0.230601965144327	5.55708575172283	2.74316013964155e-08	3.87734564818849e-05	FCGR2B	ENSG00000072694	protein_coding	chr1	161663147	161678654	FCGR2B	ENSG00000072694	protein_coding
FCGR2C	1883.03343435284	0.840600068210241	0.166812587954904	5.03918846003089	4.67509958846722e-07	0.000461053861526591	FCGR2C	ENSG00000244682	polymorphic_pseudogene	chr1	161581339	161605662	FCGR2C	ENSG00000244682	protein_coding
GGT7	348.433491131876	-0.290088748290074	0.0754384661763298	-3.8453691199397	0.000120371100376912	0.0403536397917419	GGT7	ENSG00000131067	protein_coding	chr20	34844720	34872860	GGT7	ENSG00000131067	protein_coding
GOLM1	1078.23627149684	-0.414155429551496	0.103896922346204	-3.98621460769985	6.71357929186984e-05	0.0268020434966572	GOLM1	ENSG00000135052	protein_coding	chr9	86026146	86100173	GOLM1	ENSG00000135052	protein_coding
GPRIN3	1298.34543687302	0.690128028394442	0.153416063644054	4.49840787204417	6.84642531143947e-06	0.00397838167708513	GPRIN3	ENSG00000185477	protein_coding	chr4	89236386	89308010	GPRIN3	ENSG00000185477	protein_coding
GPX7	84.917002975983	0.903706875678011	0.172253902197856	5.24636518620046	1.55129267348344e-07	0.000180287787195194	GPX7	ENSG00000116157	protein_coding	chr1	52602372	52609051	GPX7	ENSG00000116157	protein_coding
HCG11	367.900315872818	-0.339675946598052	0.0662961018253425	-5.1236186931915	2.99726819202143e-07	0.000311445414660149	HCG11	ENSG00000228223	lincRNA	chr6	26523450	26526579	HCG11	ENSG00000228223	lncRNA
HENMT1	329.182432097348	-0.420596925846466	0.0963800730701501	-4.363940723933	1.27740203618264e-05	0.00681689507023264	HENMT1	ENSG00000162639	protein_coding	chr1	108648290	108661526	HENMT1	ENSG00000162639	protein_coding
HOXB2	121.726577191974	0.743420380422605	0.18080441538829	4.11173797291432	3.92691828929993e-05	0.0174689236843448	HOXB2	ENSG00000173917	protein_coding	chr17	48540894	48544989	HOXB2	ENSG00000173917	protein_coding
HTRA1	115.922049718865	1.08125822132684	0.211136785625221	5.1211266578915	3.0371555599961e-07	0.000311445414660149	HTRA1	ENSG00000166033	protein_coding	chr10	122461525	122514908	HTRA1	ENSG00000166033	protein_coding
ID2	8956.79363111242	0.570998913885459	0.149676459967827	3.81488788556461	0.00013624477570744	0.044533307999673	ID2	ENSG00000115738	protein_coding	chr2	8678845	8684453	ID2	ENSG00000115738	protein_coding
IGF1R	967.882917397445	-0.406305680738685	0.086018817139728	-4.72345114998137	2.31875675820974e-06	0.00168425473528963	IGF1R	ENSG00000140443	protein_coding	chr15	98648971	98964530	IGF1R	ENSG00000140443	protein_coding
IL1R1	278.175431387014	0.848183060054047	0.180023980332731	4.71150042614537	2.45899583066086e-06	0.0017572944346488	IL1R1	ENSG00000115594	protein_coding	chr2	102064544	102179874	IL1R1	ENSG00000115594	protein_coding
LTBP3	476.14922670555	0.608557439638244	0.125947787551475	4.83182318220181	1.35288384485471e-06	0.00112306538600336	LTBP3	ENSG00000168056	protein_coding	chr11	65538560	65558930	LTBP3	ENSG00000168056	protein_coding
MRC1	181.841279798004	1.158966164915	0.233434030255986	4.96485522545306	6.87523375557198e-07	0.000630808727980532	MRC1	ENSG00000260314	protein_coding	chr10	17809344	17911170	MRC1	ENSG00000260314	protein_coding
MTMR4	1293.72380136686	-0.311310362022314	0.0718434802135848	-4.33317485590639	1.46974283632113e-05	0.00748528536906306	MTMR4	ENSG00000108389	protein_coding	chr17	58489529	58517905	MTMR4	ENSG00000108389	protein_coding
