baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
AAGAB	1202.0221054843	-0.263214583789728	0.066017341160201	-3.98705217695755	6.68993172279086e-05	0.00998314528217979	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
ABHD17B	534.077279638752	0.293287230245609	0.085932766709372	3.41298484241195	0.000642555159373823	0.0464106735660965	ABHD17B	ENSG00000107362	protein_coding	chr9	71862452	71910931	ABHD17B	ENSG00000107362	protein_coding
AC034220.3	144.672007048758	0.400440478185916	0.118105905856929	3.39052035781344	0.000697600731829412	0.0485641622441955	AC034220.3	ENSG00000233006	processed_transcript	chr5	132311285	132369916	MIR3936HG	ENSG00000233006	lncRNA
ACE	536.829190889591	0.754311867187607	0.166166094782148	4.5395052954488	5.63863643918486e-06	0.00143857985798429	ACE	ENSG00000159640	protein_coding	chr17	63477061	63498380	ACE	ENSG00000159640	protein_coding
ADD2	555.51612081856	0.526448003577231	0.136166102686721	3.86621922188988	0.000110535587624575	0.0142838936944529	ADD2	ENSG00000075340	protein_coding	chr2	70607618	70768225	ADD2	ENSG00000075340	protein_coding
ADRBK2	513.683777413512	-0.385551059412402	0.100064637648362	-3.85302009254529	0.00011666981246221	0.0147638647482179	ADRBK2	ENSG00000100077	protein_coding	chr22	25564849	25729294	GRK3	ENSG00000100077	protein_coding
AKR1C3	147.821352760293	-0.589184768194415	0.143310641499752	-4.11124227781391	3.93535982706355e-05	0.00661414908501236	AKR1C3	ENSG00000196139	protein_coding	chr10	5035354	5107686	AKR1C3	ENSG00000196139	protein_coding
ALS2CL	2137.68956762099	0.369775911099998	0.101574192796917	3.64045138748295	0.000272160491012054	0.0262502112611504	ALS2CL	ENSG00000178038	protein_coding	chr3	46668997	46693704	ALS2CL	ENSG00000178038	protein_coding
AMPD3	1226.86812383694	0.245092809713964	0.0695279301828255	3.52509860525814	0.000423325184819817	0.0356484094536962	AMPD3	ENSG00000133805	protein_coding	chr11	10308313	10507579	AMPD3	ENSG00000133805	protein_coding
ANAPC7	1147.96691907511	-0.205713559106681	0.0564892874924153	-3.64163841036765	0.000270908407387974	0.0262093528321895	ANAPC7	ENSG00000196510	protein_coding	chr12	110372900	110403730	ANAPC7	ENSG00000196510	protein_coding
ANKRD18A	351.509854921096	0.683625123993501	0.14852296479234	4.60282438442649	4.1679966621498e-06	0.00111744696952348	ANKRD18A	ENSG00000180071	protein_coding	chr9	38571358	38620660	ANKRD18A	ENSG00000180071	protein_coding
ANO8	1146.61172462281	0.317172708196139	0.0917060003927455	3.45858184674718	0.000543027253873327	0.0422093616794511	ANO8	ENSG00000074855	protein_coding	chr19	17323223	17334829	ANO8	ENSG00000074855	protein_coding
APBA2	4527.89471769122	0.404236176308998	0.110523184867612	3.65747853532456	0.000254708581966822	0.025181127184695	APBA2	ENSG00000034053	protein_coding	chr15	28884483	29118315	APBA2	ENSG00000034053	protein_coding
ARFIP1	327.903604930314	-0.471316604554809	0.126296769363004	-3.7318183745472	0.000190102550474554	0.0210282667371083	ARFIP1	ENSG00000164144	protein_coding	chr4	152687727	152918463	ARFIP1	ENSG00000164144	protein_coding
ARHGEF4	207.989053725423	0.491720990971622	0.13003683160433	3.78139781556511	0.000155950233831411	0.0184780584175674	ARHGEF4	ENSG00000136002	protein_coding	chr2	130836916	131047263	ARHGEF4	ENSG00000136002	protein_coding
ATG3	1439.09535027262	-0.200141530030051	0.0539300942693138	-3.7111288741791	0.000206337015645021	0.0219267737959042	ATG3	ENSG00000144848	protein_coding	chr3	112532509	112562046	ATG3	ENSG00000144848	protein_coding
ATP10D	160.978829403314	-0.5483986742255	0.129461694842154	-4.23599177265628	2.27545108576608e-05	0.00444359077464788	ATP10D	ENSG00000145246	protein_coding	chr4	47485288	47593486	ATP10D	ENSG00000145246	protein_coding
ATP6V1B2	1531.4932689061	-0.177315339336151	0.0523033464687379	-3.39013373536497	0.000698585349960452	0.0485641622441955	ATP6V1B2	ENSG00000147416	protein_coding	chr8	20197367	20226819	ATP6V1B2	ENSG00000147416	protein_coding
BBS4	498.887702096788	-0.202639181778411	0.0592911027561662	-3.41769966080344	0.000631527541362433	0.0460345744206035	BBS4	ENSG00000140463	protein_coding	chr15	72686179	72738476	BBS4	ENSG00000140463	protein_coding
BCAS4	1868.48277450986	0.369234993902278	0.0980227787280129	3.76682847286758	0.000165334510088688	0.0193008212589142	BCAS4	ENSG00000124243	protein_coding	chr20	50794894	50882676	BCAS4	ENSG00000124243	protein_coding
BLK	180.487503942237	0.968090144669926	0.261865535655931	3.69689788404196	0.000218250080573279	0.0226321095043093	BLK	ENSG00000136573	protein_coding	chr8	11494001	11564604	BLK	ENSG00000136573	protein_coding
BTN2A2	360.059156843721	-0.261061267608463	0.0704674337604944	-3.7047080286159	0.000211634362074298	0.0221697505913327	BTN2A2	ENSG00000124508	protein_coding	chr6	26383096	26394874	BTN2A2	ENSG00000124508	protein_coding
BTN3A3	4774.82229252101	-0.283867616678864	0.0828182113733032	-3.42759897819249	0.000608944272931419	0.0449057366397631	BTN3A3	ENSG00000111801	protein_coding	chr6	26440472	26453415	BTN3A3	ENSG00000111801	protein_coding
C11orf63	285.413229672304	0.280479614934059	0.0765804762217418	3.66254728061392	0.000249719642965109	0.0248431780655477	C11orf63	ENSG00000109944	protein_coding	chr11	122882528	122959798	JHY	ENSG00000109944	protein_coding
C16orf45	131.164007230006	-0.756661830632581	0.148523087494846	-5.09457380260048	3.4952665728908e-07	0.000141764427307658	C16orf45	ENSG00000166780	protein_coding	chr16	15434295	15625028	BMERB1	ENSG00000166780	protein_coding
C4orf33	233.801293619042	-0.295219116153941	0.084220400300824	-3.50531599350583	0.000456065633629125	0.0370514134212587	C4orf33	ENSG00000151470	protein_coding	chr4	129093317	129116640	C4orf33	ENSG00000151470	protein_coding
C5AR1	138.569118005063	-0.703517823665958	0.182964483312888	-3.84510595131663	0.000120500361309223	0.01500186043006	C5AR1	ENSG00000197405	protein_coding	chr19	47290023	47322066	C5AR1	ENSG00000197405	protein_coding
CACHD1	330.116619238734	0.817489526551155	0.195892787450335	4.17314765485387	3.00420106550847e-05	0.00552563400630384	CACHD1	ENSG00000158966	protein_coding	chr1	64470792	64693058	CACHD1	ENSG00000158966	protein_coding
CACNA1I	4087.80657530295	0.397138751764558	0.106323420233119	3.73519541502533	0.000187569478118931	0.0208404256130849	CACNA1I	ENSG00000100346	protein_coding	chr22	39570753	39689737	CACNA1I	ENSG00000100346	protein_coding
CARD6	154.1700092561	-0.269630165440117	0.0725836407926371	-3.71475118216264	0.00020340373791386	0.0219267737959042	CARD6	ENSG00000132357	protein_coding	chr5	40841184	40860175	CARD6	ENSG00000132357	protein_coding
CASP1	1743.9327794402	-0.38069535332007	0.100097683650671	-3.80323839109657	0.000142816801353336	0.0172448562122677	CASP1	ENSG00000137752	protein_coding	chr11	105025443	105035250	CASP1	ENSG00000137752	protein_coding
