baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	121.511644121717	-0.132079013503879	0.144251153451502	-0.915618422061941	0.359867065608251	0.920526562139596	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	184.361384985874	-0.195300388008266	0.112796040112775	-1.73144720163051	0.0833720340893978	0.728078916176338	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
A2M	1136.80566784255	-0.189938998351228	0.157537854212411	-1.20567211798588	0.227943939824048	0.861369977444202	A2M	ENSG00000175899	protein_coding	chr12	9067664	9116229	A2M	ENSG00000175899	protein_coding
A2M-AS1	231.609585697604	-0.213836060255468	0.156976181649877	-1.3622197839696	0.173128534011923	0.828656893403574	A2M-AS1	ENSG00000245105	antisense	chr12	9065177	9068060	A2M-AS1	ENSG00000245105	lncRNA
AAAS	1206.83861179435	-0.196762140771396	0.096433087918647	-2.04040070704143	0.0413104315493881	0.613854817477608	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	527.989782363276	-0.191607372370548	0.115387591351125	-1.66055439867434	0.0968029739453727	0.75004857897814	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	586.431983071566	-0.0320655287514203	0.0578411908954497	-0.554371862940721	0.579324378275054	0.9689661341725	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	1202.0221054843	-0.229648693869257	0.067168244028991	-3.41900696064254	0.000628501186658433	0.0731192192512739	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	6479.90483879814	0.11003943819267	0.0517722834204597	2.12545074164498	0.0335490201336584	0.578474585156811	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	319.456440770342	-0.103265630821383	0.0670209682589538	-1.54079586589062	0.123366475930625	0.786249229726454	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
