baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
ABCC4	1009.98444327484	-0.593623475091181	0.156976660591269	-3.78160341069325	0.000155821467504345	0.0333154758418452	ABCC4	ENSG00000125257	protein_coding	chr13	95019829	95301446	ABCC4	ENSG00000125257	protein_coding
ALOX15B	191.279229253638	0.644569153068773	0.163863846748577	3.93356537063213	8.36950631931015e-05	0.0211776264240333	ALOX15B	ENSG00000179593	protein_coding	chr17	8039017	8049134	ALOX15B	ENSG00000179593	protein_coding
ARG2	197.108121873409	-0.594788304094558	0.142456362159875	-4.17523159426914	2.97683051530103e-05	0.00907472378570895	ARG2	ENSG00000081181	protein_coding	chr14	67619798	67651720	ARG2	ENSG00000081181	protein_coding
ATP2A3	6262.88226411522	-0.591928209800688	0.153124781828931	-3.86565912277991	0.00011078958781499	0.0260556040472439	ATP2A3	ENSG00000074370	protein_coding	chr17	3923870	3964464	ATP2A3	ENSG00000074370	protein_coding
C19orf33	182.465446447196	-1.0426900395169	0.265262308397195	-3.93078853085909	8.46677183183064e-05	0.0212401416565524	C19orf33	ENSG00000167644	protein_coding	chr19	38304161	38305009	C19orf33	ENSG00000167644	protein_coding
CRACR2B	83.3641004444264	0.646008786965018	0.144460652904248	4.4718667261819	7.75397482301672e-06	0.00324232800320675	CRACR2B	ENSG00000177685	protein_coding	chr11	826144	831991	CRACR2B	ENSG00000177685	protein_coding
CXCL5	1430.96632160172	-1.09979778261162	0.23034577951845	-4.77455148043435	1.80108207571357e-06	0.00106378661449427	CXCL5	ENSG00000163735	protein_coding	chr4	73995642	73998779	CXCL5	ENSG00000163735	protein_coding
DBNDD2	386.768023836833	-0.498284245504692	0.113029486302848	-4.40844475015664	1.04115572334443e-05	0.00405441628855618	DBNDD2	ENSG00000244274	protein_coding	chr20	45406057	45410610	DBNDD2	ENSG00000244274	protein_coding
DMWD	263.506173357085	-0.54547958499296	0.14294574481305	-3.81599036547999	0.00013563779673876	0.0305191501604912	DMWD	ENSG00000185800	protein_coding	chr19	45782947	45792802	DMWD	ENSG00000185800	protein_coding
FAM92A1	124.579501358446	0.579754192089181	0.153780334831047	3.7700151500264	0.000163237637967303	0.0341289452725356	FAM92A1	ENSG00000188343	protein_coding	chr8	93698561	93731527	CIBAR1	ENSG00000188343	protein_coding
FHL2	279.579653161208	-0.621918056679486	0.158027005236395	-3.93551757656326	8.30175878345255e-05	0.0211776264240333	FHL2	ENSG00000115641	protein_coding	chr2	105357712	105438513	FHL2	ENSG00000115641	protein_coding
FN3K	103.480250756375	-0.815865734996484	0.210274987783445	-3.87999420947164	0.000104458951608511	0.0249282319315847	FN3K	ENSG00000167363	protein_coding	chr17	82735575	82751197	FN3K	ENSG00000167363	protein_coding
GPX7	84.917002975983	0.68129468341929	0.161099845121665	4.22902134328413	2.34710080946276e-05	0.00749343650999492	GPX7	ENSG00000116157	protein_coding	chr1	52602372	52609051	GPX7	ENSG00000116157	protein_coding
H2AFY2	107.044981195704	-0.52924793091363	0.138377737919831	-3.82466095247381	0.000130952173509005	0.0301835178071903	H2AFY2	ENSG00000099284	protein_coding	chr10	70052796	70112280	MACROH2A2	ENSG00000099284	protein_coding
HCG11	367.900315872818	-0.349725714623398	0.0619616118337249	-5.64423203776385	1.65920176973974e-08	1.18786277002988e-05	HCG11	ENSG00000228223	lincRNA	chr6	26523450	26526579	HCG11	ENSG00000228223	lncRNA
HRASLS	97.2586814910813	-0.899270543260471	0.231172560318173	-3.89004015884395	0.00010022763400955	0.0242980404203685	HRASLS	ENSG00000127252	protein_coding	chr3	193241125	193277738	PLAAT1	ENSG00000127252	protein_coding
KIF3C	578.140909701198	-0.617219157537602	0.163982600062113	-3.76393079085105	0.000167263193815664	0.0348165337928808	KIF3C	ENSG00000084731	protein_coding	chr2	25926596	25982749	KIF3C	ENSG00000084731	protein_coding
LPAR5	353.906117331115	-0.861785088415159	0.182693903028007	-4.71709823990703	2.39232190625117e-06	0.00136192292038884	LPAR5	ENSG00000184574	protein_coding	chr12	6618835	6636447	LPAR5	ENSG00000184574	protein_coding
MAP1A	1290.91406284597	-0.862420560021997	0.208526313189567	-4.13578769427526	3.53739126255317e-05	0.0105788148447405	MAP1A	ENSG00000166963	protein_coding	chr15	43510958	43531620	MAP1A	ENSG00000166963	protein_coding
MEIS1	710.363278690629	-0.539069431376781	0.1425022905539	-3.78288257179195	0.00015502256128889	0.0333154758418452	MEIS1	ENSG00000143995	protein_coding	chr2	66433452	66573869	MEIS1	ENSG00000143995	protein_coding
MT1F	77.8678063095137	-0.551148215055228	0.13599133586444	-4.05281859724232	5.06042404726984e-05	0.0144915210095483	MT1F	ENSG00000198417	protein_coding	chr16	56657694	56660698	MT1F	ENSG00000198417	protein_coding
MVB12B	867.414563632603	0.690687468718082	0.0834413701009974	8.27751830874869	1.25768801318059e-16	2.64225989798091e-13	MVB12B	ENSG00000196814	protein_coding	chr9	126326849	126507041	MVB12B	ENSG00000196814	protein_coding
MYB	234.023349932248	-0.420097484714489	0.113856266627891	-3.68971772179627	0.000224503020838395	0.0431219196651829	MYB	ENSG00000118513	protein_coding	chr6	135181315	135219173	MYB	ENSG00000118513	protein_coding
MYL9	5926.23081833496	-1.31316263512589	0.269032339628578	-4.88105867472596	1.05517838550673e-06	0.000631116884728843	MYL9	ENSG00000101335	protein_coding	chr20	36541484	36551447	MYL9	ENSG00000101335	protein_coding
NEDD4L	337.359452323106	-0.510002548789504	0.132351033268597	-3.85340813890352	0.000116484978242276	0.0272476817174545	NEDD4L	ENSG00000049759	protein_coding	chr18	58044367	58401540	NEDD4L	ENSG00000049759	protein_coding
NFIA	319.967591909598	0.422324013584379	0.108171356882853	3.90421296130866	9.45325134754022e-05	0.0233861559907132	NFIA	ENSG00000162599	protein_coding	chr1	60865259	61462793	NFIA	ENSG00000162599	protein_coding
NRP2	184.725359993163	0.440707170784141	0.120260353175647	3.66460898497831	0.00024771674170216	0.046632923355254	NRP2	ENSG00000118257	protein_coding	chr2	205681990	205798133	NRP2	ENSG00000118257	protein_coding
OPLAH	294.855083212642	-0.485265520375593	0.120304452498713	-4.03364555755559	5.49181357979899e-05	0.0155385439197055	OPLAH	ENSG00000178814	protein_coding	chr8	144051266	144063832	OPLAH	ENSG00000178814	protein_coding
PDZK1IP1	848.281889906094	-1.47344502717238	0.26093995121388	-5.64668238925463	1.63573618145584e-08	1.18786277002988e-05	PDZK1IP1	ENSG00000162366	protein_coding	chr1	47183593	47191044	PDZK1IP1	ENSG00000162366	protein_coding
PKIB	53.2245361651802	0.971415840295656	0.254155699356449	3.82212888695941	0.000132304502908726	0.0302495108869347	PKIB	ENSG00000135549	protein_coding	chr6	122471917	122726373	PKIB	ENSG00000135549	protein_coding
POMC	70.3684596825038	-0.705135843670617	0.167727668704993	-4.20405201547778	2.62178645762887e-05	0.00831423032949139	POMC	ENSG00000115138	protein_coding	chr2	25160853	25168903	POMC	ENSG00000115138	protein_coding
PRKAR1B	485.986437323851	-0.869541498766074	0.185268120261825	-4.69342214697931	2.68672265952646e-06	0.0015113134807772	PRKAR1B	ENSG00000188191	protein_coding	chr7	549197	727650	PRKAR1B	ENSG00000188191	protein_coding
RBPMS2	166.308714231255	-1.35706067399518	0.268221145942101	-5.05948428946063	4.20391911576371e-07	0.000264852509518602	RBPMS2	ENSG00000166831	protein_coding	chr15	64739892	64775587	RBPMS2	ENSG00000166831	protein_coding
RP11-923I11.5	7.4618188678583	1.58997438800489	0.379280834027682	4.19207680789069	2.76412374669829e-05	0.00870717407701605	RP11-923I11.5	ENSG00000259887	lincRNA	chr12	51848223	51852729	FIGNL2-DT	ENSG00000259887	lncRNA
SCCPDH	570.246921064036	0.423283420543034	0.09162195209723	4.61989087608439	3.83941923350729e-06	0.00201573775780503	SCCPDH	ENSG00000143653	protein_coding	chr1	246724047	246768137	SCCPDH	ENSG00000143653	protein_coding
SLC24A3	506.167870099024	-0.984758655852976	0.257994309848691	-3.81697819781576	0.00013509610270723	0.0305191501604912	SLC24A3	ENSG00000185052	protein_coding	chr20	19212646	19722937	SLC24A3	ENSG00000185052	protein_coding
SPDYC	84.6141450666508	-1.61972656554639	0.405644088284579	-3.99297466011652	6.52495437285195e-05	0.017733727219571	SPDYC	ENSG00000204710	protein_coding	chr11	65170154	65173244	SPDYC	ENSG00000204710	protein_coding
TP53I3	565.821421762128	-0.408368634222661	0.101908762366002	-4.00719844635164	6.14432352783444e-05	0.0171790195866098	TP53I3	ENSG00000115129	protein_coding	chr2	24077433	24085861	TP53I3	ENSG00000115129	protein_coding
TRAPPC2P1	108.401428351859	0.502345428637058	0.120122334190271	4.18194861116632	2.89021304113136e-05	0.0089845695004275	TRAPPC2P1	ENSG00000256060	protein_coding	chr19	57363511	57365353	TRAPPC2B	ENSG00000256060	protein_coding
VENTX	1712.34981274456	0.351379087938567	0.0950697031002575	3.69601541269161	0.00021900968270455	0.0422384755815212	VENTX	ENSG00000151650	protein_coding	chr10	133237404	133241929	VENTX	ENSG00000151650	protein_coding
VIL1	619.272821018577	-0.732516452888004	0.197946959903879	-3.70056935071752	0.000215116278198086	0.0417986922004015	VIL1	ENSG00000127831	protein_coding	chr2	218419092	218453295	VIL1	ENSG00000127831	protein_coding
VWF	1105.44901074187	-0.998178183190219	0.195467672558329	-5.1066151764423	3.27980730224141e-07	0.000209424560592174	VWF	ENSG00000110799	protein_coding	chr12	5948874	6124770	VWF	ENSG00000110799	protein_coding
ZMYND8	1012.59548696786	-0.279398995833391	0.0671819862960513	-4.15883797484287	3.19870683323689e-05	0.00968859593444078	ZMYND8	ENSG00000101040	protein_coding	chr20	47209214	47356889	ZMYND8	ENSG00000101040	protein_coding
ZNF304	148.537718145288	0.551153264795845	0.123305555000341	4.46981699076185	7.82865538091102e-06	0.00324484031055638	ZNF304	ENSG00000131845	protein_coding	chr19	57351307	57359898	ZNF304	ENSG00000131845	protein_coding
ZNF532	852.029542440119	0.492401353981146	0.111750794089385	4.40624478773093	1.0517809829998e-05	0.00405441628855618	ZNF532	ENSG00000074657	protein_coding	chr18	58862600	58986480	ZNF532	ENSG00000074657	protein_coding
ZNRF1	350.600156349734	0.342867198798441	0.0907920286054437	3.77640200428216	0.000159110117742242	0.0337947394761434	ZNRF1	ENSG00000186187	protein_coding	chr16	74999030	75110994	ZNRF1	ENSG00000186187	protein_coding
