baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	100.192868849998	-0.247293512625083	0.399867234762716	-0.618439049580617	0.536285963652709	0.999999542470284	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	163.029655143674	0.0712681490551574	0.297352736045782	0.239675444063123	0.810581872946835	0.999999542470284	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
A2M	1184.41744906589	-0.401402917262135	0.414679291766357	-0.967983994455883	0.333052363287088	0.999999542470284	A2M	ENSG00000175899	protein_coding	chr12	9067664	9116229	A2M	ENSG00000175899	protein_coding
A2M-AS1	245.527834704965	-0.475052629943258	0.390819563471069	-1.21552929879987	0.224164281176094	0.999999542470284	A2M-AS1	ENSG00000245105	antisense	chr12	9065177	9068060	A2M-AS1	ENSG00000245105	lncRNA
AAAS	1008.51879292177	-0.0683366217806703	0.255151123090844	-0.267828026594027	0.788831696477751	0.999999542470284	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	472.763734048505	0.0547902183525711	0.225359396963052	0.243123735202194	0.807909544723606	0.999999542470284	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	540.425631063245	0.00834105190691535	0.120425902540229	0.0692629387114532	0.94478032548601	0.999999542470284	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	861.022217121601	-0.311694735810822	0.15623043865349	-1.99509608049007	0.0460324017724625	0.999999542470284	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	6974.98339392697	0.104014075346069	0.11176508300907	0.930649112814853	0.352035100576049	0.999999542470284	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	307.518828267211	0.00314064740768785	0.162041200408107	0.0193817831500755	0.984536542620148	0.999999542470284	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	1356.96754174359	-0.103701938521187	0.279362271991176	-0.371209532991135	0.710481473282413	0.999999542470284	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AAR2	1242.97079638264	0.267207084024452	0.268765074180302	0.994203152472093	0.320123973658861	0.999999542470284	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	103.37831681722	-0.0214318201780948	0.184608286295029	-0.116093489670577	0.90757844841696	0.999999542470284	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	1281.05392961742	-0.430405621643284	0.267435755780995	-1.60937949522257	0.107533386081697	0.999999542470284	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	731.183503462199	-0.0160002418010221	0.20130123659571	-0.0794840710946882	0.936647600950081	0.999999542470284	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	657.870661795397	-0.0062099309968379	0.232490374862914	-0.026710486404005	0.978690649176523	0.999999542470284	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	498.249199395663	-0.279265008565291	0.181299351031749	-1.54035305132662	0.123474318763742	0.999999542470284	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	544.25130416778	-0.0706169231567786	0.183617265502647	-0.384587598358285	0.700542983805753	0.999999542470284	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
AASS	143.400600578435	-0.659187610509058	0.29333202460666	-2.24724051658862	0.0246246601007062	0.999999542470284	AASS	ENSG00000008311	protein_coding	chr7	122075647	122144280	AASS	ENSG00000008311	protein_coding
AATF	2527.8545598647	0.0965884288051059	0.160239559900793	0.602775175274479	0.546658263476455	0.999999542470284	AATF	ENSG00000275700	protein_coding	chr17	36948875	37056871	AATF	ENSG00000275700	protein_coding
ABALON	94.2667379062477	0.331435905149906	0.267785611218416	1.23769123980143	0.215830568596431	0.999999542470284	ABALON	ENSG00000281376	antisense	chr20	31721507	31723409	ABALON	ENSG00000281376	lncRNA
ABAT	342.414163461624	0.0711699813773868	0.182590218535735	0.389779813771667	0.696699371806269	0.999999542470284	ABAT	ENSG00000183044	protein_coding	chr16	8674565	8784575	ABAT	ENSG00000183044	protein_coding
ABCA1	350.057648005247	0.319584323165885	0.342171568658242	0.933988538028076	0.350309805506271	0.999999542470284	ABCA1	ENSG00000165029	protein_coding	chr9	104781002	104928237	ABCA1	ENSG00000165029	protein_coding
ABCA2	3054.50382144831	-0.182962429202001	0.256457749619476	-0.713421331480428	0.475585077083212	0.999999542470284	ABCA2	ENSG00000107331	protein_coding	chr9	137007227	137028922	ABCA2	ENSG00000107331	protein_coding
ABCA3	473.391108976663	0.155162560899395	0.233924419994863	0.663302108017637	0.507137086756574	0.999999542470284	ABCA3	ENSG00000167972	protein_coding	chr16	2275881	2340746	ABCA3	ENSG00000167972	protein_coding
ABCA5	1630.36399747926	0.00268155105557807	0.212227101826052	0.0126352903682205	0.989918765140452	0.999999542470284	ABCA5	ENSG00000154265	protein_coding	chr17	69244311	69327244	ABCA5	ENSG00000154265	protein_coding
ABCA7	5215.00906183025	-0.362430382526145	0.285794611257193	-1.26814981196404	0.204744455863283	0.999999542470284	ABCA7	ENSG00000064687	protein_coding	chr19	1040101	1065572	ABCA7	ENSG00000064687	protein_coding
ABCA9	314.809820946895	0.0764272273746337	0.263038282434653	0.290555529283539	0.771391275765674	0.999999542470284	ABCA9	ENSG00000154258	protein_coding	chr17	68974488	69061064	ABCA9	ENSG00000154258	protein_coding
ABCB1	288.939785831817	-0.569478210638527	0.298022056295649	-1.91085927570939	0.056022667746211	0.999999542470284	ABCB1	ENSG00000085563	protein_coding	chr7	87503633	87713323	ABCB1	ENSG00000085563	protein_coding
