baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
ABHD4	419.990309409014	-0.410564538162508	0.10574703614281	-3.88251579560156	0.000103381298557948	0.0193650244340083	ABHD4	ENSG00000100439	protein_coding	chr14	22598237	22613215	ABHD4	ENSG00000100439	protein_coding
ACER3	748.648289040905	0.358986620314587	0.0881549448313768	4.07222329956939	4.65665036040392e-05	0.0113187093730413	ACER3	ENSG00000078124	protein_coding	chr11	76860867	77026797	ACER3	ENSG00000078124	protein_coding
ADAM22	251.047791054758	-0.437641473718482	0.0985179881872972	-4.44224939801309	8.90232884880223e-06	0.00305484536588941	ADAM22	ENSG00000008277	protein_coding	chr7	87934143	88202889	ADAM22	ENSG00000008277	protein_coding
ADD2	555.51612081856	0.506388186444945	0.138406047550494	3.65871430769817	0.000253483722424639	0.0382201986546178	ADD2	ENSG00000075340	protein_coding	chr2	70607618	70768225	ADD2	ENSG00000075340	protein_coding
ADGRA3	217.497225110567	0.789606693256461	0.143256357772793	5.51184398048702	3.55093628404587e-08	2.63640878470933e-05	ADGRA3	ENSG00000152990	protein_coding	chr4	22345071	22516054	ADGRA3	ENSG00000152990	protein_coding
ALOX5	355.758479045127	-0.605022065004929	0.138252320166379	-4.37621635772056	1.20757154029308e-05	0.00379316798829752	ALOX5	ENSG00000012779	protein_coding	chr10	45374176	45446119	ALOX5	ENSG00000012779	protein_coding
ANKRD18A	351.509854921096	0.632717882895232	0.150871643659106	4.1937495181325	2.74380953226771e-05	0.0074200968377584	ANKRD18A	ENSG00000180071	protein_coding	chr9	38571358	38620660	ANKRD18A	ENSG00000180071	protein_coding
ANKRD40	1422.99004738833	0.177597664955381	0.044419727495684	3.99817096970342	6.38338376789107e-05	0.0136193230418871	ANKRD40	ENSG00000154945	protein_coding	chr17	50693190	50707924	ANKRD40	ENSG00000154945	protein_coding
ASB14	186.951801214118	0.394317672995681	0.100131005534073	3.93801770882546	8.21575323703934e-05	0.0163653796797318	ASB14	ENSG00000239388	protein_coding	chr3	57268347	57292682	ASB14	ENSG00000239388	protein_coding
ATP6V0A1	355.339655866204	-0.380198744079754	0.0898460860396167	-4.23166729724998	2.31965360902891e-05	0.00671794717196422	ATP6V0A1	ENSG00000033627	protein_coding	chr17	42458844	42522611	ATP6V0A1	ENSG00000033627	protein_coding
BTD	538.447222615545	-0.253359433493741	0.0684957519769775	-3.69890724871375	0.000216529704435301	0.034674472473002	BTD	ENSG00000169814	protein_coding	chr3	15601341	15645822	BTD	ENSG00000169814	protein_coding
C11orf63	285.413229672304	0.316645625558084	0.0779542499345662	4.06194179052293	4.8666213533876e-05	0.0116857750212703	C11orf63	ENSG00000109944	protein_coding	chr11	122882528	122959798	JHY	ENSG00000109944	protein_coding
C1orf228	1223.83931722926	-0.41734530268598	0.116752870743588	-3.5746042048298	0.000350758096918655	0.0483813214889382	C1orf228	ENSG00000198520	protein_coding	chr1	44674692	44725591	ARMH1	ENSG00000198520	protein_coding
C20orf194	500.327383254272	-0.274537473750641	0.0678939003095797	-4.04362501636843	5.2631071958814e-05	0.0121423153866563	C20orf194	ENSG00000088854	protein_coding	chr20	3249305	3407625	DNAAF9	ENSG00000088854	protein_coding
C5orf42	728.340131461939	0.561845500266394	0.111064978030894	5.05870986721046	4.22102521837323e-07	0.000261159946654956	C5orf42	ENSG00000197603	protein_coding	chr5	37106228	37249428	CPLANE1	ENSG00000197603	protein_coding
C6orf25	102.122185907881	-0.609951847682932	0.16672869133579	-3.65834963854239	0.00025384459554009	0.0382201986546178	C6orf25	ENSG00000204420	protein_coding	chr6	31718594	31726714	MPIG6B	ENSG00000204420	protein_coding
CACHD1	330.116619238734	0.79860774558919	0.199043288393207	4.01223147002853	6.01474800026417e-05	0.0132426295339645	CACHD1	ENSG00000158966	protein_coding	chr1	64470792	64693058	CACHD1	ENSG00000158966	protein_coding
CAMK2N1	173.349625108611	-0.52575672350176	0.0957525283747304	-5.49078684840776	4.00147033520264e-08	2.91785787746428e-05	CAMK2N1	ENSG00000162545	protein_coding	chr1	20482391	20486220	CAMK2N1	ENSG00000162545	protein_coding
