baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_name.84	gene_type.84	chr.84	start.84	stop.84	loc.84	Gene	gene_type.107	chr	start	stop.107	loc.107	gene_id.107
A1BG	106.697924319619	0.324041847783542	0.302172502300386	1.07237371142864	0.283552210752932	0.629312089227214	ENSG00000121410	A1BG	protein_coding	chr19	58345178	58353499	chr19:58345178	A1BG	protein_coding	chr19	58345178	58353492	chr19:58345178	ENSG00000121410
A1BG-AS1	165.10802936558	0.264331962136178	0.231006659574475	1.14426122010114	0.252515320816014	0.600585463767626	ENSG00000268895	A1BG-AS1	antisense	chr19	58347751	58355183	chr19:58347751	A1BG-AS1	lncRNA	chr19	58347718	58355455	chr19:58347718	ENSG00000268895
A2M	1192.07424031756	0.115363940754258	0.318305736868214	0.362431233220347	0.717029803004116	0.897731664974895	ENSG00000175899	A2M	protein_coding	chr12	9067664	9116229	chr12:9067664	A2M	protein_coding	chr12	9067664	9116229	chr12:9067664	ENSG00000175899
A2M-AS1	247.822251782343	-0.00145790692221784	0.300740129650119	-0.00484772991191421	0.996132086297989	0.998723240426637	ENSG00000245105	A2M-AS1	antisense	chr12	9065177	9068060	chr12:9065177	A2M-AS1	lncRNA	chr12	9065163	9068689	chr12:9065163	ENSG00000245105
AAAS	1006.89941360113	-0.273515547743898	0.203052602672471	-1.34701818220516	0.177974376866245	0.516532321770023	ENSG00000094914	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	AAAS	protein_coding	chr12	53307456	53324864	chr12:53307456	ENSG00000094914
AACS	477.576938460916	-0.0212279481380355	0.181126471647641	-0.117199589573697	0.906701892151367	0.970775847666387	ENSG00000081760	AACS	protein_coding	chr12	125065379	125143333	chr12:125065379	AACS	protein_coding	chr12	125065434	125143333	chr12:125065434	ENSG00000081760
AAGAB	841.454107750402	-0.434892812477947	0.125652624984053	-3.46107224208917	0.000538028410089713	0.026443165664261	ENSG00000103591	AAGAB	protein_coding	chr15	67201033	67255195	chr15:67201033	AAGAB	protein_coding	chr15	67200667	67255195	chr15:67200667	ENSG00000103591
AAK1	6761.91874687943	0.139915533541132	0.0803150070714707	1.74208455733091	0.0814936493574603	0.365319314993405	ENSG00000115977	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	AAK1	protein_coding	chr2	69457997	69674349	chr2:69457997	ENSG00000115977
AAMDC	305.033924534248	0.148483224465592	0.100962288557998	1.47068005872605	0.141377661561359	0.467088985894314	ENSG00000087884	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	AAMDC	protein_coding	chr11	77821109	77918432	chr11:77821109	ENSG00000087884
AAMP	1376.66558942532	-0.155168507609266	0.219202143984226	-0.707878603689352	0.479020647891948	0.776509454374202	ENSG00000127837	AAMP	protein_coding	chr2	218264123	218270257	chr2:218264123	AAMP	protein_coding	chr2	218264129	218270178	chr2:218264129	ENSG00000127837
AAR2	1272.19678382309	0.466857823899506	0.215283704012095	2.16857019458043	0.030115330055238	0.228281688544569	ENSG00000131043	AAR2	protein_coding	chr20	36236459	36270918	chr20:36236459	AAR2	protein_coding	chr20	36236131	36270918	chr20:36236131	ENSG00000131043
AARD	100.438525318751	0.0156127422009154	0.138850817655062	0.112442565802537	0.91047250667385	0.971726582323351	ENSG00000205002	AARD	protein_coding	chr8	116938199	116944487	chr8:116938199	AARD	protein_coding	chr8	116938207	116944487	chr8:116938207	ENSG00000205002
