baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	215.261963363025	0.456902158197023	0.16256641112887	2.81055695960974	0.00494558341494692	0.484935210499317	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	230.232632710731	0.104462682221633	0.142802692000143	0.731517597872238	0.464463059594348	0.999182681160064	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
AAAS	1079.75240704185	0.0116026904929233	0.123424923798089	0.0940060575763784	0.925104344798278	0.999182681160064	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	351.022961050126	0.00901006009880787	0.111280334751958	0.0809672267691427	0.935468016153537	0.999182681160064	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	967.768027436702	0.00312244249173009	0.0852672517969592	0.036619480819733	0.970788410499104	0.99929414250583	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	1163.13935052995	-0.153482381079611	0.119929494842201	-1.27977176324771	0.200625417327224	0.999182681160064	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	1519.12203508105	-0.136388103724886	0.130611792228032	-1.0442250381709	0.296381285339583	0.999182681160064	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	306.113905447146	-0.0472397466184409	0.122339995538817	-0.386134938213663	0.699396735641504	0.999182681160064	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	2912.6453996707	0.0631466339418739	0.118455504542002	0.533083153763304	0.59397601998652	0.999182681160064	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AANAT	87.2959415629845	-0.0252697456133656	0.149407410183486	-0.169133147963224	0.865691912205645	0.999182681160064	AANAT	ENSG00000129673	protein_coding	chr17	76453351	76470117	AANAT	ENSG00000129673	protein_coding
AAR2	1234.68376888291	0.0870621829953468	0.0987267842402514	0.881849679044354	0.37785810236187	0.999182681160064	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	124.558569781135	-0.26331428250788	0.229626783103437	-1.14670544502324	0.251503379319064	0.999182681160064	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	865.766118519925	0.106234057618756	0.139152998333993	0.763433478909124	0.445204920107231	0.999182681160064	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	388.152379230379	-0.07448197983354	0.0818328279810279	-0.910172380341149	0.36273160764465	0.999182681160064	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	437.520225230859	-0.00555092156700596	0.117767325974268	-0.0471346489451483	0.962405912151285	0.99929414250583	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	290.503815940485	-0.0247313298579737	0.156363304900586	-0.158165816933184	0.874326138796294	0.999182681160064	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	431.798174692391	0.235289768291632	0.17873782322971	1.31639607129624	0.188041140371611	0.999182681160064	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
