Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	stop	gene_id.107	gene_type.107	gene_name.84	gene_id.84	gene_type.84
CAPN2	3099.583944	-1.673115913	0.030529944	-54.80245524	0	0	chr1	223701593	223776018	ENSG00000162909	protein_coding	CAPN2	ENSG00000162909	protein_coding
GSTP1	5166.048358	-1.234046562	0.032320888	-38.1810849	0	0	chr11	67583595	67586660	ENSG00000084207	protein_coding	GSTP1	ENSG00000084207	protein_coding
LONRF2	1002.20359	-2.412902265	0.055994184	-43.09201552	0	0	chr2	100273291	100322733	ENSG00000170500	protein_coding	LONRF2	ENSG00000170500	protein_coding
PRDX4	3668.670445	-1.111535728	0.028341612	-39.21921306	0	0	chrX	23664262	23686399	ENSG00000123131	protein_coding	PRDX4	ENSG00000123131	protein_coding
RBBP7	10569.77457	-0.870437263	0.019596034	-44.4190523	0	0	chrX	16839283	16870414	ENSG00000102054	protein_coding	RBBP7	ENSG00000102054	protein_coding
EIF1AX	13982.62882	-0.91643195	0.026025523	-35.212816	1.27E-271	3.38E-268	chrX	20124518	20141844	ENSG00000173674	protein_coding	EIF1AX	ENSG00000173674	protein_coding
SMS	3195.054188	-1.272629301	0.038409501	-33.13319018	9.89E-241	2.15E-237	chrX	21940573	21994835	ENSG00000102172	protein_coding	SMS	ENSG00000102172	protein_coding
PDHA1	4672.553828	-0.9678047	0.029234843	-33.10449458	2.56E-240	5.10E-237	chrX	19343893	19361705	ENSG00000131828	protein_coding	PDHA1	ENSG00000131828	protein_coding
MBTPS2	1525.163727	-1.415133984	0.043521341	-32.51586386	6.36E-232	1.17E-228	chrX	21839636	21885424	ENSG00000012174	protein_coding	MBTPS2	ENSG00000012174	protein_coding
SCML1	3082.984864	-1.128941005	0.035316946	-31.96598604	3.24E-224	5.16E-221	chrX	17737449	17754988	ENSG00000047634	protein_coding	SCML1	ENSG00000047634	protein_coding
SCML2	1627.352608	-1.25483498	0.04095704	-30.63783339	3.84E-206	5.39E-203	chrX	18239314	18354727	ENSG00000102098	protein_coding	SCML2	ENSG00000102098	protein_coding
LPGAT1	3683.6508	-0.80679145	0.02659398	-30.33737159	3.69E-202	4.89E-199	chr1	211743457	211830772	ENSG00000123684	protein_coding	LPGAT1	ENSG00000123684	protein_coding
ARL2BP	2229.765814	-1.2452203	0.041920621	-29.70424292	6.77E-194	8.51E-191	chr16	57245098	57253635	ENSG00000102931	protein_coding	ARL2BP	ENSG00000102931	protein_coding
MSN	4964.095542	-0.720648483	0.024448469	-29.47622141	5.81E-191	6.94E-188	chrX	65588377	65741931	ENSG00000147065	protein_coding	MSN	ENSG00000147065	protein_coding
EIF1	11780.35314	-0.571088549	0.019579989	-29.16694869	5.09E-187	5.53E-184	chr17	41688885	41692668	ENSG00000173812	protein_coding	EIF1	ENSG00000173812	protein_coding
PRPS2	1991.365752	-1.17678851	0.043456391	-27.07975682	1.71E-161	1.51E-158	chrX	12791355	12824222	ENSG00000101911	protein_coding	PRPS2	ENSG00000101911	protein_coding
CELF2	2056.284216	1.074232484	0.040271239	26.67492995	9.20E-157	7.85E-154	chr10	11005321	11336675	ENSG00000048740	protein_coding	CELF2	ENSG00000048740	protein_coding
MTPN	12830.46754	-0.51388382	0.019403341	-26.48429573	1.47E-154	1.21E-151	chr7	135926761	135977353	ENSG00000105887	protein_coding	MTPN	ENSG00000105887	protein_coding
CD99	3058.944061	-0.806634296	0.030699364	-26.27527728	3.68E-152	2.83E-149	chrX	2691179	2741309	ENSG00000002586	protein_coding	CD99	ENSG00000002586	protein_coding
CPLANE1	719.8218978	-1.489648561	0.057811716	-25.76724361	2.07E-146	1.54E-143	chr5	37106228	37249428	ENSG00000197603	protein_coding	C5orf42	ENSG00000197603	protein_coding
DOCK7	3227.216132	-0.943705668	0.036837176	-25.61829538	9.54E-145	6.70E-142	chr1	62454726	62688368	ENSG00000116641	protein_coding	DOCK7	ENSG00000116641	protein_coding
COL6A1	1692.550461	-1.237252237	0.048373663	-25.57698078	2.75E-144	1.88E-141	chr21	45981737	46005050	ENSG00000142156	protein_coding	COL6A1	ENSG00000142156	protein_coding
CTPS2	1081.120254	-1.25338528	0.049688963	-25.22462128	2.15E-140	1.43E-137	chrX	16588003	16712936	ENSG00000047230	protein_coding	CTPS2	ENSG00000047230	protein_coding
EIF2S3	14013.11677	-0.579290693	0.023425013	-24.72957822	5.14E-135	3.15E-132	chrX	24054716	24077971	ENSG00000130741	protein_coding	EIF2S3	ENSG00000130741	protein_coding
FLNC	1675.111868	-1.027486237	0.042142035	-24.38150519	2.69E-131	1.49E-128	chr7	128830377	128859274	ENSG00000128591	protein_coding	FLNC	ENSG00000128591	protein_coding
NT5C3B	3522.962143	-0.739074865	0.030362477	-24.34171834	7.09E-131	3.85E-128	chr17	41825181	41836263	ENSG00000141698	protein_coding	NT5C3B	ENSG00000141698	protein_coding
CA2	5302.997866	-0.69750023	0.028780922	-24.23481175	9.56E-130	5.07E-127	chr8	85463852	85481493	ENSG00000104267	protein_coding	CA2	ENSG00000104267	protein_coding
CUL1	6072.913975	-0.627095948	0.026332289	-23.81471474	2.35E-125	1.19E-122	chr7	148697914	148801036	ENSG00000055130	protein_coding	CUL1	ENSG00000055130	protein_coding
