baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	157.773754868767	0.256421716535477	0.153061781150802	1.67528245527759	0.0938788261089152	0.999947578263289	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	219.852345802041	0.145404849078744	0.114932847702163	1.26512874244225	0.205825181026125	0.999947578263289	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
A2M	1005.03883877922	-0.0509003184261001	0.162975543294467	-0.312318752845833	0.754798289641602	0.999947578263289	A2M	ENSG00000175899	protein_coding	chr12	9067664	9116229	A2M	ENSG00000175899	protein_coding
A2M-AS1	197.995899205667	-0.360523993605395	0.18358911472063	-1.96375473651588	0.0495585415225713	0.999947578263289	A2M-AS1	ENSG00000245105	antisense	chr12	9065177	9068060	A2M-AS1	ENSG00000245105	lncRNA
AAAS	1533.75383424316	-0.0153966475702167	0.092337423754343	-0.166743308879598	0.867572026982436	0.999947578263289	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	617.374199160482	-0.01372815036398	0.115171130464006	-0.119197843319515	0.905118615250651	0.999947578263289	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	655.29883265859	0.0451996587854988	0.0899188497633852	0.50267167456477	0.615195127664944	0.999947578263289	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	1707.18597998814	-0.160624356629963	0.0864530806873599	-1.8579367600656	0.0631779953989685	0.999947578263289	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	5748.05756139947	0.0568437721837545	0.0686967805403338	0.827459041554065	0.407976927959873	0.999947578263289	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	332.728125181249	-0.097680457961712	0.0863424194244563	-1.13131481157041	0.257922612400155	0.999947578263289	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	1867.77486602148	0.0455043749896397	0.0959865427507495	0.474070361173462	0.635449733295178	0.999947578263289	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AAR2	1430.22621704411	-0.14717170676129	0.106107702785745	-1.38700304405291	0.165440834614933	0.999947578263289	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	91.8153192322013	0.000539853632720175	0.133936480990661	0.0040306690807997	0.99678400007874	0.999947578263289	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	1808.48889424892	0.0680752511870995	0.126232535240999	0.539284512167427	0.58969055389144	0.999947578263289	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	812.776400801957	0.00269246345588652	0.0814553840770506	0.0330544565763714	0.973631161272185	0.999947578263289	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	1007.73872627031	-0.0827043238748115	0.0986896579971373	-0.838024222124779	0.40201709978306	0.999947578263289	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	749.152108322892	0.0997596230056564	0.103426123368412	0.964549571777962	0.334770467889313	0.999947578263289	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	760.633136906996	0.174809754068503	0.0870382429481039	2.00842466653116	0.0445981838997034	0.999947578263289	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
