baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	163.154953783762	0.314724409182846	0.273032792181466	1.15269820400793	0.249034278877037	0.999999303173633	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	153.33737796347	0.153077760173972	0.326847578711996	0.468346012466127	0.63953716892305	0.999999303173633	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
AAAS	744.913316887184	-0.0703895648857694	0.223048805285514	-0.31557920606509	0.752321922863307	0.999999303173633	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	257.988458888394	-0.180545524182886	0.215416357042231	-0.838123560633285	0.401961311826209	0.999999303173633	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	880.442656393811	-0.028915272431433	0.13097385512055	-0.220771331841908	0.825270486692062	0.999999303173633	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	819.995674300801	-0.132634565597172	0.179574769125704	-0.738603570217187	0.46014775566243	0.999999303173633	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	1325.60415012031	0.301900900612848	0.131699961611938	2.29233856196875	0.0218861142704747	0.999999303173633	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	268.225219742785	-0.0625619399354253	0.139415805708358	-0.448743523860542	0.653616683566563	0.999999303173633	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	2263.51833772088	0.035330081504311	0.290676255600776	0.121544435857996	0.903259820846228	0.999999303173633	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AANAT	71.3338400763547	-0.250031317449671	0.411527845676884	-0.607568406551974	0.543473760057065	0.999999303173633	AANAT	ENSG00000129673	protein_coding	chr17	76453351	76470117	AANAT	ENSG00000129673	protein_coding
AAR2	1045.98170496657	0.190965529536488	0.18229736679507	1.04754957734064	0.294846179039877	0.999999303173633	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	110.064692952864	0.265120250935893	0.281314716124017	0.94243292561707	0.345971036655569	0.999999303173633	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	674.203524531999	-0.37548288660155	0.340879326485272	-1.10151263930573	0.270673606617135	0.999999303173633	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	345.263441418667	-0.264336510402456	0.179484988222021	-1.47274996656252	0.140818467999288	0.999999303173633	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	324.842340074837	0.172770449148415	0.223464729540476	0.773144153458546	0.439437072758648	0.999999303173633	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	207.128104497611	-0.022998309362089	0.21806257278177	-0.105466559752576	0.916005603420875	0.999999303173633	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	294.458418720563	0.0679672541202277	0.253957861919065	0.267632014250807	0.788982585799093	0.999999303173633	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
AATBC	1223.49705847612	-0.250727591527489	0.267578910562277	-0.937022992584216	0.348746730918113	0.999999303173633	AATBC	ENSG00000215458	antisense	chr21	43805758	43812567	AATBC	ENSG00000215458	lncRNA
AATF	2035.54340464226	0.0832856887154751	0.162101145745907	0.513788402495472	0.607399937197209	0.999999303173633	AATF	ENSG00000275700	protein_coding	chr17	36948875	37056871	AATF	ENSG00000275700	protein_coding
AATK	505.800851490925	0.13678015206793	0.307118503884838	0.445366040592655	0.656055249452221	0.999999303173633	AATK	ENSG00000181409	protein_coding	chr17	81117295	81166077	AATK	ENSG00000181409	protein_coding
ABALON	84.7455221476386	-0.0425308315472817	0.320320962782277	-0.132775673430371	0.894370793783553	0.999999303173633	ABALON	ENSG00000281376	antisense	chr20	31721507	31723409	ABALON	ENSG00000281376	lncRNA
ABAT	667.350919438451	-0.1780162346629	0.192570670905205	-0.924420285945468	0.355267536871235	0.999999303173633	ABAT	ENSG00000183044	protein_coding	chr16	8674565	8784575	ABAT	ENSG00000183044	protein_coding
ABCA1	1700.13328216371	0.124938187080453	0.36486845992003	0.342419805504252	0.73203498573743	0.999999303173633	ABCA1	ENSG00000165029	protein_coding	chr9	104781002	104928237	ABCA1	ENSG00000165029	protein_coding
ABCA2	794.037201324778	0.339645143471279	0.228396446326874	1.48708593734068	0.13699211517415	0.999999303173633	ABCA2	ENSG00000107331	protein_coding	chr9	137007227	137028922	ABCA2	ENSG00000107331	protein_coding
ABCA3	161.813375355885	0.162438673963899	0.31337322238357	0.518355310413449	0.604210388920287	0.999999303173633	ABCA3	ENSG00000167972	protein_coding	chr16	2275881	2340746	ABCA3	ENSG00000167972	protein_coding
ABCA7	2385.41864591104	-0.308339628627476	0.256153540643218	-1.20372971559642	0.228694062979163	0.999999303173633	ABCA7	ENSG00000064687	protein_coding	chr19	1040101	1065572	ABCA7	ENSG00000064687	protein_coding
ABCA9	268.37146425274	0.0245010503014194	0.211168040191101	0.116026318562443	0.907631683461589	0.999999303173633	ABCA9	ENSG00000154258	protein_coding	chr17	68974488	69061064	ABCA9	ENSG00000154258	protein_coding
ABCB10	733.64681372834	0.0555475933525159	0.144937311767172	0.383252543290906	0.701532522721138	0.999999303173633	ABCB10	ENSG00000135776	protein_coding	chr1	229516582	229558695	ABCB10	ENSG00000135776	protein_coding
ABCB8	464.356022595043	-0.118188632305846	0.246065606449301	-0.480313498547378	0.631004491945053	0.999999303173633	ABCB8	ENSG00000197150	protein_coding	chr7	151028422	151047782	ABCB8	ENSG00000197150	protein_coding
ABCC1	3172.41726195536	-0.15185829738469	0.200408233474285	-0.757744802955787	0.448603771953399	0.999999303173633	ABCC1	ENSG00000103222	protein_coding	chr16	15949577	16143074	ABCC1	ENSG00000103222	protein_coding
ABCC10	725.967124589696	-0.116531564030957	0.237036218649809	-0.491619233105967	0.622988544364238	0.999999303173633	ABCC10	ENSG00000124574	protein_coding	chr6	43427366	43450430	ABCC10	ENSG00000124574	protein_coding
ABCC3	2872.35863648231	0.276804468055106	0.367278561172558	0.753663560354275	0.451051267916042	0.999999303173633	ABCC3	ENSG00000108846	protein_coding	chr17	50634777	50692252	ABCC3	ENSG00000108846	protein_coding
ABCC4	721.45724393422	-0.325781002633295	0.353182265169956	-0.922416085860157	0.356311582371231	0.999999303173633	ABCC4	ENSG00000125257	protein_coding	chr13	95019829	95301446	ABCC4	ENSG00000125257	protein_coding
ABCC5	1046.36045514463	-0.219627794771037	0.167423132629472	-1.31181271859905	0.189583332498747	0.999999303173633	ABCC5	ENSG00000114770	protein_coding	chr3	183919934	184018015	ABCC5	ENSG00000114770	protein_coding
ABCC6	415.756922942824	0.103435860652439	0.268891762735348	0.384674709259292	0.700478435096827	0.999999303173633	ABCC6	ENSG00000091262	protein_coding	chr16	16148928	16223522	ABCC6	ENSG00000091262	protein_coding
ABCC9	715.861672491471	-0.0101206266567561	0.273114433946167	-0.0370563595285885	0.97044006816125	0.999999303173633	ABCC9	ENSG00000069431	protein_coding	chr12	21797401	21941402	ABCC9	ENSG00000069431	protein_coding
ABCD3	539.248758100446	0.10989210596383	0.225062656576783	0.48827338855453	0.625356208192644	0.999999303173633	ABCD3	ENSG00000117528	protein_coding	chr1	94418455	94518666	ABCD3	ENSG00000117528	protein_coding
ABCD4	710.699011640609	0.129723126749633	0.195688454105125	0.662906390378786	0.507390508721447	0.999999303173633	ABCD4	ENSG00000119688	protein_coding	chr14	74285423	74303056	ABCD4	ENSG00000119688	protein_coding
ABCE1	826.335971037356	-0.173825579954697	0.26688322423871	-0.651316996227614	0.514841879117719	0.999999303173633	ABCE1	ENSG00000164163	protein_coding	chr4	145097932	145129179	ABCE1	ENSG00000164163	protein_coding
ABCF1	2527.91654704587	0.207127612357808	0.179329728014419	1.15500990633942	0.248086369785199	0.999999303173633	ABCF1	ENSG00000204574	protein_coding	chr6	30571376	30597179	ABCF1	ENSG00000204574	protein_coding
ABCF2	1111.21381247033	-0.138318117335349	0.234004426693237	-0.591091883559424	0.55445885782906	0.999999303173633	ABCF2	ENSG00000033050	protein_coding	chr7	151207837	151227230	ABCF2	ENSG00000033050	protein_coding
ABCF3	1306.38879893399	0.253541634717885	0.192503959970572	1.31707230727432	0.187814388511152	0.999999303173633	ABCF3	ENSG00000161204	protein_coding	chr3	184186023	184194012	ABCF3	ENSG00000161204	protein_coding
