baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	181.300240693217	0.129084507906749	0.108022859841189	1.1949739906583	0.232097192239824	0.999998661100275	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	181.004084468933	-0.176136147513522	0.116004360257865	-1.51835799207883	0.128924175538759	0.999998661100275	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
AAAS	864.098913415201	-0.0829308749705052	0.0862854399110565	-0.961122468124296	0.336490593813043	0.999998661100275	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	291.065996493124	-0.115529843879321	0.0827871605191427	-1.39550436510753	0.162863799393785	0.999998661100275	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	913.900168878643	0.017694164424161	0.0545787069345392	0.32419537614519	0.745790122506293	0.999998661100275	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	941.849939680498	-0.00883088105817526	0.075542533284207	-0.116899456164008	0.906939729117578	0.999998661100275	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	1404.02592557115	-0.0810976206439454	0.0760264454152245	-1.06670277955288	0.286106071588034	0.999998661100275	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	283.68271850859	-0.0380004562436291	0.0680531749084193	-0.558393584057866	0.576575653010233	0.999998661100275	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	2489.7951554318	-0.000366359805997231	0.100659317379615	-0.00363960153450656	0.997096024539493	0.999998661100275	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AANAT	77.4270624935947	-0.150214068229475	0.136716167532509	-1.09872936713031	0.271886129094164	0.999998661100275	AANAT	ENSG00000129673	protein_coding	chr17	76453351	76470117	AANAT	ENSG00000129673	protein_coding
AAR2	1112.10539599845	0.094336235481151	0.0659242812772922	1.43097859625275	0.152436349516728	0.999998661100275	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	116.834327288181	-0.0733540267510028	0.140419751054821	-0.522391089572329	0.601398058693168	0.999998661100275	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	741.087806349695	-0.0845761784201797	0.128756342123338	-0.656869999764071	0.511264509741192	0.999998661100275	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	362.235469291847	-0.033930198539469	0.0617951503348474	-0.549075426722203	0.582953688200281	0.999998661100275	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	365.034365871363	-0.0539608160746217	0.0847542866463217	-0.636673591505753	0.524337478738007	0.999998661100275	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	237.794946426396	-0.0379867649799157	0.099750440083714	-0.380818018928397	0.703338287788869	0.999998661100275	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	342.838584811722	0.095877212929455	0.117966227791096	0.812751367274727	0.416360623733744	0.999998661100275	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
AATBC	1355.55265054091	-0.123279367386345	0.106263470256556	-1.16012931902851	0.245996158743415	0.999998661100275	AATBC	ENSG00000215458	antisense	chr21	43805758	43812567	AATBC	ENSG00000215458	lncRNA
AATF	2262.88660735706	-0.0261921466433138	0.0561585228773087	-0.466396644736127	0.640931612718992	0.999998661100275	AATF	ENSG00000275700	protein_coding	chr17	36948875	37056871	AATF	ENSG00000275700	protein_coding
AATK	564.465063541052	-0.0342580235282505	0.120896354278159	-0.28336688672538	0.776895609106246	0.999998661100275	AATK	ENSG00000181409	protein_coding	chr17	81117295	81166077	AATK	ENSG00000181409	protein_coding
ABALON	89.5109222143356	-0.176330054951544	0.117495162296525	-1.50074310724841	0.133422018868348	0.999998661100275	ABALON	ENSG00000281376	antisense	chr20	31721507	31723409	ABALON	ENSG00000281376	lncRNA
ABAT	754.78185563382	-0.108558464509011	0.0910574424086234	-1.19219760227671	0.233183773378365	0.999998661100275	ABAT	ENSG00000183044	protein_coding	chr16	8674565	8784575	ABAT	ENSG00000183044	protein_coding
ABCA1	1594.60685706981	0.189618631107246	0.15950331049523	1.1888068687635	0.234515674497444	0.999998661100275	ABCA1	ENSG00000165029	protein_coding	chr9	104781002	104928237	ABCA1	ENSG00000165029	protein_coding
ABCA2	851.425666116833	-0.0654923972434228	0.0893402295766081	-0.733067259327601	0.463517407940511	0.999998661100275	ABCA2	ENSG00000107331	protein_coding	chr9	137007227	137028922	ABCA2	ENSG00000107331	protein_coding
ABCA3	197.55278149672	-0.262941210420897	0.142493981104466	-1.84527941729783	0.064996903003503	0.999998661100275	ABCA3	ENSG00000167972	protein_coding	chr16	2275881	2340746	ABCA3	ENSG00000167972	protein_coding
ABCA7	2677.20706494956	-0.173673653005784	0.0978371096749899	-1.77513065934511	0.0758763156721751	0.999998661100275	ABCA7	ENSG00000064687	protein_coding	chr19	1040101	1065572	ABCA7	ENSG00000064687	protein_coding
ABCA9	266.667323639941	0.0731836517650403	0.0851713553812029	0.859251933205606	0.390201536854703	0.999998661100275	ABCA9	ENSG00000154258	protein_coding	chr17	68974488	69061064	ABCA9	ENSG00000154258	protein_coding
ABCB10	759.744279981756	0.0771537351520761	0.065205122840237	1.1832465271343	0.236711458276589	0.999998661100275	ABCB10	ENSG00000135776	protein_coding	chr1	229516582	229558695	ABCB10	ENSG00000135776	protein_coding
ABCB8	499.645412533541	-0.0123600514504574	0.0869018582358832	-0.142230001767139	0.886898334697028	0.999998661100275	ABCB8	ENSG00000197150	protein_coding	chr7	151028422	151047782	ABCB8	ENSG00000197150	protein_coding
ABCC1	3318.52888257809	-0.019824927464946	0.0660091988720526	-0.300335829001246	0.763921006352172	0.999998661100275	ABCC1	ENSG00000103222	protein_coding	chr16	15949577	16143074	ABCC1	ENSG00000103222	protein_coding
ABCC10	793.643791725751	-0.0905102899335083	0.087652596752651	-1.03260249310036	0.301789960989348	0.999998661100275	ABCC10	ENSG00000124574	protein_coding	chr6	43427366	43450430	ABCC10	ENSG00000124574	protein_coding
ABCC3	3760.54750784147	-0.478589900421832	0.162803601216439	-2.93967637598857	0.00328555214768267	0.297405410977306	ABCC3	ENSG00000108846	protein_coding	chr17	50634777	50692252	ABCC3	ENSG00000108846	protein_coding
ABCC4	1009.98444327484	-0.593623475091181	0.156976660591269	-3.78160341069325	0.000155821467504345	0.0333154758418452	ABCC4	ENSG00000125257	protein_coding	chr13	95019829	95301446	ABCC4	ENSG00000125257	protein_coding
ABCC5	1133.42916150171	-0.0082089124322724	0.0698688834358958	-0.117490247855528	0.906471571605389	0.999998661100275	ABCC5	ENSG00000114770	protein_coding	chr3	183919934	184018015	ABCC5	ENSG00000114770	protein_coding
ABCC6	441.896866937836	0.070838872307948	0.112870464987625	0.627612124356135	0.530258064207148	0.999998661100275	ABCC6	ENSG00000091262	protein_coding	chr16	16148928	16223522	ABCC6	ENSG00000091262	protein_coding
ABCC9	725.051797555803	0.0186327425619933	0.108117474693276	0.17233793718225	0.863171860949512	0.999998661100275	ABCC9	ENSG00000069431	protein_coding	chr12	21797401	21941402	ABCC9	ENSG00000069431	protein_coding
ABCD3	559.71016814567	0.152594222146105	0.0959544936774953	1.5902769771156	0.111772385813154	0.999998661100275	ABCD3	ENSG00000117528	protein_coding	chr1	94418455	94518666	ABCD3	ENSG00000117528	protein_coding
