baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	121.511644121717	0.335755488382068	0.141388593892664	2.37469996085369	0.0175632202767024	0.312327170699132	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	184.361384985874	0.255912797640567	0.110724304421421	2.31126128069004	0.0208184273160627	0.338270039327662	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
A2M	1136.80566784255	0.120355267960067	0.154994352757386	0.776513891112275	0.437445622104376	0.901628790729289	A2M	ENSG00000175899	protein_coding	chr12	9067664	9116229	A2M	ENSG00000175899	protein_coding
A2M-AS1	231.609585697604	-0.143663424335517	0.154730854689384	-0.928473022552066	0.353162255329856	0.869190742544231	A2M-AS1	ENSG00000245105	antisense	chr12	9065177	9068060	A2M-AS1	ENSG00000245105	lncRNA
AAAS	1206.83861179435	-0.0707238206184055	0.0948014847248657	-0.746020179152903	0.455655225315559	0.907124077029955	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	527.989782363276	0.104368242944869	0.113424665075822	0.920154737729229	0.357491903286608	0.871243652443968	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	586.431983071566	0.0779297763694778	0.0568187173849092	1.37155113589691	0.170203214314269	0.732827690356316	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	1202.0221054843	-0.263214583789728	0.066017341160201	-3.98705217695755	6.68993172279086e-05	0.00998314528217979	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	6479.90483879814	0.055544126660986	0.0509275485781275	1.09064991761338	0.275426955760293	0.826499622699894	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	319.456440770342	0.0288002542282317	0.0658619171164284	0.437282355102413	0.661906590211924	0.959787649222186	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	1547.32097076093	0.0527863060820613	0.105107559536536	0.502212270124229	0.61551821272396	0.950861981691653	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AAR2	1309.91803489845	0.147901177994179	0.109359766122249	1.35242770937207	0.176238530135983	0.740421478561928	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	99.995831875156	0.0195375260966554	0.087097009218224	0.224319138762889	0.822508985058664	0.984688069742798	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	1478.81248975533	-0.197897159674644	0.109189519382478	-1.81241900132772	0.0699214790380829	0.559018425789434	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	761.603835348384	0.0669184485354722	0.0787559272800173	0.849694122672737	0.395495166899875	0.883845691116935	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	791.73756887248	0.026959202920785	0.0921772750758029	0.292471250626739	0.769926338072364	0.979710969766106	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	594.748622205112	-0.0758179900399664	0.0795927081400796	-0.952574573873403	0.340805664950035	0.863782087514765	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	627.321193913306	0.138227599983481	0.0769553265794459	1.79620574854919	0.072461800820359	0.566349300345313	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
AASS	193.934801497727	-0.433345429774647	0.135702269991911	-3.19335431751052	0.00140630276563031	0.0760502197139778	AASS	ENSG00000008311	protein_coding	chr7	122075647	122144280	AASS	ENSG00000008311	protein_coding
AATF	2795.72047166159	-0.0547243680149814	0.0603789634810624	-0.906348252105147	0.364751553423334	0.875360751306741	AATF	ENSG00000275700	protein_coding	chr17	36948875	37056871	AATF	ENSG00000275700	protein_coding
ABALON	87.4796985503134	0.059752260443763	0.114209449416702	0.523181407045861	0.600848018899519	0.94914226352148	ABALON	ENSG00000281376	antisense	chr20	31721507	31723409	ABALON	ENSG00000281376	lncRNA
ABAT	359.271894773737	-0.0558645779672575	0.0650936463198417	-0.858218599289451	0.390771767644209	0.881815114903548	ABAT	ENSG00000183044	protein_coding	chr16	8674565	8784575	ABAT	ENSG00000183044	protein_coding
ABCA1	345.464789412051	0.0440653514157651	0.152591630754856	0.288779608670398	0.772750037533887	0.980389052531583	ABCA1	ENSG00000165029	protein_coding	chr9	104781002	104928237	ABCA1	ENSG00000165029	protein_coding
ABCA2	3192.70259784486	0.206927604778323	0.103597676349498	1.99741550264342	0.0457800651282874	0.474467019784187	ABCA2	ENSG00000107331	protein_coding	chr9	137007227	137028922	ABCA2	ENSG00000107331	protein_coding
ABCA3	483.236855201304	0.0517753372446095	0.0934667049279827	0.553944180277919	0.579617047944255	0.944759554081178	ABCA3	ENSG00000167972	protein_coding	chr16	2275881	2340746	ABCA3	ENSG00000167972	protein_coding
ABCA5	1592.1798973019	0.0810308211620525	0.0908134673342748	0.892277583277231	0.372244166510952	0.878082687307817	ABCA5	ENSG00000154265	protein_coding	chr17	69244311	69327244	ABCA5	ENSG00000154265	protein_coding
ABCA7	5468.68355126722	0.177845648727301	0.109911172874697	1.61808525990393	0.10564422466989	0.641735923897205	ABCA7	ENSG00000064687	protein_coding	chr19	1040101	1065572	ABCA7	ENSG00000064687	protein_coding
ABCA9	289.445115848978	0.0917977162134138	0.112551611501329	0.815605525224578	0.4147257883401	0.892934068359829	ABCA9	ENSG00000154258	protein_coding	chr17	68974488	69061064	ABCA9	ENSG00000154258	protein_coding
ABCB1	355.139481468317	-0.0399916739283944	0.131137519984646	-0.30495981571923	0.760396757771844	0.978191752977001	ABCB1	ENSG00000085563	protein_coding	chr7	87503633	87713323	ABCB1	ENSG00000085563	protein_coding
ABCB10	911.830760789832	0.0220759867444346	0.064958270901214	0.339848743480363	0.733970438257756	0.974187137790971	ABCB10	ENSG00000135776	protein_coding	chr1	229516582	229558695	ABCB10	ENSG00000135776	protein_coding
ABCB6	181.1983204939	0.133480979917412	0.111760580551993	1.19434758890963	0.232342029412754	0.794124101313625	ABCB6	ENSG00000115657	protein_coding	chr2	219209768	219218990	ABCB6	ENSG00000115657	protein_coding
ABCB8	1100.32237344551	0.127907840648666	0.0866215276967428	1.47662877866186	0.139775173016281	0.694054422833932	ABCB8	ENSG00000197150	protein_coding	chr7	151028422	151047782	ABCB8	ENSG00000197150	protein_coding
ABCC1	5544.27142523836	0.0691729943142601	0.0759057708398761	0.911300860907943	0.362136872948102	0.874213057045871	ABCC1	ENSG00000103222	protein_coding	chr16	15949577	16143074	ABCC1	ENSG00000103222	protein_coding
ABCC10	1560.57107167525	0.0228875657715814	0.0835503469714047	0.273937411407935	0.784132720699029	0.981014008577348	ABCC10	ENSG00000124574	protein_coding	chr6	43427366	43450430	ABCC10	ENSG00000124574	protein_coding
ABCC2	238.046450302884	0.0550086441308716	0.0822907167942236	0.668467188934888	0.50383541935187	0.924782526899345	ABCC2	ENSG00000023839	protein_coding	chr10	99782732	99852192	ABCC2	ENSG00000023839	protein_coding
ABCC4	491.412785339935	-0.0311770566924885	0.0751913815133715	-0.414636040261399	0.678408360662282	0.962643054402868	ABCC4	ENSG00000125257	protein_coding	chr13	95019829	95301446	ABCC4	ENSG00000125257	protein_coding
ABCC5	1567.38435556708	-0.0642182400868723	0.053217726044296	-1.20670770550061	0.2275447305372	0.789927037778434	ABCC5	ENSG00000114770	protein_coding	chr3	183919934	184018015	ABCC5	ENSG00000114770	protein_coding
ABCC9	932.651745942805	0.0480497536797996	0.0920047746014045	0.522252827507781	0.601494308737653	0.949224955529228	ABCC9	ENSG00000069431	protein_coding	chr12	21797401	21941402	ABCC9	ENSG00000069431	protein_coding
ABCD2	1270.03567588292	-0.153576843629384	0.101633479494346	-1.5110851699014	0.130766752616194	0.680513554824876	ABCD2	ENSG00000173208	protein_coding	chr12	39550033	39619751	ABCD2	ENSG00000173208	protein_coding
ABCD3	699.2079315085	0.0149470574052386	0.0585312186557484	0.255368976565305	0.798438129715023	0.982001634851954	ABCD3	ENSG00000117528	protein_coding	chr1	94418455	94518666	ABCD3	ENSG00000117528	protein_coding
ABCD4	1441.24978667124	-0.0232581075223759	0.0625209745341167	-0.372004878293833	0.709889217248938	0.969889915811432	ABCD4	ENSG00000119688	protein_coding	chr14	74285423	74303056	ABCD4	ENSG00000119688	protein_coding
ABCE1	2304.2563457524	0.0185037898758084	0.0941534341278235	0.196528040078576	0.844196887769184	0.985219769824749	ABCE1	ENSG00000164163	protein_coding	chr4	145097932	145129179	ABCE1	ENSG00000164163	protein_coding
ABCF1	2537.81586063839	-0.0650489499052629	0.0521921541086282	-1.24633579541238	0.21264114164534	0.7769825776267	ABCF1	ENSG00000204574	protein_coding	chr6	30571376	30597179	ABCF1	ENSG00000204574	protein_coding
ABCF2	1690.98212960148	-0.0724441959147579	0.0914613550295396	-0.792074378204438	0.428317308740535	0.898738603648206	ABCF2	ENSG00000033050	protein_coding	chr7	151207837	151227230	ABCF2	ENSG00000033050	protein_coding
ABCF3	1545.77321218874	0.0657411007283901	0.0674682175885917	0.97440103026386	0.329857458135679	0.855958657993204	ABCF3	ENSG00000161204	protein_coding	chr3	184186023	184194012	ABCF3	ENSG00000161204	protein_coding
ABCG1	899.500640552403	0.170093873560555	0.105053517973656	1.61911639744619	0.105422221362571	0.641125760544048	ABCG1	ENSG00000160179	protein_coding	chr21	42199689	42297244	ABCG1	ENSG00000160179	protein_coding
ABHD10	716.295321624737	-0.0139949465112975	0.0647679982226837	-0.216078107944303	0.828926863956519	0.984688069742798	ABHD10	ENSG00000144827	protein_coding	chr3	111979010	111993363	ABHD10	ENSG00000144827	protein_coding
ABHD11	259.678091687867	0.0384063703578809	0.0752801088982862	0.510179527101551	0.609925693782068	0.949319740115514	ABHD11	ENSG00000106077	protein_coding	chr7	73736094	73738867	ABHD11	ENSG00000106077	protein_coding
ABHD12	734.227541745251	0.105108790958121	0.096521596623162	1.08896655914722	0.276168632757887	0.827120218302423	ABHD12	ENSG00000100997	protein_coding	chr20	25294743	25390983	ABHD12	ENSG00000100997	protein_coding
ABHD13	1259.14631155089	-0.15281000490561	0.107577639736353	-1.42046251693298	0.155473073516146	0.717308231518839	ABHD13	ENSG00000139826	protein_coding	chr13	108218379	108234255	ABHD13	ENSG00000139826	protein_coding
ABHD14A	509.350068474048	-0.0105101093838916	0.12428860546449	-0.0845621313765112	0.932609505974937	0.992619262346552	ABHD14A	ENSG00000248487	protein_coding	chr3	51971426	51981199	ABHD14A	ENSG00000248487	protein_coding
ABHD14B	3479.40255169546	0.0913652875958301	0.111548107040356	0.819066230884364	0.412748627237843	0.892591125250967	ABHD14B	ENSG00000114779	protein_coding	chr3	51968510	51983409	ABHD14B	ENSG00000114779	protein_coding
