gene_name.84	intercept_LCL	intercept_err_LCL	x_coeff_LCL	x_coeff_err_LCL	x_pval_LCL	x_adj_pval_LCL	y_coeff_LCL	y_coeff_err_LCL	y_pval_LCL	y_adj_pval_LCL	adj.r.sq_LCL	reg_pval_LCL	reg_adj_pval_LCL	deltaEx_LCL	deltaEx_err_LCL	deltaEx_95_CI_lo_LCL	deltaEx_95_CI_hi_LCL	deltaEy_LCL	deltaEy_err_LCL	deltaEy_95_CI_lo_LCL	deltaEy_95_CI_hi_LCL	intercept_Fib	intercept_err_Fib	x_coeff_Fib	x_coeff_err_Fib	x_pval_Fib	x_adj_pval_Fib	y_coeff_Fib	y_coeff_err_Fib	y_pval_Fib	y_adj_pval_Fib	adj.r.sq_Fib	reg_pval_Fib	reg_adj_pval_Fib	deltaEx_Fib	deltaEx_err_Fib	deltaEx_95_CI_lo_Fib	deltaEx_95_CI_hi_Fib	deltaEy_Fib	deltaEy_err_Fib	deltaEy_95_CI_lo_Fib	deltaEy_95_CI_hi_Fib	gene_id.84	gene_type.84	chr	start	stop.84	loc.84	Gene	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
DDX3Y	12049.7513047562	583.656147357334	-958.993687290439	375.823953687404	0.0139593687330712	0.0767765280318917	6921.81415493716	634.779587043338	1.38001078174977e-14	1.68667984436083e-14	0.749318791726877	3.40490217480562e-13	4.16154710254021e-13	-0.0795861809124565	0.031426680872267	-0.1411824754221	-0.0179898864028132	0.574436266763863	0.0595764250670931	0.457666473632361	0.691206059895366	5141.39949651585	214.299226226125	-703.790246250911	233.87342525637	0.0043223333630131	0.043223333630131	4221.91365750724	267.698638885081	1.01198555072054e-19	1.01198555072054e-18	0.905917564774905	6.85530324423346e-22	6.85530324423346e-21	-0.136886901460944	0.0458447113336627	-0.226742535674923	-0.0470312672469649	0.821160398130564	0.0623095469508101	0.699033686106976	0.943287110154152	ENSG00000067048	protein_coding	chrY	12904108	12920478	chrY:12904108	DDX3Y	protein_coding	chrY	12904108	12920478	chrY:12904108	ENSG00000067048
EIF1AY	4283.65915634998	203.135780012468	-133.458325514319	123.730615076282	0.28614774140325	0.449660736490822	3742.26458118549	208.985265500316	6.90195395881339e-23	7.59214935469473e-22	0.884133667014628	5.0815902386119e-21	5.58974926247308e-20	-0.0311552158197471	0.0289220874574863	-0.0878425072364203	0.0255320755969261	0.873613993223076	0.0640030556571702	0.748168004135022	0.999059982311129	1029.39357438501	83.632610107385	68.2457011868839	71.4681318164135	0.344839867746091	0.569675228306562	1265.2619384896	81.8045983204	2.09784432977155e-19	1.04892216488577e-18	0.891432847607745	1.54898028146272e-20	7.74490140731361e-20	0.0662969955176338	0.0696360354553259	-0.0701896339748049	0.202783625010073	1.22913331690992	0.127621993031711	0.978994210567767	1.47927242325208	ENSG00000198692	protein_coding	chrY	20575725	20593154	chrY:20575725	EIF1AY	protein_coding	chrY	20575776	20593154	chrY:20575776	ENSG00000198692
KDM5D	1629.49811497102	165.098545013585	178.393853757899	99.6754454788525	0.0798040554369738	0.231034839469156	2786.07601069258	168.355256493453	1.81266458430548e-21	6.64643680912011e-21	0.849021584425596	2.57517319736536e-18	9.442301723673e-18	0.109477790811112	0.0621669756930141	-0.0123694815471953	0.23132506316942	1.70977553462351	0.201702327950768	1.31443897184001	2.10511209740702	1511.72617869241	79.3731699252972	48.6728133736671	101.271261143191	0.633169040982265	0.78044110120927	1216.90143805496	115.918167002043	1.46113418128689e-13	2.92226836257378e-13	0.738389635202305	2.69802098030096e-12	5.39604196060191e-12	0.0321968449443453	0.0670118055136437	-0.0991462938623963	0.163539983751087	0.804974773346547	0.0875560843277803	0.633364848064097	0.976584698628996	ENSG00000012817	protein_coding	chrY	19703865	19744939	chrY:19703865	KDM5D	protein_coding	chrY	19703865	19744939	chrY:19703865	ENSG00000012817
LINC00266-4P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.3329154859937	1.97185812039631	-2.27299346305818	2.38724870158421	0.34622770386951	0.569675228306562	-2.79787213102812	2.73251750340481	0.311470962789655	0.311470962789655	0.0556797173730998	0.217952270643691	0.217952270643691	-0.101777730922938	0.107270799787253	-0.312028498505954	0.108473036660078	-0.125280200553432	0.122852810698217	-0.366071709521938	0.115511308415074	ENSG00000228786	lincRNA	chrY	25378300	25394719	chrY:25378300	SEPTIN14P23	lncRNA	chrY	25378300	25394719	chrY:25378300	ENSG00000228786
LINC00278	46.8160197777624	11.1269151247507	-1.79246993842951	7.29009151938707	0.806825371859639	0.854064203504208	85.3547490776913	12.3132153732641	9.34937859257046e-09	9.34937859257046e-09	0.515542216513732	8.75724307600639e-07	8.75724307600639e-07	-0.0382875337745164	0.155983549979006	-0.344015291733369	0.267440224184336	1.82319533960541	0.506898510429681	0.829674259163239	2.81671642004759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000231535	lincRNA	chrY	3002912	3102272	chrY:3002912	LINC00278	lncRNA	chrY	3002887	3200509	chrY:3002887	ENSG00000231535
NLGN4Y	910.926886843278	120.213136193611	125.615283945291	71.1908278031731	0.0840126688978747	0.231034839469156	1685.36549285704	120.243757298555	1.37227903262469e-18	3.01901387177431e-18	0.783068527234639	1.20797117428676e-14	1.89824041673634e-14	0.137898316274973	0.080242880881529	-0.0193777302528239	0.29517436280277	1.85016549319067	0.277560335987782	1.30614723465462	2.39418375172673	1684.26353403179	166.669279004964	-75.4506271808172	196.186762465507	0.702396991088343	0.78044110120927	1449.12384466148	224.561337919074	7.27091379806636e-08	8.07879310896262e-08	0.542308828084293	3.34764611772241e-07	3.71960679746934e-07	-0.0447973999651962	0.116566547862306	-0.273267833775315	0.183673033844923	0.860390203421765	0.158195171908601	0.550327666480906	1.17045274036262	ENSG00000165246	protein_coding	chrY	14522638	14845650	chrY:14522638	NLGN4Y	protein_coding	chrY	14522573	14845654	chrY:14522573	ENSG00000165246
RPS4Y1	12027.7559749035	868.242523319575	-158.366129937342	514.181886279101	0.75941772731015	0.854064203504208	12176.5976996238	868.470895042769	1.35534289018235e-18	3.01901387177431e-18	0.839440538957019	1.08901066266544e-17	2.39582345786396e-17	-0.0131667228922652	0.0427601753483777	-0.0969766665750855	0.070643220790555	1.01237485404849	0.102734178500266	0.811015864187971	1.21373384390902	12480.3425683739	454.465249579566	-1254.96285096125	595.633266351118	0.0408587640624103	0.181741440489036	8690.5752505384	681.779960686346	2.26858760208289e-16	5.67146900520722e-16	0.842327895131113	5.08008472831592e-17	1.27002118207898e-16	-0.100555160572388	0.047865975507576	-0.194372472567237	-0.00673784857753942	0.696341082220047	0.060226440958402	0.57829725794158	0.814384906498515	ENSG00000129824	protein_coding	chrY	2841486	2932000	chrY:2841486	RPS4Y1	protein_coding	chrY	2841602	2932000	chrY:2841602	ENSG00000129824
TMSB4Y	202.288830066776	11.7840825654764	-19.5210787887745	7.25863954750084	0.00981612025878739	0.0767765280318917	156.702154068533	12.2600919107234	4.58573264879372e-17	7.20615130524728e-17	0.798999707434048	2.05764273806454e-15	3.77234501978499e-15	-0.0965010217436652	0.0363202333361343	-0.167688679082488	-0.0253133644048419	0.774645609531706	0.0755615573213904	0.626544957181781	0.922746261881632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ENSG00000154620	protein_coding	chrY	13703567	13706024	chrY:13703567	TMSB4Y	protein_coding	chrY	13703899	13706024	chrY:13703899	ENSG00000154620
TTTY14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.7912162286387	7.54204533362782	-8.21958301227741	9.64626090147924	0.398772659814593	0.569675228306562	80.3503435045974	11.041403745747	4.49485763572583e-09	5.61857204465729e-09	0.628051145350345	4.56489565667702e-09	6.5212795095386e-09	-0.0947052405697844	0.111447561064964	-0.313142460257115	0.123731979117546	0.925788887356137	0.150521084976699	0.630767560801807	1.22081021391047	ENSG00000176728	lincRNA	chrY	18872501	19077416	chrY:18872501	TTTY14	lncRNA	chrY	18772706	19077416	chrY:18772706	ENSG00000176728
USP9Y	2394.24820212642	212.337545714408	153.465412793913	101.641821053439	0.137633194202916	0.302793027246414	1971.51101257696	171.676532487071	2.25732631208987e-15	3.10382367912357e-15	0.762370432152264	9.93366481472595e-14	1.36587891202482e-13	0.0640975370296255	0.0428314051392888	-0.0198520170433805	0.148047091102632	0.823436355022	0.102344863787255	0.62284042199898	1.02403228804502	2092.73270993309	130.715953523302	-15.6177691334304	159.82180905522	0.922598522193604	0.922598522193604	1385.56093022749	182.93690572725	1.66262630818426e-09	2.37518044026323e-09	0.623948944529557	5.74014982376893e-09	7.17518727971116e-09	-0.00746285899737754	0.0763713327674935	-0.157150671221665	0.14222495322691	0.662082130054627	0.096704003380956	0.472542283427953	0.851621976681301	ENSG00000114374	protein_coding	chrY	12701231	12860839	chrY:12701231	USP9Y	protein_coding	chrY	12537650	12860839	chrY:12537650	ENSG00000114374
