baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	126.553477771682	0.253570675756648	0.360969506212872	0.702471182169919	0.482385367338064	0.999988108490199	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	198.398397784242	0.137454281695661	0.245563530633658	0.559750388589751	0.575649707436883	0.999988108490199	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
AAAS	983.7974150757	-0.0975751448115005	0.132280578123568	-0.737637725776735	0.460734623925565	0.999988108490199	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	563.285995620852	-0.449527702690223	0.180180419683388	-2.49487543363552	0.0126001354507586	0.848800803184319	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	927.991167216741	0.0904259645015146	0.134136678363729	0.67413302315652	0.500226746264694	0.999988108490199	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	954.131194233592	-0.375598616765919	0.161135050835804	-2.3309553993231	0.0197557115953407	0.999988108490199	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	2586.83710617691	-0.0490404178010296	0.127745240741262	-0.383892327545548	0.701058253212563	0.999988108490199	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	161.858997984297	-0.103067585628931	0.254500804048779	-0.404979410631554	0.68549264541899	0.999988108490199	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	2090.47793176489	0.0152986655889194	0.128082217334681	0.119444103227412	0.904923522046985	0.999988108490199	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AAR2	687.416012939445	-0.0551190818258984	0.163492629347886	-0.337134964712163	0.736015160691512	0.999988108490199	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	126.341723914014	-0.0532808139787254	0.570085615920441	-0.0934610740751631	0.925537272682769	0.999988108490199	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	4961.88246674481	-0.148808254076949	0.142958105959193	-1.04092211545826	0.297911696761304	0.999988108490199	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	794.070372629975	0.0676587542401794	0.141808283222917	0.477114260905497	0.633280760204641	0.999988108490199	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	625.615011834368	0.0308072551885088	0.198403515248964	0.155275752800301	0.876603930218133	0.999988108490199	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	542.267776395205	-0.192267416655411	0.17876224129093	-1.0755482548605	0.282129340073542	0.999988108490199	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	688.468474361794	-0.0377752672979665	0.158054905607981	-0.239000916502139	0.811104872067838	0.999988108490199	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
AASS	271.487791752147	-0.297271010940758	0.353535304703936	-0.840852404230756	0.40043062514157	0.999988108490199	AASS	ENSG00000008311	protein_coding	chr7	122075647	122144280	AASS	ENSG00000008311	protein_coding
AATF	2300.03516647645	0.116484954755217	0.144002739699923	0.808907906876991	0.418568120508344	0.999988108490199	AATF	ENSG00000275700	protein_coding	chr17	36948875	37056871	AATF	ENSG00000275700	protein_coding
ABALON	64.4034585263308	-0.303065191996076	0.396335841955415	-0.76466763768029	0.444469481656369	0.999988108490199	ABALON	ENSG00000281376	antisense	chr20	31721507	31723409	ABALON	ENSG00000281376	lncRNA
ABAT	531.508242733883	-0.42740139305036	0.222395179292352	-1.92181051050803	0.0546296053218223	0.999988108490199	ABAT	ENSG00000183044	protein_coding	chr16	8674565	8784575	ABAT	ENSG00000183044	protein_coding
ABCA2	2371.48230506722	-0.223776228157941	0.224657965881048	-0.996075199382987	0.319213608882651	0.999988108490199	ABCA2	ENSG00000107331	protein_coding	chr9	137007227	137028922	ABCA2	ENSG00000107331	protein_coding
ABCA3	632.309891398658	-0.0649985668102074	0.288806876317275	-0.225058930864242	0.821933429797096	0.999988108490199	ABCA3	ENSG00000167972	protein_coding	chr16	2275881	2340746	ABCA3	ENSG00000167972	protein_coding
ABCA5	1298.01290226183	-0.0522822486362881	0.173306110139494	-0.301675737769465	0.7628992655241	0.999988108490199	ABCA5	ENSG00000154265	protein_coding	chr17	69244311	69327244	ABCA5	ENSG00000154265	protein_coding
ABCA7	9091.95351815742	0.0371058364143902	0.141339429077108	0.262529972398198	0.792912880832997	0.999988108490199	ABCA7	ENSG00000064687	protein_coding	chr19	1040101	1065572	ABCA7	ENSG00000064687	protein_coding
ABCA9	187.17335532982	-0.0989542390701876	0.334225747028011	-0.296070066265405	0.767176573367078	0.999988108490199	ABCA9	ENSG00000154258	protein_coding	chr17	68974488	69061064	ABCA9	ENSG00000154258	protein_coding
ABCB1	428.100193821012	-0.532190055891184	0.275637654814006	-1.93075962807147	0.0535127851227615	0.999988108490199	ABCB1	ENSG00000085563	protein_coding	chr7	87503633	87713323	ABCB1	ENSG00000085563	protein_coding
ABCB10	999.127138784744	0.195605835028653	0.123580902886903	1.58281603758523	0.113463400245826	0.999988108490199	ABCB10	ENSG00000135776	protein_coding	chr1	229516582	229558695	ABCB10	ENSG00000135776	protein_coding
ABCB6	603.484970757067	-0.0284943877755686	0.164328317466586	-0.173399132997042	0.862337706551251	0.999988108490199	ABCB6	ENSG00000115657	protein_coding	chr2	219209768	219218990	ABCB6	ENSG00000115657	protein_coding
ABCB8	1056.33986549593	0.039041363048586	0.147062409581172	0.265474795087162	0.790643724076198	0.999988108490199	ABCB8	ENSG00000197150	protein_coding	chr7	151028422	151047782	ABCB8	ENSG00000197150	protein_coding
ABCC1	5235.9217162718	-0.0251243255887314	0.179334048162647	-0.140097911390172	0.888582630788249	0.999988108490199	ABCC1	ENSG00000103222	protein_coding	chr16	15949577	16143074	ABCC1	ENSG00000103222	protein_coding
ABCC10	1290.30164322953	-0.0888804965658816	0.148060345322882	-0.600299130547453	0.548306898076253	0.999988108490199	ABCC10	ENSG00000124574	protein_coding	chr6	43427366	43450430	ABCC10	ENSG00000124574	protein_coding
