gene	deltaEx.x	deltaEx.y	deltaEx_LCL	deltaEx_Fib	start
6362	ABCB7	-0.0878463944771901	0.0440494219273707	-0.0445622844934492	0.00998702933026283	75053172
2588	ABCD1	0.0160386476591466	-0.00522832278893332	0.0800219844640118	0.0696161074750897	153724868
5301	ACOT9	-0.0268815791869763	0.0387615582667377	-0.0353653770502696	0.0182584754140067	23702253
8849	ACRC	-0.0635981264954015	NA	NA	NA	71578411
1034	ACSL4	-0.0497448334293611	0.095769970075386	0.00066123886215043	0.0171595190810148	109624244
9908	AIFM1	-0.0538715121446914	-0.00753128526963699	-0.0390330901863519	0.0263870552749144	130129362
16927	AKAP17A	0.886501973763427	0.654809833781458	0.918245942516373	0.689261177885441	1591593
2572	ALG13	0.0467272184833515	0.224029357509629	0.179435117397384	0.109852377820159	111665811
20454	ALG13-AS1	0.240460694335712	-0.00479005742798055	0.100196546746443	NA	111706649
15324	AMER1	0.0449910717030539	NA	0.0453246386269262	0.0856840411789162	64185117
2576	AMMECR1	-0.137562200900983	-0.106047465015686	-0.0155413291419525	-0.0796850614209022	110194186
18772	AMMECR1-IT1	-0.0329145541886742	0.039155547238731	NA	NA	110305420
14814	AP1S2	0.0106021790650893	0.110473453934083	0.0354807866982044	0.110087721902445	15825806
12366	APEX2	-0.0439645797984782	-0.0448172377313723	-0.0271426638259193	-0.0338797450314301	55000357
15349	APOO	-0.0899966292986816	0.0233583094464906	-0.0246844055609111	-0.00269278758644751	23833353
9723	APOOL	-0.134168176127844	0.0280203186232402	-0.0235430743652681	-0.0247980848193164	85003826
1399	ARAF	-0.0114265191081968	-0.0362063481266142	-0.0280326393252933	-0.0145634372372	47561100
1844	ARHGAP4	-0.0154021266828214	-0.0621767000421221	-0.0183202223969945	NA	153907367
6107	ARHGEF6	-0.0268479621710356	0.0604804525567188	0.0938604733902152	0.134947638269828	136665547
6332	ARHGEF9	-0.0746807522958668	0.00572812199197179	-0.00760522107441316	-0.0540946457300255	63634967
13441	ARL13A	0.0247406582525952	NA	NA	NA	100969708
15357	ARMCX2	-0.108379772571505	NA	-0.0838332390759637	-0.0154659920544025	101655281
2655	ARMCX3	0.0399022990575943	-0.0650506149203682	0.00264660263827861	0.00074764948471389	101622797
20064	ARMCX3-AS1	0.00661408363762908	0.0207054426360939	0.0211870847550042	0.045538263709071	101622983
16488	ARMCX4	-0.112486933576801	NA	NA	-0.00945194888865635	101418287
5711	ARMCX5	-0.0942307197096466	0.0318740754444317	-0.0721690247083003	-0.0635662089370949	102599168
31306	ARMCX5-GPRASP2	-0.13564055947919	-0.0236233912173286	-0.00421261249091448	-0.0586619866466542	102599512
17258	ARMCX6	-0.105894494062627	0.00622072740758649	-0.013397191662454	-0.0355540583794927	101615118
5018	ARR3	-0.156013912250704	NA	NA	NA	70268305
157	ARSD	-0.0713221773535242	0.314799130427206	NA	0.176987992241631	2903970
12348	ASMTL	0.989430508705728	0.795087728769665	0.730314502773435	0.647429973034898	1403139
22537	ASMTL-AS1	1.59802610104628	0.938015240656968	1.97019708378889	0.745605502687513	1401769
2559	ATG4A	-0.0680965896828811	-0.0548604364371857	-0.0256281014978798	-0.0609288168850939	108091668
2585	ATP11C	-0.0730919027807914	-0.044600577745763	-0.0341642348821535	-0.026038328544313	139726346
1151	ATP6AP1	0.034888283670138	-0.00782569531943608	-0.0235368671890458	-0.0267441181793665	154428632
14800	ATP6AP2	-0.0207679611836769	0.139416919173367	-0.0249729234826724	-0.0408341491891904	40580908
11418	ATP7A	0.00416605546936535	-0.0675297368498544	-0.0641190390457437	-0.0143057877328957	77910656
1638	ATRX	-0.102318752839077	-0.0562400189284157	0.0134652366582952	-0.0294828497359452	77504878
5817	AVPR2	0.0972214522599457	-0.16494420830706	NA	NA	153902531
15580	BCAP31	0.0284985046983445	0.0410216525061828	0.00194061385837492	0.0510852406272812	153700497
15036	BCOR	-0.089517349318944	0.143465760524678	0.115449469550043	0.012531331504212	40049815
1637	BCORL1	-0.0258533546757772	-0.0903691927297986	NA	0.0247051049875697	129981107
6656	BEX2	-0.147745982866974	NA	-0.235506011648554	NA	103309346
2656	BEX4	-0.119334555305985	0.0185740666626541	-0.107689354282624	-0.11593773536518	103215092
15293	BEX5	-0.0657035750477656	NA	-0.137328994429213	NA	102153708
15511	BRCC3	-0.0511731637013558	0.0187838508612554	-0.00963218556407841	0.00722048389789025	155071420
11430	BRWD3	-0.0112219762029099	0.0200788338949858	-0.0235667857694867	-0.0700860931166567	80670854
268	BTK	-0.238394094909298	-0.0318036123123376	-0.0125201416255819	NA	101349447
12806	C1GALT1C1	0.00745496175067196	0.0669379325831853	0.0354370184742461	-0.0251869299826495	120625793
12383	CA5B	0.188234241129372	0.0895228927990995	0.165778426557352	0.338394740596673	15688830
8821	CASK	-0.0256851308482019	0.0802088179201725	0.14749581677329	0.0155250361892447	41514934
8841	CCDC120	0.0683716506400236	NA	-0.0213615865185897	-0.0919716433685146	49053572
2589	CCDC22	-0.0113173424590191	-0.0187159920622843	-0.00896178223596903	0.023651666070769	49235467
2635	CD40LG	-0.00278096013403999	-0.0888581319149059	NA	NA	136648193
23	CD99	0.837931414682823	0.88853415617393	0.473068761691474	0.694330965821369	2691179
2624	CD99L2	0.00324394612610667	0.0448426207030377	0.0388775401375039	0.0519756517220869	150766337
2629	CDK16	0.386648540605056	0.130889342310926	0.0905905447682663	0.241082134137887	47217860
200	CDKL5	-0.178486905273746	-0.108046070848562	-0.120993882434003	-0.0312467748691701	18425583
2650	CENPI	0.011367921005428	NA	0.0112379688456801	0.0544130278788062	101098218
8872	CETN2	-0.0849376824755343	0.0676162317800299	0.0142013807643997	0.00509182553378459	152826973
5792	CFP	-0.0517474687066621	0.0725307065601894	-0.171654836965267	NA	47624213
16703	CH17-340M24.3	0.0104574395796977	-0.114086349865018	-0.0769184521279886	-0.108647131845062	154424380
17425	CHIC1	-0.0490122570471456	NA	0.0100404178623837	-0.054640421668785	73563200
16141	CHM	0.00673751432611557	0.0539923678000146	0.100936856252008	0.0900412597599213	85861180
8832	CHST7	-0.0470750408909234	-0.0587626689043486	-0.0273304259881757	-0.0284323546639897	46573784
9815	CLIC2	-0.0731764782725481	0.180810961417777	-0.0986169892875011	NA	155276211
14900	CMC4	0.0339901196430005	0.130110389386675	-0.0699178192142728	0.0380270871029038	155061622
9182	CNKSR2	-0.0740002096059608	NA	NA	NA	21374418
6350	COX7B	-0.0792049526605124	0.0843394519798661	-0.0395541755392973	-0.00436572829496132	77899438
17007	CSF2RA	0.189485290434451	0.861807210727468	NA	NA	1268800
2554	CSTF2	-0.0117207302206069	-0.0459084926348242	-0.0197615869941036	-0.0267242634323	100820359
612	CTPS2	0.103768873915751	0.108002175679884	0.0120526522603464	0.196646358567633	16588003
10088	CUL4B	-0.0210183233740306	-0.0592260217975194	-0.00637984845574452	-0.0134332373006344	120524609
15800	CXCR3	0.00460960103579665	NA	0.148637938451834	NA	71615916
4993	CXorf21	-0.036684691036525	0.134533392885964	0.308877334718167	NA	30558824
13357	CXorf23	-0.000848209078115487	-0.020676324946681	0.0247105489516095	0.0466048341194333	19912860
8829	CXorf36	0.116525545595882	NA	NA	NA	45148374
15563	CXorf38	0.224119981990154	0.0349809589909055	0.123418659435692	0.108931876813438	40626921
16824	CXorf40A	-0.037738137523845	0.0573340850457091	-0.0551013593434126	-0.0378505446270352	149540355
16654	CXorf40B	0.0165015512601316	0.0977720009416468	-0.0024005029072753	0.010972449208251	149929527
381	CXorf56	-0.0579016444926105	0.00859594001200246	0.00659152824213019	-0.024365236870736	119538149
8856	CXorf57	-0.200967414890141	NA	-0.187201464638883	-0.194806599537502	106611930
