baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	54.3822712521386	1.07605439463108	0.405774429122924	2.65185363443664	0.00800512350789646	0.294554182875214	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	117.396731890119	0.393062106181247	0.217007000233828	1.8112876808477	0.0700963316322881	0.905955214595892	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
AAAS	1435.09288880006	0.156404621825199	0.122349174261239	1.27834636211966	0.201127327519954	0.999983920993498	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	415.544331745282	-0.198909395704643	0.130095848224505	-1.52894499262873	0.126278081065467	0.999983920993498	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	575.530473234492	-0.0834511552427523	0.192475901781977	-0.433566771061448	0.664603069038281	0.999983920993498	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	1817.98050362615	0.120942409922129	0.128484257313105	0.941301389378799	0.346550430963643	0.999983920993498	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	1137.62316907223	-0.0626578495010081	0.175829194183207	-0.356356347943682	0.721573715683213	0.999983920993498	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	61.529574002469	-0.299468735936619	0.360529365953331	-0.830636181728907	0.406179188498725	0.999983920993498	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	3705.98446696952	0.235377365319915	0.101321997395864	2.32306282317254	0.0201757777766581	0.52290961786323	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AAR2	1235.9471131638	0.140528976945214	0.0898565881633582	1.56392513690519	0.117835150499869	0.999983920993498	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	42.279392797909	-0.092366051438089	0.615518519393256	-0.150062180954585	0.880715557285612	0.999983920993498	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	6838.54303137076	0.0799703905035258	0.0838282040893683	0.953979527203878	0.340094005542484	0.999983920993498	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
