Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	stop	gene_id.107	gene_type.107	gene_name.84	gene_id.84	gene_type.84
FTH1	100937.9339	1.324434531	0.028726359	46.10520001	0	0	chr11	61959718	61967660	ENSG00000167996	protein_coding	FTH1	ENSG00000167996	protein_coding
SOGA1	6003.395075	-1.340771092	0.035807129	-37.44424989	7.45E-307	7.01E-303	chr20	36777442	36863686	ENSG00000149639	protein_coding	SOGA1	ENSG00000149639	protein_coding
CTSZ	1588.532318	-2.25200416	0.060564586	-37.18351436	1.26E-302	7.90E-299	chr20	58995185	59007247	ENSG00000101160	protein_coding	CTSZ	ENSG00000101160	protein_coding
ANKRD52	2604.124898	-1.779536344	0.048485873	-36.70216121	6.75E-295	2.54E-291	chr12	56237807	56258391	ENSG00000139645	protein_coding	ANKRD52	ENSG00000139645	protein_coding
PTGR1	4370.013732	1.57563091	0.04532974	34.75931922	1.00E-264	3.14E-261	chr9	111549722	111599855	ENSG00000106853	protein_coding	PTGR1	ENSG00000106853	protein_coding
ZDHHC20	8792.030201	-1.20314031	0.035150057	-34.22868692	9.05E-257	2.43E-253	chr13	21372573	21459370	ENSG00000180776	protein_coding	ZDHHC20	ENSG00000180776	protein_coding
SLC45A3	6303.431822	-1.190733421	0.035466324	-33.57363543	4.07E-247	9.57E-244	chr1	205657851	205680459	ENSG00000158715	protein_coding	SLC45A3	ENSG00000158715	protein_coding
POMGNT1	2262.157216	-1.683073985	0.052641918	-31.97212518	2.66E-224	5.01E-221	chr1	46188682	46220305	ENSG00000085998	protein_coding	POMGNT1	ENSG00000085998	protein_coding
DLAT	5465.933137	-1.199168915	0.037926921	-31.61788175	2.10E-219	3.58E-216	chr11	112024814	112064390	ENSG00000150768	protein_coding	DLAT	ENSG00000150768	protein_coding
LPCAT1	2666.371686	-1.409634962	0.047533869	-29.65538037	2.89E-193	4.53E-190	chr5	1456480	1523977	ENSG00000153395	protein_coding	LPCAT1	ENSG00000153395	protein_coding
TP53INP1	4748.927026	1.264486949	0.043101728	29.33726816	3.47E-189	5.02E-186	chr8	94925972	94949411	ENSG00000164938	protein_coding	TP53INP1	ENSG00000164938	protein_coding
FGFRL1	5982.070111	-1.029429579	0.035503117	-28.99547039	7.50E-185	1.01E-181	chr4	1009936	1026897	ENSG00000127418	protein_coding	FGFRL1	ENSG00000127418	protein_coding
ZFX	1519.197562	-1.656802512	0.05855587	-28.29438818	4.05E-176	5.08E-173	chrX	24149173	24216255	ENSG00000005889	protein_coding	ZFX	ENSG00000005889	protein_coding
SIGMAR1	5162.511374	-1.068561398	0.039323765	-27.17342522	1.34E-162	1.40E-159	chr9	34634722	34637809	ENSG00000147955	protein_coding	SIGMAR1	ENSG00000147955	protein_coding
MKI67	10149.40663	-0.930316413	0.034748854	-26.77257844	6.74E-158	6.67E-155	chr10	128096659	128126385	ENSG00000148773	protein_coding	MKI67	ENSG00000148773	protein_coding
MYBL2	7101.826298	-0.858699577	0.032685943	-26.27121938	4.09E-152	3.85E-149	chr20	43667019	43716496	ENSG00000101057	protein_coding	MYBL2	ENSG00000101057	protein_coding
SHCBP1	3210.999269	-1.122060583	0.042898403	-26.15623211	8.37E-151	7.50E-148	chr16	46580554	46621626	ENSG00000171241	protein_coding	SHCBP1	ENSG00000171241	protein_coding
MYH10	5563.003603	-0.954084418	0.036775778	-25.94328274	2.17E-148	1.85E-145	chr17	8474205	8630761	ENSG00000133026	protein_coding	MYH10	ENSG00000133026	protein_coding
TWSG1	871.8081999	-1.959219019	0.075974435	-25.78787234	1.21E-146	9.92E-144	chr18	9334767	9402420	ENSG00000128791	protein_coding	TWSG1	ENSG00000128791	protein_coding
LPGAT1	1792.18714	-1.414877488	0.05492621	-25.7596052	2.52E-146	1.97E-143	chr1	211743457	211830772	ENSG00000123684	protein_coding	LPGAT1	ENSG00000123684	protein_coding
LRRC41	2344.976835	-1.352639127	0.05325576	-25.39892655	2.59E-142	1.95E-139	chr1	46261196	46303608	ENSG00000132128	protein_coding	LRRC41	ENSG00000132128	protein_coding
ZMYND11	3174.884169	-1.279927494	0.051628529	-24.79108952	1.12E-135	7.79E-133	chr10	134465	254637	ENSG00000015171	protein_coding	ZMYND11	ENSG00000015171	protein_coding
UBE2S	7532.843041	-1.056681799	0.042725269	-24.73201042	4.84E-135	3.25E-132	chr19	55399745	55407777	ENSG00000108106	protein_coding	UBE2S	ENSG00000108106	protein_coding
NES	1790.651662	-1.320530409	0.054952414	-24.03043491	1.34E-127	8.11E-125	chr1	156668763	156677397	ENSG00000132688	protein_coding	NES	ENSG00000132688	protein_coding
CD276	3732.831102	-0.965466065	0.040486425	-23.8466611	1.10E-125	6.45E-123	chr15	73683966	73714518	ENSG00000103855	protein_coding	CD276	ENSG00000103855	protein_coding
RIPOR1	1570.502495	-1.342567626	0.056810844	-23.63224202	1.80E-123	1.02E-120	chr16	67518418	67546788	ENSG00000039523	protein_coding	FAM65A	ENSG00000039523	protein_coding
PDIA4	21371.71792	-0.665480018	0.028189967	-23.60698139	3.27E-123	1.81E-120	chr7	149003062	149028641	ENSG00000155660	protein_coding	PDIA4	ENSG00000155660	protein_coding
LONRF1	1531.725164	-1.450063048	0.06175616	-23.48045995	6.46E-122	3.47E-119	chr8	12721894	12756073	ENSG00000154359	protein_coding	LONRF1	ENSG00000154359	protein_coding
MTDH	15176.81878	-0.776053028	0.033325499	-23.28706387	6.00E-120	3.13E-117	chr8	97644179	97728770	ENSG00000147649	protein_coding	MTDH	ENSG00000147649	protein_coding
AKT1	7180.031882	-0.75664574	0.032539175	-23.25337803	1.31E-119	6.68E-117	chr14	104769349	104795751	ENSG00000142208	protein_coding	AKT1	ENSG00000142208	protein_coding
CCND1	21937.84258	0.584821481	0.02554799	22.89109569	5.70E-116	2.82E-113	chr11	69641087	69654474	ENSG00000110092	protein_coding	CCND1	ENSG00000110092	protein_coding
CPNE3	6122.200458	-0.81938276	0.036086196	-22.70626563	3.88E-114	1.87E-111	chr8	86484830	86561498	ENSG00000085719	protein_coding	CPNE3	ENSG00000085719	protein_coding
NSD2	5130.991195	-0.955949209	0.042144939	-22.68242015	6.68E-114	3.14E-111	chr4	1871424	1982207	ENSG00000109685	protein_coding	WHSC1	ENSG00000109685	protein_coding
DIS3L	1358.820582	-1.405984412	0.062194543	-22.60623421	3.76E-113	1.73E-110	chr15	66293217	66333898	ENSG00000166938	protein_coding	DIS3L	ENSG00000166938	protein_coding
EIF2AK4	3470.793364	-0.954747614	0.042453302	-22.48936071	5.28E-112	2.36E-109	chr15	39934146	40035591	ENSG00000128829	protein_coding	EIF2AK4	ENSG00000128829	protein_coding
EIF4H	18628.05182	-0.592358098	0.026584833	-22.28180628	5.55E-110	2.37E-107	chr7	74174245	74197101	ENSG00000106682	protein_coding	EIF4H	ENSG00000106682	protein_coding
CELSR2	1070.874504	-1.468395149	0.066767197	-21.99276316	3.38E-107	1.38E-104	chr1	109250019	109275750	ENSG00000143126	protein_coding	CELSR2	ENSG00000143126	protein_coding
SKP2	2066.72279	-1.183662221	0.054058592	-21.89591307	2.84E-106	1.14E-103	chr5	36151989	36184319	ENSG00000145604	protein_coding	SKP2	ENSG00000145604	protein_coding
MYH9	27410.46067	-0.647445154	0.029571051	-21.89456019	2.93E-106	1.15E-103	chr22	36281281	36388018	ENSG00000100345	protein_coding	MYH9	ENSG00000100345	protein_coding
TESK1	761.2390587	-1.74785904	0.080310008	-21.7639007	5.10E-105	1.96E-102	chr9	35605305	35610041	ENSG00000107140	protein_coding	TESK1	ENSG00000107140	protein_coding
TUB	1907.893244	-1.218758493	0.056029952	-21.7519102	6.63E-105	2.49E-102	chr11	8019244	8106112	ENSG00000166402	protein_coding	TUB	ENSG00000166402	protein_coding
ST3GAL1	22480.63426	0.609052209	0.028039996	21.72083768	1.30E-104	4.81E-102	chr8	133454848	133571940	ENSG00000008513	protein_coding	ST3GAL1	ENSG00000008513	protein_coding
TXNRD1	21522.86397	0.580851529	0.026779852	21.68987057	2.56E-104	9.25E-102	chr12	104215779	104350305	ENSG00000198431	protein_coding	TXNRD1	ENSG00000198431	protein_coding
CDC27	3691.616107	-1.07252148	0.050031163	-21.43706855	6.03E-102	2.10E-99	chr17	47117703	47189422	ENSG00000004897	protein_coding	CDC27	ENSG00000004897	protein_coding
FOXM1	6766.119037	-0.712032232	0.033725229	-21.112747	6.07E-99	2.04E-96	chr12	2857681	2877155	ENSG00000111206	protein_coding	FOXM1	ENSG00000111206	protein_coding
OGFRL1	2204.363142	-1.153964915	0.054843067	-21.04121773	2.75E-98	8.92E-96	chr6	71288803	71308950	ENSG00000119900	protein_coding	OGFRL1	ENSG00000119900	protein_coding
SAPCD2	5642.840478	-0.747726328	0.035534984	-21.04197721	2.71E-98	8.92E-96	chr9	137062124	137070588	ENSG00000186193	protein_coding	SAPCD2	ENSG00000186193	protein_coding
DGKE	1483.152727	-1.236395569	0.059546956	-20.76337146	9.28E-96	2.86E-93	chr17	56834099	56869567	ENSG00000153933	protein_coding	DGKE	ENSG00000153933	protein_coding
FZD6	1778.637457	-1.096870436	0.052939791	-20.71920597	2.32E-95	7.05E-93	chr8	103298433	103332866	ENSG00000164930	protein_coding	FZD6	ENSG00000164930	protein_coding
CEP78	2179.081605	-1.061064964	0.051290803	-20.6872365	4.51E-95	1.35E-92	chr9	78236062	78279690	ENSG00000148019	protein_coding	CEP78	ENSG00000148019	protein_coding
FDFT1	15050.99816	0.570172239	0.027609949	20.65097042	9.57E-95	2.81E-92	chr8	11795573	11839309	ENSG00000079459	protein_coding	FDFT1	ENSG00000079459	protein_coding
MOB1A	1910.450069	-1.172016692	0.056839388	-20.61979794	1.82E-94	5.27E-92	chr2	74152528	74178898	ENSG00000114978	protein_coding	MOB1A	ENSG00000114978	protein_coding
CAPN15	2984.229906	-0.90687013	0.044517512	-20.37108739	3.02E-92	8.47E-90	chr16	527717	554636	ENSG00000103326	protein_coding	CAPN15	ENSG00000103326	protein_coding
EIF2AK2	1645.423343	-1.46205068	0.072363897	-20.20414504	9.00E-91	2.49E-88	chr2	37099210	37157065	ENSG00000055332	protein_coding	EIF2AK2	ENSG00000055332	protein_coding
CKAP5	9749.545479	-0.649857765	0.032279166	-20.13242139	3.84E-90	1.03E-87	chr11	46743048	46846308	ENSG00000175216	protein_coding	CKAP5	ENSG00000175216	protein_coding
KDM3B	3774.204025	-0.821372012	0.040961333	-20.05237486	1.92E-89	5.03E-87	chr5	138352596	138437028	ENSG00000120733	protein_coding	KDM3B	ENSG00000120733	protein_coding
PCGF5	881.8047343	-1.458710909	0.072896521	-20.01070672	4.44E-89	1.14E-86	chr10	91163012	91284331	ENSG00000180628	protein_coding	PCGF5	ENSG00000180628	protein_coding
SLC30A1	4043.181396	0.756580319	0.038144562	19.83455274	1.50E-87	3.81E-85	chr1	211571568	211578742	ENSG00000170385	protein_coding	SLC30A1	ENSG00000170385	protein_coding
