Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	start	stop	gene_id.107	gene_type.107	gene_name.84	gene_id.84	gene_type.84
ZFX	1061.783992	-2.314489971	0.09548813	-24.23850971	8.74E-130	1.30E-125	chrX	24149173	24216255	ENSG00000005889	protein_coding	ZFX	ENSG00000005889	protein_coding
ANKRD52	7662.654616	-1.085671255	0.066175009	-16.40606133	1.73E-60	1.29E-56	chr12	56237807	56258391	ENSG00000139645	protein_coding	ANKRD52	ENSG00000139645	protein_coding
DIS3L	730.7467503	-1.23561189	0.09528693	-12.96727566	1.88E-38	6.97E-35	chr15	66293217	66333898	ENSG00000166938	protein_coding	DIS3L	ENSG00000166938	protein_coding
MVB12B	280.0620523	-1.842067823	0.145192431	-12.68707886	6.97E-37	2.07E-33	chr9	126326849	126507041	ENSG00000196814	protein_coding	MVB12B	ENSG00000196814	protein_coding
DLAT	1011.828062	-1.04183904	0.086307666	-12.0712225	1.50E-33	2.80E-30	chr11	112024814	112064390	ENSG00000150768	protein_coding	DLAT	ENSG00000150768	protein_coding
NIPSNAP2	670.7456566	-1.15175399	0.095417145	-12.07072364	1.51E-33	2.80E-30	chr7	55951793	56000181	ENSG00000146729	protein_coding	GBAS	ENSG00000146729	protein_coding
EML1	1439.902832	-0.897344745	0.074405557	-12.06018453	1.71E-33	2.83E-30	chr14	99737693	99942060	ENSG00000066629	protein_coding	EML1	ENSG00000066629	protein_coding
HERPUD1	5016.777581	0.81266454	0.067866146	11.97452029	4.83E-33	7.18E-30	chr16	56932048	56944863	ENSG00000051108	protein_coding	HERPUD1	ENSG00000051108	protein_coding
SF3B1	11513.98391	-0.646671084	0.055178393	-11.71964329	1.01E-31	1.37E-28	chr2	197389784	197435091	ENSG00000115524	protein_coding	SF3B1	ENSG00000115524	protein_coding
TTC8	770.708575	-1.098557749	0.094612522	-11.61112421	3.62E-31	4.48E-28	chr14	88824153	88881078	ENSG00000165533	protein_coding	TTC8	ENSG00000165533	protein_coding
NSMAF	1603.697906	-0.883095127	0.076890343	-11.48512399	1.57E-30	1.79E-27	chr8	58583504	58659844	ENSG00000035681	protein_coding	NSMAF	ENSG00000035681	protein_coding
HSPA5	72663.87733	0.78942373	0.072102144	10.94868596	6.74E-28	6.68E-25	chr9	125234853	125241330	ENSG00000044574	protein_coding	HSPA5	ENSG00000044574	protein_coding
ZNF275	1021.078944	-0.936915258	0.086417457	-10.84173609	2.18E-27	2.03E-24	chrX	153334155	153360110	ENSG00000063587	protein_coding	ZNF275	ENSG00000063587	protein_coding
MAN2A2	2693.215159	-0.76832458	0.071313875	-10.77384419	4.57E-27	4.00E-24	chr15	90902218	90922584	ENSG00000196547	protein_coding	MAN2A2	ENSG00000196547	protein_coding
