baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	181.300240693217	0.465601309244183	0.115491087569389	4.03149125220975	5.54240598245097e-05	0.0234477541151502	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	181.004084468933	0.0264882832979262	0.124220501470666	0.213236003593023	0.831142887176264	0.999997995148888	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
AAAS	864.098913415201	-0.150988072507152	0.0924590467414687	-1.63302648933144	0.102463425612844	0.999997995148888	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	291.065996493124	-0.0868522866777546	0.0887309298733615	-0.978827639941471	0.327665150265133	0.999997995148888	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	913.900168878643	0.095032942483491	0.0584362405980213	1.62626721895434	0.103892822097604	0.999997995148888	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	941.849939680498	-0.072944787581679	0.0809231022027156	-0.90140869042501	0.367371062472618	0.999997995148888	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	1404.02592557115	-0.00381536797357999	0.0814063992079869	-0.0468681579175615	0.962618306493985	0.999997995148888	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	283.68271850859	0.00724738991156276	0.0728158551059991	0.0995303825109604	0.920717165904017	0.999997995148888	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	2489.7951554318	-0.0925814114998836	0.107818343219269	-0.858679596955055	0.390517310050245	0.999997995148888	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AANAT	77.4270624935947	-0.202103870971953	0.146818702303727	-1.37655399346778	0.168650183149335	0.999997995148888	AANAT	ENSG00000129673	protein_coding	chr17	76453351	76470117	AANAT	ENSG00000129673	protein_coding
AAR2	1112.10539599845	0.0600162837596308	0.0706384443094912	0.849626352141603	0.395532856147474	0.999997995148888	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	116.834327288181	-0.0919386992677568	0.150225143655995	-0.612006066562933	0.540533743808807	0.999997995148888	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	741.087806349695	-0.232362262529816	0.137946599417031	-1.68443632182157	0.0920973761990132	0.999997995148888	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	362.235469291847	-0.103625456508265	0.0663229371957163	-1.56243768581103	0.118184914967046	0.999997995148888	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	365.034365871363	-0.141478628900784	0.0908704742801686	-1.55692627359446	0.11948799069239	0.999997995148888	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	237.794946426396	-0.181627639537014	0.106880702894075	-1.69934922412531	0.0892534029867139	0.999997995148888	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	342.838584811722	-0.0777436656203008	0.126400589588345	-0.615057776814905	0.538516565077018	0.999997995148888	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
AATBC	1355.55265054091	-0.312334330272645	0.113846666684579	-2.74346486698632	0.00607945533118112	0.408827291456533	AATBC	ENSG00000215458	antisense	chr21	43805758	43812567	AATBC	ENSG00000215458	lncRNA
AATF	2262.88660735706	-0.0351766254194787	0.0601514059182927	-0.58480138381572	0.558681273780487	0.999997995148888	AATF	ENSG00000275700	protein_coding	chr17	36948875	37056871	AATF	ENSG00000275700	protein_coding
AATK	564.465063541052	-0.154945692646553	0.129560200855215	-1.19593587863997	0.231721582599218	0.999997995148888	AATK	ENSG00000181409	protein_coding	chr17	81117295	81166077	AATK	ENSG00000181409	protein_coding
ABALON	89.5109222143356	-0.278011378157067	0.12617680100906	-2.20334780984901	0.0275702436472095	0.751324976738441	ABALON	ENSG00000281376	antisense	chr20	31721507	31723409	ABALON	ENSG00000281376	lncRNA
ABAT	754.78185563382	-0.179037152246648	0.0975591210920133	-1.8351656948384	0.0664811424016657	0.974411373835865	ABAT	ENSG00000183044	protein_coding	chr16	8674565	8784575	ABAT	ENSG00000183044	protein_coding
ABCA1	1594.60685706981	0.168299848223738	0.170850094475803	0.985073193784941	0.324588119470881	0.999997995148888	ABCA1	ENSG00000165029	protein_coding	chr9	104781002	104928237	ABCA1	ENSG00000165029	protein_coding
ABCA2	851.425666116833	-0.0458616573602367	0.0957506234158978	-0.478969804311709	0.631960110205851	0.999997995148888	ABCA2	ENSG00000107331	protein_coding	chr9	137007227	137028922	ABCA2	ENSG00000107331	protein_coding
ABCA3	197.55278149672	0.14167277394854	0.152514035628497	0.928916301799495	0.352932463988589	0.999997995148888	ABCA3	ENSG00000167972	protein_coding	chr16	2275881	2340746	ABCA3	ENSG00000167972	protein_coding
ABCA7	2677.20706494956	-0.109811547398825	0.104789610575679	-1.04792399547586	0.294673625831608	0.999997995148888	ABCA7	ENSG00000064687	protein_coding	chr19	1040101	1065572	ABCA7	ENSG00000064687	protein_coding
ABCA9	266.667323639941	0.0905738691858571	0.0912694663372526	0.992378643380853	0.321012852980649	0.999997995148888	ABCA9	ENSG00000154258	protein_coding	chr17	68974488	69061064	ABCA9	ENSG00000154258	protein_coding
ABCB10	759.744279981756	0.0207739253778524	0.0698996201886421	0.297196541580464	0.766316462077538	0.999997995148888	ABCB10	ENSG00000135776	protein_coding	chr1	229516582	229558695	ABCB10	ENSG00000135776	protein_coding
ABCB8	499.645412533541	0.0362269419213566	0.0931162979203546	0.389050496319588	0.697238792431144	0.999997995148888	ABCB8	ENSG00000197150	protein_coding	chr7	151028422	151047782	ABCB8	ENSG00000197150	protein_coding
ABCC1	3318.52888257809	-0.103032476572121	0.0707136719265658	-1.45703756805498	0.145106010282967	0.999997995148888	ABCC1	ENSG00000103222	protein_coding	chr16	15949577	16143074	ABCC1	ENSG00000103222	protein_coding
