baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
HINT1	2495.39425860675	1.05268875811247	0.0369512300601624	28.4885985229322	1.6217405455556e-178	2.37682294356629e-174	HINT1	ENSG00000169567	protein_coding	chr5	131159027	131171735	HINT1	ENSG00000169567	protein_coding
ZFX	1015.71706981901	2.39299023229464	0.0840926653152741	28.4565868298147	4.03932429473738e-178	2.96001684318355e-174	ZFX	ENSG00000005889	protein_coding	chrX	24149173	24216255	ZFX	ENSG00000005889	protein_coding
CPNE3	2780.5839722541	1.1340212584513	0.0471380013577796	24.0574743473748	6.9719740542551e-128	3.40604172463876e-124	CPNE3	ENSG00000085719	protein_coding	chr8	86484830	86561498	CPNE3	ENSG00000085719	protein_coding
GSTP1	2903.1359112426	1.07089754572981	0.0459699832637145	23.2955826759045	4.91472432752858e-120	1.80075499360647e-116	GSTP1	ENSG00000084207	protein_coding	chr11	67583595	67586660	GSTP1	ENSG00000084207	protein_coding
AGPAT3	1744.85238053551	1.02135155398803	0.046297778316099	22.0604873740319	7.57622188281264e-108	2.22074215829004e-104	AGPAT3	ENSG00000160216	protein_coding	chr21	43865186	43986536	AGPAT3	ENSG00000160216	protein_coding
HSPB8	1350.21077920758	1.35497111062298	0.0616496955394866	21.9785531585493	4.61950455758389e-107	1.12839097993249e-103	HSPB8	ENSG00000152137	protein_coding	chr12	119178642	119221131	HSPB8	ENSG00000152137	protein_coding
LRRC41	2083.37421921567	0.937513663012069	0.0439889916187286	21.3124608797106	8.70003598494688e-101	1.82153896279116e-97	LRRC41	ENSG00000132128	protein_coding	chr1	46261196	46303608	LRRC41	ENSG00000132128	protein_coding
ACSL1	917.718359136202	1.1170746702115	0.0530542497582894	21.0553287493611	2.0436074877034e-98	3.37530116067721e-95	ACSL1	ENSG00000151726	protein_coding	chr4	184755595	184826818	ACSL1	ENSG00000151726	protein_coding
MAN2A2	636.841790487067	1.38957948490904	0.0659986711021109	21.0546585515204	2.072714959477e-98	3.37530116067721e-95	MAN2A2	ENSG00000196547	protein_coding	chr15	90902218	90922584	MAN2A2	ENSG00000196547	protein_coding
SEPN1	3859.74044947982	0.898040426534427	0.0435932797640243	20.6004327133822	2.72001841466774e-94	3.98645898853704e-91	SEPN1	ENSG00000162430	protein_coding	chr1	25800176	25818224	SELENON	ENSG00000162430	protein_coding
LRP3	430.043510870561	1.83977659579198	0.0915677672158226	20.0919674218514	8.67553905577294e-90	1.15589727637644e-86	LRP3	ENSG00000130881	protein_coding	chr19	33177603	33208867	LRP3	ENSG00000130881	protein_coding
CEP112	183.669860458644	2.0756529766553	0.107163473583774	19.3690341236716	1.40875496764788e-83	1.72055940048728e-80	CEP112	ENSG00000154240	protein_coding	chr17	65635538	66192084	CEP112	ENSG00000154240	protein_coding
ULK2	317.274797388347	1.67958119767149	0.0884884057452199	18.9808052651261	2.45799733068528e-80	2.77110837527104e-77	ULK2	ENSG00000083290	protein_coding	chr17	19770829	19867936	ULK2	ENSG00000083290	protein_coding
ALDOC	428.265376850659	-1.36949654358592	0.0733184370920126	-18.6787470915023	7.37294452117628e-78	7.71841963588282e-75	ALDOC	ENSG00000109107	protein_coding	chr17	28573115	28577264	ALDOC	ENSG00000109107	protein_coding
BLVRA	447.030157310705	1.45313341997005	0.0779100979007214	18.6514130918143	1.22983438261991e-77	1.20163018077849e-74	BLVRA	ENSG00000106605	protein_coding	chr7	43758680	43807342	BLVRA	ENSG00000106605	protein_coding
ACADSB	343.626300382344	1.7154103190264	0.0922959567935674	18.5859747124477	4.17348467084339e-77	3.82291195849254e-74	ACADSB	ENSG00000196177	protein_coding	chr10	123008979	123058311	ACADSB	ENSG00000196177	protein_coding
NSMAF	837.525320818599	1.25052739918048	0.0675544326120133	18.5114040756239	1.67088104461467e-76	1.44049603469839e-73	NSMAF	ENSG00000035681	protein_coding	chr8	58583504	58659844	NSMAF	ENSG00000035681	protein_coding
DIS3L	358.237209905069	1.59536691961888	0.0868603879317213	18.3670250341612	2.41279718386656e-75	1.96455308481935e-72	DIS3L	ENSG00000166938	protein_coding	chr15	66293217	66333898	DIS3L	ENSG00000166938	protein_coding
NAE1	770.01683021121	1.30337736139355	0.0713537404903316	18.2664195659113	1.53177065730738e-74	1.18155951334195e-71	NAE1	ENSG00000159593	protein_coding	chr16	66802875	66873256	NAE1	ENSG00000159593	protein_coding
PEBP1	4952.23881227543	0.546456953016768	0.0306231770173552	17.8445545577153	3.18633715357932e-71	2.33494786614292e-68	PEBP1	ENSG00000089220	protein_coding	chr12	118135858	118145584	PEBP1	ENSG00000089220	protein_coding
AKT1	3735.08859895435	0.629231866594462	0.0355790259621578	17.6854719762064	5.42647699636885e-70	3.78716413613247e-67	AKT1	ENSG00000142208	protein_coding	chr14	104769349	104795751	AKT1	ENSG00000142208	protein_coding
PRDX2	1581.06845851978	0.868386544142617	0.0492140510075907	17.6450937560226	1.10989900826983e-69	7.39394539327389e-67	PRDX2	ENSG00000167815	protein_coding	chr19	12796820	12801859	PRDX2	ENSG00000167815	protein_coding
FAM92A1	359.569629836399	1.30525238949611	0.0742240917663798	17.5852928400174	3.19327500444557e-69	2.03481036805019e-66	FAM92A1	ENSG00000188343	protein_coding	chr8	93698561	93731527	CIBAR1	ENSG00000188343	protein_coding
FBXO44	123.990617314923	2.90087326304694	0.168912380539027	17.1738344684372	4.16943440722889e-66	2.54613461134777e-63	FBXO44	ENSG00000132879	protein_coding	chr1	11654375	11663327	FBXO44	ENSG00000132879	protein_coding
CERS2	4614.08382390984	0.564789763684005	0.0334189917455402	16.9002634186107	4.47901224555509e-64	2.62577613883422e-61	CERS2	ENSG00000143418	protein_coding	chr1	150960583	150975004	CERS2	ENSG00000143418	protein_coding
ACOT7	1061.37642442419	1.12022052116507	0.0663077303265356	16.8942673146628	4.95834846236776e-64	2.79498288709469e-61	ACOT7	ENSG00000097021	protein_coding	chr1	6264269	6394391	ACOT7	ENSG00000097021	protein_coding
MAPK9	1193.87055921895	0.786762918288993	0.0469430973276542	16.7599277226539	4.79206384674689e-63	2.60120324955268e-60	MAPK9	ENSG00000050748	protein_coding	chr5	180233143	180292099	MAPK9	ENSG00000050748	protein_coding
CRYAB	12444.9910964899	0.525892197609263	0.0321774808887309	16.3434856640204	4.84047879821233e-60	2.53364490237857e-57	CRYAB	ENSG00000109846	protein_coding	chr11	111908565	111923722	CRYAB	ENSG00000109846	protein_coding
ARL2BP	2543.17383782298	0.579276432927255	0.0356898661530008	16.2308379203195	3.05263686981672e-59	1.54273951600117e-56	ARL2BP	ENSG00000102931	protein_coding	chr16	57245098	57253635	ARL2BP	ENSG00000102931	protein_coding
TSPAN17	1450.08392606047	0.744065416455619	0.0465011935492366	16.0009960963214	1.25746978293664e-57	6.14315904623981e-55	TSPAN17	ENSG00000048140	protein_coding	chr5	176647387	176659054	TSPAN17	ENSG00000048140	protein_coding
TMEM200B	244.641532100025	1.44268606609266	0.0924744244840533	15.6009196503996	7.1753005235257e-55	3.39229691847718e-52	TMEM200B	ENSG00000253304	protein_coding	chr1	29119428	29123935	TMEM200B	ENSG00000253304	protein_coding
B3GALNT1	115.654452856025	2.47584977901551	0.160558411379443	15.4202433727648	1.19652606577383e-53	5.48008938124413e-51	B3GALNT1	ENSG00000169255	protein_coding	chr3	161083883	161105384	B3GALNT1	ENSG00000169255	protein_coding
PERP	2362.72001942476	0.889489102854916	0.057729966480145	15.4077536691596	1.45171016803402e-53	6.44735279475957e-51	PERP	ENSG00000112378	protein_coding	chr6	138088505	138107511	PERP	ENSG00000112378	protein_coding
ZFYVE9	1149.61615021097	0.676864129733382	0.0446771695002688	15.1501121781967	7.5637394100232e-52	3.26041661156765e-49	ZFYVE9	ENSG00000157077	protein_coding	chr1	52142094	52346686	ZFYVE9	ENSG00000157077	protein_coding
OAT	4211.7976936739	0.421499667431876	0.0278402391922917	15.13994418369	8.82886005275605e-52	3.69702208380551e-49	OAT	ENSG00000065154	protein_coding	chr10	124397303	124418976	OAT	ENSG00000065154	protein_coding
SKP1	5619.04918583088	0.387685596081309	0.0256169062011426	15.1339741433732	9.66764937018815e-52	3.93580747692993e-49	SKP1	ENSG00000113558	protein_coding	chr5	134148935	134177038	SKP1	ENSG00000113558	protein_coding
AMFR	2512.49856419089	0.648193652452037	0.043236023214255	14.9919813216847	8.28444923202728e-51	3.281537512016e-48	AMFR	ENSG00000159461	protein_coding	chr16	56361452	56425538	AMFR	ENSG00000159461	protein_coding
PYGO1	211.32477776483	1.53690857340098	0.103087895878726	14.9087199840516	2.89244371450392e-50	1.11556987052025e-47	PYGO1	ENSG00000171016	protein_coding	chr15	55538890	55588947	PYGO1	ENSG00000171016	protein_coding
RCN2	1753.14418116201	0.65108253615135	0.0438483728099818	14.8484993724359	7.11433950339515e-50	2.67353230158357e-47	RCN2	ENSG00000117906	protein_coding	chr15	76931619	76954392	RCN2	ENSG00000117906	protein_coding
TFRC	5603.36896877704	-0.558043728198007	0.0376492572079538	-14.8221709957166	1.05324569139202e-49	3.85909221326035e-47	TFRC	ENSG00000072274	protein_coding	chr3	196027183	196082189	TFRC	ENSG00000072274	protein_coding
PTGFRN	352.169304226008	1.40323502642395	0.0949014063431962	14.7862405889894	1.7971517470783e-49	6.4241600012633e-47	PTGFRN	ENSG00000134247	protein_coding	chr1	116910057	116990358	PTGFRN	ENSG00000134247	protein_coding
HGSNAT	2579.86644882374	0.532887832576771	0.0363982351406068	14.640485466348	1.54957840714755e-48	5.40729074646534e-46	HGSNAT	ENSG00000165102	protein_coding	chr8	43140455	43202855	HGSNAT	ENSG00000165102	protein_coding
TTC7B	517.321276661477	0.934007207180006	0.0640342228480989	14.586062977537	3.44513726233496e-48	1.1742309701577e-45	TTC7B	ENSG00000165914	protein_coding	chr14	90524564	90816479	TTC7B	ENSG00000165914	protein_coding
EPB41L1	1231.22098262893	0.693653372244766	0.0479136604483019	14.4771525647306	1.68952505215319e-47	5.62765435553571e-45	EPB41L1	ENSG00000088367	protein_coding	chr20	36091504	36232799	EPB41L1	ENSG00000088367	protein_coding
FBXO6	91.1907088057662	2.55787872625161	0.178349821514958	14.3419191817755	1.19698920264437e-46	3.89846083421241e-44	FBXO6	ENSG00000116663	protein_coding	chr1	11664124	11674354	FBXO6	ENSG00000116663	protein_coding
HACD3	2801.70088628083	0.57799879281033	0.0403893672942471	14.3106671763253	1.87703890806868e-46	5.96204951350892e-44	HACD3	ENSG00000074696	protein_coding	chr15	65530418	65578352	HACD3	ENSG00000074696	protein_coding
ZNF319	197.854144494283	1.7623418847816	0.123159859083896	14.3093853621666	1.91195638056031e-46	5.96204951350892e-44	ZNF319	ENSG00000166188	protein_coding	chr16	57994668	58000453	ZNF319	ENSG00000166188	protein_coding
ADCY3	960.866226746762	1.35616090383841	0.0948398900356583	14.2994778181261	2.20457511168948e-46	6.73130267435854e-44	ADCY3	ENSG00000138031	protein_coding	chr2	24819169	24919839	ADCY3	ENSG00000138031	protein_coding
MBTPS2	1231.7802631178	0.863236792011258	0.0604733065246262	14.2746749205739	3.14752087370453e-46	9.41429916837012e-44	MBTPS2	ENSG00000012174	protein_coding	chrX	21839636	21885424	MBTPS2	ENSG00000012174	protein_coding
IFT57	607.911216001483	0.797615691291147	0.056240286509393	14.1822835692335	1.17945122054203e-45	3.45720741765281e-43	IFT57	ENSG00000114446	protein_coding	chr3	108160812	108222570	IFT57	ENSG00000114446	protein_coding
ADGRA3	322.690797989255	1.22132999453061	0.0866053985109113	14.1022386078708	3.67910960979287e-45	1.05727510668871e-42	ADGRA3	ENSG00000152990	protein_coding	chr4	22345071	22516054	ADGRA3	ENSG00000152990	protein_coding
ATP9A	2486.41836237963	0.593283448233213	0.0420878422718789	14.096314189754	4.00129014625708e-45	1.12774823814507e-42	ATP9A	ENSG00000054793	protein_coding	chr20	51596514	51768634	ATP9A	ENSG00000054793	protein_coding
ADAM15	1282.30758156259	0.840913062032214	0.0598207878122335	14.0572047407949	6.95806969378291e-45	1.92410319683174e-42	ADAM15	ENSG00000143537	protein_coding	chr1	155050566	155062775	ADAM15	ENSG00000143537	protein_coding
SIMC1	162.988838274343	1.52332849318096	0.108890883778448	13.9894951746407	1.80689950167942e-44	4.90405909196547e-42	SIMC1	ENSG00000170085	protein_coding	chr5	176238367	176345991	SIMC1	ENSG00000170085	protein_coding
KIAA0368	3797.68031747066	0.532951323560566	0.0383587652560606	13.8938602429691	6.90133329357878e-44	1.83901710455801e-41	KIAA0368	ENSG00000136813	protein_coding	chr9	111360692	111484745	ECPAS	ENSG00000136813	protein_coding
AK3	1169.45604055723	0.843645931502413	0.0608066894828941	13.8742289487696	9.07638541368725e-44	2.37541972541072e-41	AK3	ENSG00000147853	protein_coding	chr9	4709559	4742043	AK3	ENSG00000147853	protein_coding
MAP6	91.7778120106929	2.2690236454053	0.16452780002772	13.7911261502494	2.88225124693938e-43	7.41092531142868e-41	MAP6	ENSG00000171533	protein_coding	chr11	75586918	75669120	MAP6	ENSG00000171533	protein_coding
COL1A2	645913.020165014	-0.468805111724422	0.0340310545386399	-13.7758032502967	3.56396825763751e-43	9.0057791006785e-41	COL1A2	ENSG00000164692	protein_coding	chr7	94394561	94431232	COL1A2	ENSG00000164692	protein_coding
FBXW4	280.659400562518	1.44224181188311	0.105604759679703	13.6569773583823	1.8344142032513e-42	4.55680924794086e-40	FBXW4	ENSG00000107829	protein_coding	chr10	101610664	101695295	FBXW4	ENSG00000107829	protein_coding
CCSAP	294.031546276179	1.09430772236894	0.081169451541742	13.4817680985091	2.0024982914044e-41	4.89143582647048e-39	CCSAP	ENSG00000154429	protein_coding	chr1	229321005	229343294	CCSAP	ENSG00000154429	protein_coding
KLHL22	316.514063863119	1.03619300141642	0.0770484685900706	13.4485865894284	3.13813362476851e-41	7.53975186960775e-39	KLHL22	ENSG00000099910	protein_coding	chr22	20441519	20495883	KLHL22	ENSG00000099910	protein_coding
NDN	632.700447804268	0.854978087340332	0.0642190767253633	13.3134596592956	1.93318408500889e-40	4.56979773385327e-38	NDN	ENSG00000182636	protein_coding	chr15	23685400	23687330	NDN	ENSG00000182636	protein_coding
COMMD7	709.469469515049	0.734957928179782	0.0555578819314049	13.2286887589992	5.99236669625953e-40	1.39403375079968e-37	COMMD7	ENSG00000149600	protein_coding	chr20	32702691	32743997	COMMD7	ENSG00000149600	protein_coding
SOGA1	2458.00581809826	0.638352097062752	0.0483011124831324	13.2160951217361	7.0847621462414e-40	1.62241053148928e-37	SOGA1	ENSG00000149639	protein_coding	chr20	36777442	36863686	SOGA1	ENSG00000149639	protein_coding
CARS2	858.356565005535	0.786685423334662	0.0597591704036413	13.1642627904809	1.40906255147569e-39	3.17711088529656e-37	CARS2	ENSG00000134905	protein_coding	chr13	110641412	110713603	CARS2	ENSG00000134905	protein_coding
UBXN4	3107.40700756458	0.434781686727099	0.0330447163665647	13.1573738416777	1.5435830917415e-39	3.42768996857021e-37	UBXN4	ENSG00000144224	protein_coding	chr2	135741619	135785055	UBXN4	ENSG00000144224	protein_coding
RAPGEF1	1505.41325960574	0.713089388947413	0.054571151089157	13.0671494867753	5.07311423806333e-39	1.10972481004561e-36	RAPGEF1	ENSG00000107263	protein_coding	chr9	131576770	131740074	RAPGEF1	ENSG00000107263	protein_coding
ZMYND11	2151.13390962774	0.50652606380312	0.038786608713348	13.0593026976551	5.62405589507191e-39	1.21214945879668e-36	ZMYND11	ENSG00000015171	protein_coding	chr10	134465	254637	ZMYND11	ENSG00000015171	protein_coding
TBCA	1326.82785078337	0.537971050049539	0.0414701794390394	12.9724794376728	1.75267668681607e-38	3.72278688724295e-36	TBCA	ENSG00000171530	protein_coding	chr5	77691166	77868780	TBCA	ENSG00000171530	protein_coding
CLIP4	725.460331634252	0.825811357276228	0.0639436863244833	12.91466608737	3.72054528756306e-38	7.78975881921775e-36	CLIP4	ENSG00000115295	protein_coding	chr2	29097705	29189643	CLIP4	ENSG00000115295	protein_coding
MVB12B	117.082350551724	1.92852661444889	0.15058659721846	12.8067613590545	1.50276802097503e-37	3.10205184724084e-35	MVB12B	ENSG00000196814	protein_coding	chr9	126326849	126507041	MVB12B	ENSG00000196814	protein_coding
KLC2	1009.97865597787	0.626396073161202	0.049164113774048	12.7409206650208	3.5023715928522e-37	7.12927195345026e-35	KLC2	ENSG00000174996	protein_coding	chr11	66257294	66267860	KLC2	ENSG00000174996	protein_coding
OLA1	1441.93808777613	0.684486166635685	0.0538304171267843	12.7156021292487	4.84364049823556e-37	9.72443769070417e-35	OLA1	ENSG00000138430	protein_coding	chr2	174072447	174248698	OLA1	ENSG00000138430	protein_coding
MPP1	453.105100643119	0.801730155367113	0.063237256874043	12.6781298715093	7.81748284695821e-37	1.5482841703381e-34	MPP1	ENSG00000130830	protein_coding	chrX	154778684	154821007	MPP1	ENSG00000130830	protein_coding
