baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene	gene_id.84	gene_type.84	chr	start	stop	gene_name.107	gene_id.107	gene_type.107
A1BG	163.154953783762	0.567524802296182	0.2020963401697	2.80818941015771	0.00498209144083944	0.159284892798242	A1BG	ENSG00000121410	protein_coding	chr19	58345178	58353499	A1BG	ENSG00000121410	protein_coding
A1BG-AS1	153.33737796347	-0.018030220363342	0.242493510357914	-0.0743534139809755	0.940729176401231	0.987037831072584	A1BG-AS1	ENSG00000268895	antisense	chr19	58347751	58355183	A1BG-AS1	ENSG00000268895	lncRNA
AAAS	744.913316887184	-0.381453366447108	0.165472103058279	-2.30524275329214	0.0211529816777594	0.294708638191575	AAAS	ENSG00000094914	protein_coding	chr12	53307456	53324864	AAAS	ENSG00000094914	protein_coding
AACS	257.988458888394	-0.266300559142415	0.159464552502526	-1.66996711785334	0.094925869548198	0.521841724035889	AACS	ENSG00000081760	protein_coding	chr12	125065379	125143333	AACS	ENSG00000081760	protein_coding
AAED1	880.442656393811	0.21484636911186	0.097092425658173	2.21280257090554	0.0269112599677589	0.325932976621478	AAED1	ENSG00000158122	protein_coding	chr9	96639577	96655303	PRXL2C	ENSG00000158122	protein_coding
AAGAB	819.995674300801	0.000458007946702086	0.133181078755503	0.00343898661117551	0.997256091086668	0.999688364336539	AAGAB	ENSG00000103591	protein_coding	chr15	67201033	67255195	AAGAB	ENSG00000103591	protein_coding
AAK1	1325.60415012031	0.278749603731846	0.0977613166001085	2.85132824951681	0.00435369993052472	0.149082100106187	AAK1	ENSG00000115977	protein_coding	chr2	69457997	69674349	AAK1	ENSG00000115977	protein_coding
AAMDC	268.225219742785	0.111865247340024	0.103235569318737	1.08359209987639	0.278545695161921	0.721746366048827	AAMDC	ENSG00000087884	protein_coding	chr11	77821109	77918432	AAMDC	ENSG00000087884	protein_coding
AAMP	2263.51833772088	-0.310931441843909	0.215669802319309	-1.44170133463358	0.149386646967522	0.598121085612443	AAMP	ENSG00000127837	protein_coding	chr2	218264123	218270257	AAMP	ENSG00000127837	protein_coding
AANAT	71.3338400763547	-0.475543563321831	0.304728951321438	-1.56054605661741	0.118630894996408	0.558749090553656	AANAT	ENSG00000129673	protein_coding	chr17	76453351	76470117	AANAT	ENSG00000129673	protein_coding
AAR2	1045.98170496657	0.0577255816452488	0.135215405024583	0.426915717441767	0.66944071708759	0.916774180993726	AAR2	ENSG00000131043	protein_coding	chr20	36236459	36270918	AAR2	ENSG00000131043	protein_coding
AARD	110.064692952864	0.294074439418575	0.20978244723011	1.40180669689683	0.160972978116562	0.613134719511804	AARD	ENSG00000205002	protein_coding	chr8	116938199	116944487	AARD	ENSG00000205002	protein_coding
AARS	674.203524531999	-0.73450436396728	0.252862939651606	-2.90475292654305	0.00367543108914052	0.137352851013567	AARS	ENSG00000090861	protein_coding	chr16	70252295	70289543	AARS1	ENSG00000090861	protein_coding
AARS2	345.263441418667	-0.204576948643616	0.132758785513504	-1.54096731039172	0.123324742177861	0.56572597382094	AARS2	ENSG00000124608	protein_coding	chr6	44299654	44313326	AARS2	ENSG00000124608	protein_coding
AARSD1	324.842340074837	-0.286465436665264	0.165931669937328	-1.72640603673465	0.084274390513704	0.498683440519531	AARSD1	ENSG00000266967	protein_coding	chr17	42950526	42964498	AARSD1	ENSG00000266967	protein_coding
AASDH	207.128104497611	-0.315666681341448	0.162692950572977	-1.94026035073876	0.0523480573571628	0.418616895820728	AASDH	ENSG00000157426	protein_coding	chr4	56338287	56387508	AASDH	ENSG00000157426	protein_coding
AASDHPPT	294.458418720563	-0.461995609935464	0.188968740179337	-2.44482558065962	0.0144922209295199	0.249845244015748	AASDHPPT	ENSG00000149313	protein_coding	chr11	106075501	106098710	AASDHPPT	ENSG00000149313	protein_coding
AATBC	1223.49705847612	-0.728612802878332	0.198513332495396	-3.67034694203841	0.000242221476034281	0.0330277734802364	AATBC	ENSG00000215458	antisense	chr21	43805758	43812567	AATBC	ENSG00000215458	lncRNA
AATF	2035.54340464226	0.0223566295092396	0.120273560934013	0.185881496611756	0.852537692880232	0.969684343124685	AATF	ENSG00000275700	protein_coding	chr17	36948875	37056871	AATF	ENSG00000275700	protein_coding
AATK	505.800851490925	-0.310903610949737	0.227871801279325	-1.36437948532575	0.172448161066227	0.626688815708179	AATK	ENSG00000181409	protein_coding	chr17	81117295	81166077	AATK	ENSG00000181409	protein_coding
ABALON	84.7455221476386	-0.110276964510643	0.23560465618187	-0.468059359682253	0.639742140934051	0.906090449149068	ABALON	ENSG00000281376	antisense	chr20	31721507	31723409	ABALON	ENSG00000281376	lncRNA
ABAT	667.350919438451	-0.409395792068667	0.142837542635281	-2.86616378660343	0.00415479225817482	0.146310909014325	ABAT	ENSG00000183044	protein_coding	chr16	8674565	8784575	ABAT	ENSG00000183044	protein_coding
ABCA1	1700.13328216371	0.351249875863839	0.270743953212118	1.29735076885964	0.194510523482979	0.650480312388658	ABCA1	ENSG00000165029	protein_coding	chr9	104781002	104928237	ABCA1	ENSG00000165029	protein_coding
ABCA2	794.037201324778	0.141424518318913	0.16938930581776	0.834908187598731	0.403769404457111	0.801057801297686	ABCA2	ENSG00000107331	protein_coding	chr9	137007227	137028922	ABCA2	ENSG00000107331	protein_coding
ABCA3	161.813375355885	0.0676645757195566	0.232175534073378	0.291437149007146	0.770717006190797	0.948382577267908	ABCA3	ENSG00000167972	protein_coding	chr16	2275881	2340746	ABCA3	ENSG00000167972	protein_coding
ABCA7	2385.41864591104	-0.337659809988622	0.189989772535472	-1.77725256197977	0.0755266948622095	0.480621424878285	ABCA7	ENSG00000064687	protein_coding	chr19	1040101	1065572	ABCA7	ENSG00000064687	protein_coding
ABCA9	268.37146425274	0.125666853394257	0.157663945722786	0.797055108688017	0.425419026402613	0.815124895408553	ABCA9	ENSG00000154258	protein_coding	chr17	68974488	69061064	ABCA9	ENSG00000154258	protein_coding
